Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby
1.0,IFE,53,12,2,2,7,1,18,14,3,Lobby 1
2.0,Spooky Scary,52,3,11,4,6,4,6,7,9,Lobby 1
3.0,ING,46,1,12,7,8,15,3,12,6,Lobby 1
4.0,NBL,39,8,5,1,13,8,4,17,1,Lobby 1
5.0,UNL,34,9,5,6,6,11,0,2,8,Lobby 1
6.0,CVS,28,17,3,12,1,6,1,1,7,Lobby 1
7.0,RCO,26,16,0,3,7,5,0,5,4,Lobby 1
8.0,LMX,26,14,0,10,0,2,6,4,3,Lobby 1
9.0,Tijuana Piranas,23,2,5,8,2,10,0,8,1,Lobby 1
10.0,The leftovers,20,18,0,9,0,3,6,6,2,Lobby 1
11.0,Manifest,17,10,3,13,0,14,3,3,0,Lobby 1
12.0,Yess,13,6,3,14,5,19,0,15,0,Lobby 1
13.0,BBJ,13,4,2,20,0,9,4,16,0,Lobby 1
14.0,Carbon Esports,12,20,0,17,0,7,3,9,4,Lobby 1
15.0,OnTheRocks,10,19,0,15,1,13,0,10,5,Lobby 1
16.0,GHC,8,5,3,16,0,18,0,11,0,Lobby 1
17.0,He's 1 Shot Bro,7,11,0,5,1,16,1,19,0,Lobby 1
18.0,iMx Gaming,4,7,0,18,0,12,0,20,0,Lobby 1
19.0,Team combat Pros,3,13,1,19,0,17,0,13,0,Lobby 1
20.0,LNT,2,15,0,11,0,20,0,18,0,Lobby 1
1.0,Dark Matter,69,1,12,2,8,4,11,3,5,Lobby 2
2.0,Stonks,49,9,13,5,13,5,13,17,0,Lobby 2
3.0,RGP,47,2,11,1,9,7,3,20,0,Lobby 2
4.0,CLX,44,6,5,3,5,1,9,11,2,Lobby 2
5.0,NEAN,33,5,0,14,0,9,2,1,12,Lobby 2
6.0,The Other Guys,29,15,0,4,4,10,5,7,9,Lobby 2
7.0,BLitLd Revengers,28,4,3,11,3,12,1,2,5,Lobby 2
8.0,CAS,22,3,10,12,0,20,0,16,4,Lobby 2
9.0,ReVive me pls,21,14,0,6,7,15,0,5,5,Lobby 2
10.0,MXGamers,21,7,2,18,0,2,5,15,1,Lobby 2
11.0,Gods Plan Gaming,21,12,0,10,0,3,3,4,3,Lobby 2
12.0,BQB,12,20,0,15,2,14,0,6,5,Lobby 2
13.0,Jolly Roger,10,8,0,7,2,6,0,18,0,Lobby 2
14.0,EA Sucks,8,13,0,9,1,18,0,10,2,Lobby 2
15.0,BDS,7,19,1,19,0,11,1,13,3,Lobby 2
16.0,The Inmortals,7,10,1,8,0,19,0,9,0,Lobby 2
17.0,Regen,5,17,1,17,0,17,3,14,0,Lobby 2
18.0,ChayKayJay,5,16,0,16,0,8,2,12,0,Lobby 2
19.0,The Comeback,4,18,0,13,0,13,0,8,0,Lobby 2
20.0,Beesmashing,1,11,0,20,0,16,0,19,0,Lobby 2
1.0,AM,111,2,15,2,14,4,18,1,29,Lobby 3
2.0,Select,59,14,5,3,16,1,17,18,1,Lobby 3
3.0,Sussy Bakas,48,1,13,5,6,10,0,2,2,Lobby 3
4.0,TEAM Workaholics,29,12,3,1,5,9,1,4,0,Lobby 3
5.0,ZooWeeMama,24,16,0,7,3,2,8,12,0,Lobby 3
6.0,Apelization,24,3,2,8,0,3,3,7,0,Lobby 3
7.0,Them Boiz,19,18,0,4,1,7,0,5,6,Lobby 3
8.0,T&H,18,6,4,6,0,6,3,17,2,Lobby 3
9.0,Midnight MX,17,5,6,15,1,16,1,10,2,Lobby 3
10.0,ROT,14,19,0,12,3,12,1,3,1,Lobby 3
11.0,Vandals,13,13,1,13,0,5,0,6,3,Lobby 3
12.0,F451,12,4,3,18,3,17,0,16,1,Lobby 3
13.0,Team Animo,10,7,1,16,3,11,0,8,0,Lobby 3
14.0,Casual Players,7,8,1,10,0,15,0,13,0,Lobby 3
15.0,APEX BOIZ,6,15,0,11,0,14,0,15,2,Lobby 3
16.0,Hooiya,6,11,0,14,0,18,0,9,2,Lobby 3
17.0,High Dexterity,6,10,1,17,1,13,0,14,0,Lobby 3
18.0,TriggersDown,6,17,0,9,0,8,1,11,0,Lobby 3
19.0,Team 7Ven,2,9,0,19,0,20,0,20,0,Lobby 3
20.0,Full Rush MX,0,20,0,20,0,20,0,20,0,Lobby 3
1.0,TSS,62,1,11,4,7,11,4,1,10,Lobby 4
2.0,RT,49,3,7,1,9,17,1,4,8,Lobby 4
3.0,CenterZone,44,5,9,2,4,6,8,9,5,Lobby 4
4.0,SHEESH,35,4,4,5,4,14,0,2,8,Lobby 4
5.0,RL,35,2,4,6,2,2,6,10,0,Lobby 4
6.0,Melon Hogs,27,10,4,19,0,3,13,15,0,Lobby 4
7.0,SMP,24,8,7,11,5,8,4,16,3,Lobby 4
8.0,SLS,22,15,0,9,0,1,7,17,0,Lobby 4
9.0,MoJo,21,18,0,3,7,16,3,13,3,Lobby 4
10.0,TDG,20,16,2,7,8,13,1,5,1,Lobby 4
11.0,Deathbox Hunters,17,11,0,8,0,5,0,3,3,Lobby 4
12.0,UORG,13,17,0,12,0,9,5,8,3,Lobby 4
13.0,tcos,13,7,0,13,0,4,1,12,2,Lobby 4
14.0,Shady Kings,12,14,3,15,0,12,0,6,3,Lobby 4
15.0,Apex Mobile,9,19,0,16,3,7,0,7,0,Lobby 4
16.0,Buds and Beer,8,9,1,17,0,10,2,14,0,Lobby 4
17.0,Nessie and Peeps,8,6,0,10,0,19,0,11,2,Lobby 4
18.0,KSU Gold,6,12,1,14,2,18,0,19,1,Lobby 4
19.0,RollerBoys,2,13,0,18,0,15,0,18,0,Lobby 4
20.0,Code Cloud,0,20,0,20,0,20,0,20,0,Lobby 4
1.0,EST,68,2,7,1,15,8,5,1,6,Lobby 5
2.0,BP,64,4,8,18,3,1,18,2,9,Lobby 5
3.0,Bot Squad,36,1,10,8,7,17,0,10,3,Lobby 5
4.0,The Big 3,31,10,6,10,0,11,3,6,14,Lobby 5
5.0,Just Having Fun,30,11,5,15,0,2,3,3,4,Lobby 5
6.0,Zachs Chest Hair,27,6,3,2,9,12,2,18,0,Lobby 5
7.0,AApls,25,14,3,4,2,5,2,5,4,Lobby 5
8.0,SDO,25,5,0,6,2,3,8,20,1,Lobby 5
9.0,Wonderboys,23,3,3,7,1,14,0,4,3,Lobby 5
10.0,2B1C,21,13,2,3,6,16,0,12,4,Lobby 5
11.0,Alliance Esports,20,9,3,13,3,10,3,9,4,Lobby 5
12.0,High Life Gaming,15,8,0,5,3,9,1,7,0,Lobby 5
13.0,ZERO,11,15,0,16,3,6,2,8,0,Lobby 5
