,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 April 29, 2022 - 15:00 CESTWorld's Edge OpTic Gaming Luminosity Gaming Totem Esports","Round 1 Round 1 April 29, 2022 - 15:00 CESTWorld's Edge OpTic Gaming Luminosity Gaming Totem Esports","Round 2 Round 2 April 29, 2022 - 15:35 CESTWorld's Edge G2 Esports Team Liquid Fênix Team","Round 2 Round 2 April 29, 2022 - 15:35 CESTWorld's Edge G2 Esports Team Liquid Fênix Team","Round 3 Round 3 April 29, 2022 - 16:10 CESTWorld's Edge FOR7 Crazy Raccoon Totem Esports","Round 3 Round 3 April 29, 2022 - 16:10 CESTWorld's Edge FOR7 Crazy Raccoon Totem Esports","Round 4 Round 4 April 29, 2022 - 16:45 CESTStorm Point OpTic Gaming Team Burger FOR7","Round 4 Round 4 April 29, 2022 - 16:45 CESTStorm Point OpTic Gaming Team Burger FOR7","Round 5 Round 5 April 29, 2022 - 17:20 CESTStorm Point Team Burger Team Liquid OpTic Gaming","Round 5 Round 5 April 29, 2022 - 17:20 CESTStorm Point Team Burger Team Liquid OpTic Gaming","Round 6 Round 6 April 29, 2022 - 17:55 CESTStorm Point Luminosity Gaming G2 Esports Spacestation Gaming","Round 6 Round 6 April 29, 2022 - 17:55 CESTStorm Point Luminosity Gaming G2 Esports Spacestation Gaming"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,OG,72,1,18,15,1,17,0,1,16,3,3,9,0
1,2.0,TL,66,18,3,2,5,5,6,16,3,2,20,10,5
2,3.0,FSV,60,12,4,4,7,1,14,3,6,12,0,15,2
3,4.0,LG,59,2,9,19,0,10,3,7,6,9,3,1,10
4,5.0,G2,59,4,6,1,11,6,4,15,0,15,3,2,4
5,6.0,BRGR,47,9,1,18,0,19,0,2,6,1,10,4,2
6,7.0,SSG,40,10,1,5,0,4,5,12,0,4,3,3,7
7,8.0,TTM,32,3,1,7,1,3,5,10,1,8,3,19,0
8,9.0,RIG,31,16,0,17,0,11,4,4,6,14,3,5,7
9,10.0,CR,23,6,0,12,3,2,3,14,2,11,0,16,0
10,11.0,GW,22,14,0,6,8,20,0,8,1,6,1,14,2
11,12.0,K1CK,22,15,0,10,5,12,0,5,2,5,3,17,0
12,13.0,UNI,22,5,4,9,0,16,0,6,1,7,0,6,2
13,14.0,ACE,21,17,1,11,4,13,0,11,2,19,0,7,8
14,15.0,FNX,20,20,0,3,4,7,3,18,0,10,0,18,1
15,16.0,FCD,17,19,0,13,1,14,3,17,3,17,3,12,4
16,17.0,IG,15,7,3,14,2,8,0,13,0,20,0,13,2
17,18.0,SNG,15,8,5,8,1,18,0,9,0,13,0,11,1
18,19.0,GMT,11,11,0,20,0,9,6,19,0,16,0,8,0
19,20.0,CLG,4,13,0,16,2,15,0,20,0,18,0,20,0
