Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,AM,79,8,6,2,3,1,14,19,3,3,10,4,8
2.0,SUP,50,1,14,13,2,15,0,6,3,9,3,7,6
3.0,Unlucky,50,2,4,10,0,10,1,12,0,2,6,1,4
4.0,Unsigned Talent,49,6,1,1,12,18,0,14,11,5,5,16,0
5.0,EST,42,13,2,12,0,3,2,1,14,16,0,8,1
6.0,pub stars,41,14,5,19,1,7,10,17,0,4,4,3,5
7.0,Aisle 5,38,4,4,17,4,4,0,13,0,12,0,2,9
8.0,WASH,37,5,8,8,0,17,1,3,8,13,0,6,3
9.0,NEAN,35,3,1,7,6,6,3,4,3,17,1,17,3
10.0,RT,33,9,5,5,1,9,5,2,2,10,0,13,0
11.0,Los Hefes,30,15,0,11,3,16,0,11,3,1,5,15,3
12.0,LF,30,16,0,6,3,2,4,7,1,8,4,14,0
13.0,2B1C,27,11,5,14,3,12,3,15,0,14,3,5,4
14.0,BAD,27,7,0,20,0,13,5,5,3,6,6,9,0
15.0,Dark Matter,24,10,3,15,3,8,0,9,4,18,0,10,5
16.0,BOT,23,18,0,4,6,14,0,8,2,7,3,11,0
17.0,Sussy Bakas,22,12,0,9,7,5,4,16,0,19,0,12,3
18.0,NM,12,19,0,3,1,11,0,10,0,11,0,18,0
19.0,OrgSignUs,8,20,0,16,1,19,2,18,1,15,3,19,0
20.0,Blood Sport,1,17,0,18,1,20,0,20,0,0,0,0,0
