Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,SST,92,1,15,7,2,1,13,5,5,1,10,8,2
2.0,ALFA WARRIORS,65,4,1,1,14,12,1,1,14,13,0,15,3
3.0,BTH,64,8,2,6,10,10,1,2,7,6,5,2,11
4.0,Sobek,62,7,6,3,4,4,2,9,2,14,6,1,12
5.0,NE1,42,2,1,12,0,2,9,16,0,5,1,3,1
6.0,Spartan Warriors,41,5,2,10,3,3,2,4,2,9,5,4,2
7.0,AsheTeam,37,12,1,13,0,9,7,17,3,2,8,7,2
8.0,UltiMaTuM,32,9,4,9,6,8,0,14,0,3,5,14,2
9.0,PPEX,28,10,0,5,0,16,0,3,0,4,3,5,3
10.0,ROCKETZ TEAM,27,3,9,11,1,18,0,15,3,10,0,6,0
11.0,3g3Team,23,15,3,4,1,7,0,18,0,11,2,11,6
12.0,Mystical,23,6,1,8,1,11,2,8,5,12,2,10,1
13.0,PoliShopu,22,13,3,15,2,13,6,10,0,7,3,16,0
14.0,TBG,19,17,0,2,3,17,0,6,1,8,1,17,0
15.0,Seven,17,11,0,18,0,5,4,7,5,16,0,18,0
16.0,QUAS,9,19,0,17,0,14,0,13,1,15,0,9,3
17.0,KPS,6,14,0,16,0,6,0,12,0,17,0,12,0
18.0,TheArrechos,5,18,0,14,0,15,0,11,1,18,0,13,0
19.0,DEATH KILL BR,0,16,0,20,0,20,0,20,0,20,0,20,0
