Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,ARENA,54,1,14,20,0,20,0,1,16
2.0,RYU,52,6,2,2,13,15,1,2,14
3.0,GSUB,49,8,6,12,2,1,12,9,12
4.0,Phantom,39,5,1,4,10,5,8,7,4
5.0,ASC,34,2,13,6,7,17,0,10,0
6.0,SLA,31,3,11,13,0,10,2,8,6
7.0,DYSON,26,4,5,3,4,9,3,18,0
8.0,Sovereign,25,7,1,1,7,8,0,16,0
9.0,LVTHN,24,9,0,5,1,2,7,15,0
10.0,姐妹花,19,12,1,9,1,6,6,4,0
11.0,Soosmar slayer,18,10,0,8,6,11,5,13,1
12.0,WAR VIKINGS,18,11,3,10,0,3,5,17,0
13.0,KINDOG,12,13,0,15,0,14,3,5,2
14.0,BLANK,12,14,0,18,0,4,1,6,2
15.0,RZ,12,15,1,11,0,13,0,3,1
16.0,GSWRD,10,20,0,16,1,7,3,12,2
17.0,SNM,8,18,0,7,4,18,0,11,0
18.0,67 Richter,2,19,0,14,0,19,0,14,0
19.0,LNW,1,16,0,17,1,16,0,19,0
20.0,heLL,1,17,0,19,0,12,0,20,0
