Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,CHILL,62,5,4,2,9,1,17,11,6
2.0,ZeroTwo,39,4,3,8,7,3,5,4,5
3.0,HAKA,37,1,10,11,1,13,0,3,5
4.0,Sanity,37,13,1,1,7,2,3,15,3
5.0,Team Sidai,34,9,6,14,4,6,0,1,6
6.0,SMDG,33,18,1,9,4,14,6,2,10
7.0,JET,30,7,0,3,11,10,0,9,5
8.0,REIGN,27,2,8,5,1,7,1,14,0
9.0,VOID,25,3,9,6,2,8,2,16,0
10.0,DRG,16,11,0,4,1,5,2,7,0
11.0,Baj,15,8,2,10,0,12,5,10,1
12.0,GBR,15,6,1,17,0,4,2,13,3
13.0,KMF,12,12,0,7,1,15,0,6,3
14.0,NCTRY,11,16,2,18,0,9,3,5,0
15.0,SOT,6,15,0,12,2,17,1,12,0
16.0,CORN,4,14,0,16,0,11,0,8,0
17.0,ENERGI,3,10,0,15,0,18,0,0,0
18.0,QUAD,2,17,0,13,0,16,0,17,1
19.0,ANIM,0,0,0,0,0,0,0,0,0
20.0,FPAH,0,0,0,0,0,0,0,0,0
