Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,GSG,78,1,8,10,2,6,3,2,9,1,11,4,2,Lobby 1
2.0,MM,66,6,5,1,10,16,0,6,11,8,11,5,5,Lobby 1
3.0,TPM,61,14,4,16,0,13,2,1,9,3,4,1,9,Lobby 1
4.0,ZLB,50,2,9,11,3,3,3,3,1,6,4,8,1,Lobby 1
5.0,North,46,10,1,2,3,1,14,19,0,11,0,14,3,Lobby 1
6.0,SDO,44,4,1,4,5,2,8,11,3,17,0,7,4,Lobby 1
7.0,ING,41,3,5,5,3,5,8,14,0,9,3,15,3,Lobby 1
8.0,EQ,39,15,4,17,0,14,4,4,5,16,0,2,10,Lobby 1
9.0,CCE UCX,38,5,6,6,13,8,6,16,0,19,0,10,2,Lobby 1
10.0,iRL,30,7,9,3,5,12,0,15,2,15,1,19,0,Lobby 1
11.0,ABST,29,17,0,13,0,11,0,18,0,2,7,3,4,Lobby 1
12.0,OYO,24,11,3,19,0,4,5,13,2,7,0,9,2,Lobby 1
13.0,CIMJ,23,16,2,14,3,9,2,7,3,14,4,17,2,Lobby 1
14.0,EX,23,13,0,18,0,7,1,8,3,5,2,6,4,Lobby 1
15.0,CDE,23,8,0,8,4,10,0,9,0,4,5,11,0,Lobby 1
16.0,FBOSS,19,18,0,9,1,15,0,5,5,10,0,13,3,Lobby 1
17.0,IRONIC,11,9,0,15,3,19,0,12,2,13,0,16,1,Lobby 1
18.0,BABL,10,19,0,20,0,20,0,10,0,12,3,12,3,Lobby 1
19.0,Neko Arc,6,12,0,7,2,17,0,20,0,20,0,20,0,Lobby 1
20.0,BBB,3,20,1,12,0,18,0,17,1,18,0,18,0,Lobby 1
1.0,WING,75,11,1,6,6,2,12,2,10,8,5,3,10,Lobby 2
2.0,MH,63,2,5,1,9,18,0,14,0,1,12,16,3,Lobby 2
3.0,TRP,55,6,5,19,0,15,5,6,6,11,5,1,14,Lobby 2
4.0,SHEESH,43,17,0,15,1,1,11,3,6,17,0,9,3,Lobby 2
5.0,AST,42,1,14,20,1,16,3,10,3,16,0,10,5,Lobby 2
6.0,RT,42,12,1,2,3,12,1,1,9,13,3,13,0,Lobby 2
7.0,RDM,41,10,3,9,3,3,9,12,2,19,0,5,8,Lobby 2
8.0,Guppies,32,4,4,12,3,7,2,18,0,20,0,2,5,Lobby 2
9.0,AE,31,7,4,5,7,8,3,7,1,14,0,7,0,Lobby 2
10.0,UNDOGS,31,9,3,18,0,10,1,15,3,2,4,4,1,Lobby 2
11.0,SKSQ,30,18,0,14,4,9,4,16,2,3,9,15,0,Lobby 2
12.0,ASUR,29,8,2,16,0,4,6,5,5,10,2,18,1,Lobby 2
13.0,CBM,29,5,5,10,3,19,0,9,4,9,3,6,1,Lobby 2
14.0,HC,29,15,0,3,7,5,0,8,1,7,0,8,2,Lobby 2
15.0,HVND,27,19,0,7,3,6,2,11,1,4,8,12,0,Lobby 2
16.0,VOID,24,3,5,8,0,14,0,19,0,5,4,14,0,Lobby 2
17.0,YFP,19,16,3,13,3,13,2,4,2,15,0,11,0,Lobby 2
18.0,ShameAssist,13,14,0,4,1,11,0,20,0,12,1,17,3,Lobby 2
19.0,BRB,7,13,2,17,0,17,0,13,0,6,0,19,0,Lobby 2
20.0,Lyfe,1,20,0,11,0,20,0,17,0,18,0,20,0,Lobby 2
