C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,Split
1.0,EMP,62,1,11,13,3,10,4,2,10,7,5,10,0,Round 10,,,,,,Split_1
2.0,TTM,59,5,4,2,4,2,7,6,2,6,3,4,6,Round 10,,,,,,Split_1
3.0,SZ,58,14,2,9,5,18,3,1,7,19,0,1,14,Round 10,,,,,,Split_1
4.0,PLRS,48,9,5,3,12,14,1,3,7,4,1,19,0,Round 10,,,,,,Split_1
5.0,UND,48,3,7,10,1,4,4,15,0,17,3,3,11,Round 10,,,,,,Split_1
6.0,69IQ,40,17,0,4,7,3,4,16,0,8,11,6,1,Round 10,,,,,,Split_1
7.0,VXD,40,18,0,8,3,1,7,11,2,5,5,5,0,Round 10,,,,,,Split_1
8.0,IG,37,7,2,7,2,7,1,5,5,2,5,16,0,Round 10,,,,,,Split_1
9.0,789,35,4,5,1,4,9,0,8,3,9,0,18,0,Round 10,,,,,,Split_1
10.0,K1CK,32,13,1,6,4,16,0,12,3,3,5,11,6,Round 10,,,,,,Split_1
11.0,SMS,31,2,8,16,0,11,0,4,3,12,1,15,2,Round 10,,,,,,Split_1
12.0,TREX,31,15,3,14,1,17,0,9,2,1,8,12,0,Round 10,,,,,,Split_1
13.0,SOL,27,11,3,19,0,6,6,13,6,11,3,14,2,Round 10,,,,,,Split_1
14.0,RAT,27,10,1,17,0,12,2,19,0,13,6,2,5,Round 10,,,,,,Split_1
15.0,ATK,23,19,0,12,3,8,12,18,2,20,0,8,1,Round 10,,,,,,Split_1
16.0,OP,19,20,0,5,3,13,0,7,0,10,0,7,3,Round 10,,,,,,Split_1
17.0,PXL,18,12,1,11,0,5,5,10,0,15,1,9,0,Round 10,,,,,,Split_1
18.0,GOD,11,6,1,15,2,20,0,17,1,14,0,13,1,Round 10,,,,,,Split_1
19.0,HS,10,16,0,20,0,19,3,14,3,18,0,17,3,Round 10,,,,,,Split_1
20.0,HKE,6,8,2,18,0,15,1,20,0,16,0,20,0,Round 10,,,,,,Split_1
,ALL,72,2,4,1,11,8,7,2,3,2,4,8,0,Round 11,1.0,,,,,Split_1
,K1CK,58,7,2,2,13,2,8,8,4,17,0,5,4,Round 11,2.0,,,,,Split_1
,RASC,55,6,6,19,0,4,5,13,2,1,5,1,4,Round 11,3.0,,,,,Split_1
,ZETA,53,5,12,4,7,3,2,10,1,13,2,3,3,Round 11,4.0,,,,,Split_1
,69IQ,53,4,7,13,1,1,9,9,2,3,6,13,0,Round 11,5.0,,,,,Split_1
,GUILD,51,16,0,7,6,13,3,12,3,6,10,2,12,Round 11,6.0,,,,,Split_1
,RBL,40,14,0,5,3,7,5,5,6,4,7,10,0,Round 11,7.0,,,,,Split_1
,IG,37,8,5,3,0,11,0,1,8,10,0,18,0,Round 11,8.0,,,,,Split_1
,FB,32,9,3,8,2,10,0,6,6,12,6,12,4,Round 11,9.0,,,,,Split_1
,OG,30,15,0,6,2,6,0,4,4,18,0,4,7,Round 11,10.0,,,,,Split_1
,UND,29,3,6,9,0,9,3,15,3,14,0,14,3,Round 11,11.0,,,,,Split_1
,HS,27,19,0,15,4,12,5,3,3,5,1,16,1,Round 11,12.0,,,,,Split_1
,TREX,24,1,4,12,0,17,2,17,0,8,0,7,0,Round 11,13.0,,,,,Split_1
,789,22,11,1,18,1,18,1,7,4,11,2,6,5,Round 11,14.0,,,,,Split_1
,NMS,18,13,2,17,0,5,2,16,2,7,1,11,2,Round 11,15.0,,,,,Split_1
,RAT,16,12,1,16,1,14,0,14,0,9,4,9,3,Round 11,16.0,,,,,Split_1
,1872,14,10,0,10,3,16,0,18,3,15,3,19,0,Round 11,17.0,,,,,Split_1
,VXD,13,17,1,11,1,19,0,11,4,16,0,15,4,Round 11,18.0,,,,,Split_1
,HKE,6,18,1,14,0,15,2,19,0,19,0,17,1,Round 11,19.0,,,,,Split_1
,MAGI,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 11,20.0,,,,,Split_1
,EMP,66,1,11,6,6,8,1,6,1,7,2,1,10,Round 12,,1.0,,,,Split_1
,PLRS,58,2,9,1,9,7,3,4,4,12,1,9,0,Round 12,,2.0,,,,Split_1
,KNG,54,16,0,16,2,2,12,2,7,3,6,10,0,Round 12,,3.0,,,,Split_1
,PXL,47,4,3,19,0,3,5,3,8,10,3,7,4,Round 12,,4.0,,,,Split_1
,ACE,43,7,7,8,4,12,4,13,2,9,9,4,3,Round 12,,5.0,,,,Split_1
,TTM,41,15,0,4,4,9,4,16,0,1,10,14,2,Round 12,,6.0,,,,Split_1
,HRZN,37,19,0,3,5,4,6,8,0,5,7,15,0,Round 12,,7.0,,,,Split_1
,OP,37,17,1,11,0,1,8,10,1,4,2,8,3,Round 12,,8.0,,,,Split_1
,NAVI,34,6,5,5,7,18,3,11,1,8,2,5,2,Round 12,,9.0,,,,Split_1
,MUT,31,14,4,9,4,14,3,12,2,16,0,6,10,Round 12,,10.0,,,,Split_1
,GMT,31,13,0,15,1,19,0,1,10,13,5,18,0,Round 12,,11.0,,,,Split_1
,SQG,30,3,5,13,3,10,2,14,3,19,0,13,5,Round 12,,12.0,,,,Split_1
,SZ,30,5,2,12,0,15,0,7,3,2,6,12,0,Round 12,,13.0,,,,Split_1
,SMS,26,10,2,14,0,13,0,9,6,14,0,3,4,Round 12,,14.0,,,,Split_1
,SCTA,26,8,2,2,5,5,3,17,0,15,0,17,0,Round 12,,15.0,,,,Split_1
,FORG,25,9,0,7,0,6,1,5,1,11,0,11,9,Round 12,,16.0,,,,Split_1
,ATK,17,18,0,17,0,17,0,15,1,17,0,2,6,Round 12,,17.0,,,,Split_1
,GOD,9,11,1,18,1,16,0,18,2,6,1,19,0,Round 12,,18.0,,,,Split_1
,SOL,7,12,0,10,2,11,1,19,0,18,0,16,0,Round 12,,19.0,,,,Split_1
,AP,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 12,,20.0,,,,Split_1
,PLRS,77,1,15,18,3,1,15,13,0,4,6,6,5,Round 1,,,1.0,,,Split_1
,EMP,69,12,0,1,12,5,3,4,2,10,5,1,11,Round 1,,,2.0,,,Split_1
,NMS,51,20,0,3,7,13,1,1,17,11,2,11,2,Round 1,,,3.0,,,Split_1
,OG,45,17,0,5,2,2,6,12,0,1,8,7,0,Round 1,,,4.0,,,Split_1
,RASC,42,10,0,13,1,4,5,14,3,9,2,2,11,Round 1,,,5.0,,,Split_1
,FB,42,3,3,20,0,8,6,16,0,3,10,3,0,Round 1,,,6.0,,,Split_1
,SZ,41,8,2,9,4,3,5,2,7,12,0,8,0,Round 1,,,7.0,,,Split_1
,GUILD,38,9,1,6,5,12,2,3,10,8,4,12,0,Round 1,,,8.0,,,Split_1
,ZETA,35,7,11,11,3,14,0,6,3,13,1,10,6,Round 1,,,9.0,,,Split_1
,MAGI,32,2,7,15,2,19,3,8,1,7,4,18,0,Round 1,,,10.0,,,Split_1
,ALL,28,18,0,19,0,16,0,11,0,2,9,5,5,Round 1,,,11.0,,,Split_1
,PXL,27,15,5,16,0,10,3,10,0,6,2,9,7,Round 1,,,12.0,,,Split_1
,1872,27,14,1,7,2,11,2,9,5,17,0,4,5,Round 1,,,13.0,,,Split_1
,SOL,24,19,0,2,3,7,2,19,0,5,0,14,2,Round 1,,,14.0,,,Split_1
,TTM,23,13,3,17,0,6,5,7,7,18,0,15,0,Round 1,,,15.0,,,Split_1
,RBL,19,6,3,4,3,15,0,20,0,15,1,13,1,Round 1,,,16.0,,,Split_1
,SMS,12,4,2,10,3,20,0,18,0,16,0,17,0,Round 1,,,17.0,,,Split_1
,GOD,11,16,0,14,1,9,2,5,0,19,1,20,0,Round 1,,,18.0,,,Split_1
,ATK,10,11,1,12,0,17,0,15,4,14,1,19,0,Round 1,,,19.0,,,Split_1
,OP,10,5,3,8,1,18,0,17,0,20,0,16,0,Round 1,,,20.0,,,Split_1
,IG,58,1,8,18,0,15,1,10,0,1,11,3,4,Round 2,,,,1.0,,Split_1
,K1CK,57,12,4,4,2,3,5,2,13,4,1,15,4,Round 2,,,,2.0,,Split_1
,SQG,56,5,2,14,2,1,9,7,4,3,7,5,1,Round 2,,,,3.0,,Split_1
,FORG,54,9,0,2,10,12,2,4,6,12,1,1,5,Round 2,,,,4.0,,Split_1
,MUT,51,6,3,8,5,19,0,15,3,2,9,2,7,Round 2,,,,5.0,,Split_1
,NAVI,45,3,5,1,11,6,4,14,2,18,0,16,0,Round 2,,,,6.0,,Split_1
,VXD,44,11,3,11,4,2,4,12,5,17,3,4,8,Round 2,,,,7.0,,Split_1
,69IQ,43,7,8,5,6,8,2,3,5,16,0,6,3,Round 2,,,,8.0,,Split_1
,KNG,43,2,3,6,3,7,1,1,6,15,0,8,0,Round 2,,,,9.0,,Split_1
,GMT,35,14,0,3,4,5,6,17,0,9,5,13,5,Round 2,,,,10.0,,Split_1
,TREX,33,4,5,10,3,11,4,13,0,5,3,9,3,Round 2,,,,11.0,,Split_1
,HRZN,28,10,5,9,0,4,4,9,0,8,3,14,2,Round 2,,,,12.0,,Split_1
,SCTA,20,16,0,16,2,18,0,6,5,10,2,7,3,Round 2,,,,13.0,,Split_1
,ACE,17,17,2,12,2,14,0,8,0,11,5,17,3,Round 2,,,,14.0,,Split_1
,UND,15,19,0,19,0,16,6,11,3,7,1,12,0,Round 2,,,,15.0,,Split_1
,HS,14,18,0,7,2,13,3,5,1,19,0,18,0,Round 2,,,,16.0,,Split_1
,HKE,13,15,4,15,0,9,0,19,0,6,1,11,0,Round 2,,,,17.0,,Split_1
,RAT,12,13,0,17,0,10,3,16,0,13,0,10,3,Round 2,,,,18.0,,Split_1
,789,6,8,0,13,1,17,0,18,0,14,1,19,0,Round 2,,,,19.0,,Split_1
,AP,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 2,,,,20.0,,Split_1
,SQG,64,14,7,2,7,2,5,8,2,3,10,5,1,Round 3,,,,,1.0,Split_1
,MUT,53,6,3,6,4,12,1,1,15,14,0,8,8,Round 3,,,,,2.0,Split_1
,GMT,49,4,11,18,2,17,0,19,0,1,14,12,4,Round 3,,,,,3.0,Split_1
,FORG,49,1,8,7,1,4,5,18,3,7,1,4,3,Round 3,,,,,4.0,Split_1
,HRZN,45,19,0,5,3,9,1,4,3,9,3,1,10,Round 3,,,,,5.0,Split_1
,FB,44,2,6,14,1,1,10,16,0,11,3,14,0,Round 3,,,,,6.0,Split_1
,KNG,42,16,0,1,2,8,0,2,5,2,2,11,0,Round 3,,,,,7.0,Split_1
,ZETA,40,18,0,13,4,3,6,13,1,12,1,2,9,Round 3,,,,,8.0,Split_1
,RASC,38,15,0,9,2,6,5,5,3,5,5,6,6,Round 3,,,,,9.0,Split_1
,ALL,33,11,2,11,2,7,10,7,3,16,0,7,5,Round 3,,,,,10.0,Split_1
,NAVI,29,7,0,19,0,10,3,15,1,13,7,3,4,Round 3,,,,,11.0,Split_1
,OG,29,5,3,3,6,18,0,10,3,8,0,17,2,Round 3,,,,,12.0,Split_1
,GUILD,27,17,0,4,14,19,0,9,4,15,1,16,0,Round 3,,,,,13.0,Split_1
,ACE,24,3,2,12,2,16,2,3,3,19,0,18,0,Round 3,,,,,14.0,Split_1
,NMS,23,8,6,16,0,11,1,6,3,4,2,19,0,Round 3,,,,,15.0,Split_1
,1872,20,12,0,10,4,15,0,11,1,6,3,13,3,Round 3,,,,,16.0,Split_1
,RBL,16,10,0,17,0,5,3,12,0,10,0,9,2,Round 3,,,,,17.0,Split_1
,SCTA,15,9,3,15,0,13,0,14,3,17,1,10,1,Round 3,,,,,18.0,Split_1
,MAGI,10,13,0,8,4,14,0,17,0,18,1,15,0,Round 3,,,,,19.0,Split_1
,AP,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 3,,,,,20.0,Split_1
1.0,SZ,60,17,2,1,8,4,6,16,1,1,10,11,3,Round 4,,,,,,Split_1
2.0,69IQ,60,5,1,11,0,1,17,9,0,7,2,1,6,Round 4,,,,,,Split_1
3.0,TTM,55,1,14,12,0,7,3,4,5,5,7,14,0,Round 4,,,,,,Split_1
4.0,VXD,52,8,0,3,11,9,1,1,12,11,1,10,1,Round 4,,,,,,Split_1
5.0,K1CK,49,19,0,6,3,14,0,14,10,9,7,2,13,Round 4,,,,,,Split_1
6.0,IG,46,4,4,5,9,16,0,10,7,4,6,9,2,Round 4,,,,,,Split_1
7.0,EMP,40,13,0,4,5,2,9,11,1,8,3,16,4,Round 4,,,,,,Split_1
8.0,PLRS,40,7,3,2,8,17,0,3,9,16,0,15,0,Round 4,,,,,,Split_1
9.0,GOD,37,3,8,10,0,10,3,17,0,2,6,19,0,Round 4,,,,,,Split_1
10.0,OP,33,12,1,18,0,11,2,2,5,3,6,12,0,Round 4,,,,,,Split_1
11.0,HS,28,6,5,17,3,18,0,15,1,10,2,4,6,Round 4,,,,,,Split_1
12.0,TREX,27,2,6,7,0,6,0,7,2,17,0,13,0,Round 4,,,,,,Split_1
13.0,RAT,25,11,3,8,1,3,3,8,0,12,0,8,3,Round 4,,,,,,Split_1
14.0,SMS,24,10,0,15,0,5,3,6,1,6,1,6,3,Round 4,,,,,,Split_1
15.0,UND,23,20,0,16,3,15,3,18,0,19,0,3,9,Round 4,,,,,,Split_1
16.0,ATK,21,18,0,13,4,8,3,13,1,18,1,7,5,Round 4,,,,,,Split_1
17.0,789,18,15,3,20,0,20,0,5,3,14,6,17,0,Round 4,,,,,,Split_1
18.0,PXL,14,9,1,14,1,13,6,12,0,13,0,18,0,Round 4,,,,,,Split_1
19.0,SOL,11,16,3,19,0,12,0,20,0,15,0,5,2,Round 4,,,,,,Split_1
20.0,HKE,7,14,4,9,0,19,0,19,0,20,0,20,0,Round 4,,,,,,Split_1
,NMS,55,16,0,7,4,9,3,6,7,2,9,3,8,Round 5,1.0,,,,,Split_1
,VXD,54,4,2,4,6,5,3,3,3,9,4,2,4,Round 5,2.0,,,,,Split_1
,HS,50,7,5,15,3,2,4,9,1,1,10,16,0,Round 5,3.0,,,,,Split_1
,ALL,42,2,7,3,7,17,0,10,2,5,4,20,0,Round 5,4.0,,,,,Split_1
,IG,40,18,0,17,1,7,4,18,0,14,4,1,15,Round 5,5.0,,,,,Split_1
,RASC,39,8,3,1,10,15,0,12,5,15,2,13,1,Round 5,6.0,,,,,Split_1
,UND,39,20,0,19,1,1,8,11,1,3,7,14,1,Round 5,7.0,,,,,Split_1
,GUILD,36,1,12,14,0,8,3,19,0,19,0,6,3,Round 5,8.0,,,,,Split_1
,ZETA,35,10,0,8,4,6,4,5,2,20,0,5,10,Round 5,9.0,,,,,Split_1
,FB,35,15,0,11,4,13,1,1,13,10,0,18,0,Round 5,10.0,,,,,Split_1
,MAGI,35,13,0,2,5,14,4,15,1,7,5,9,3,Round 5,11.0,,,,,Split_1
,69IQ,32,5,3,9,8,4,7,16,0,13,1,11,0,Round 5,12.0,,,,,Split_1
,HKE,30,14,3,10,3,12,5,20,0,6,6,8,4,Round 5,13.0,,,,,Split_1
,K1CK,30,12,6,6,1,19,1,17,3,4,2,10,6,Round 5,14.0,,,,,Split_1
,TREX,30,17,0,13,0,11,4,2,12,16,2,12,0,Round 5,15.0,,,,,Split_1
,789,30,3,8,18,0,3,3,8,1,18,0,15,1,Round 5,16.0,,,,,Split_1
