Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,VOID,55,9,4,2,6,1,12,4,5
2.0,UORG,51,14,0,1,13,3,7,14,10
3.0,FBOSS,50,3,3,4,6,19,1,1,16
4.0,GP,29,17,1,10,5,4,2,3,7
5.0,CDE,27,2,9,12,3,7,2,16,0
6.0,CIMJ,25,1,5,9,1,17,0,10,3
7.0,ShameAssist,24,16,0,13,0,6,7,2,4
8.0,OYO,24,10,3,8,1,2,6,13,0
9.0,ZERO,24,7,3,3,4,10,0,5,1
10.0,PÂTÉ,22,4,7,6,5,16,0,9,0
11.0,CCE UCX,21,5,5,5,4,9,1,11,0
12.0,TAG NA,13,6,8,16,0,13,1,18,0
13.0,Patrón,12,11,1,11,0,14,5,15,2
14.0,Hotdoggers,12,8,3,14,0,8,3,12,0
15.0,MIKE,11,13,0,7,3,15,3,19,0
16.0,BMM,9,12,1,15,0,11,0,8,3
17.0,NooB,8,18,0,17,0,5,1,6,0
18.0,FA,5,19,0,18,0,12,1,7,0
19.0,PRIMAL,1,15,0,19,0,18,0,17,0
20.0,SQUID,0,0,0,0,0,0,0,0,0
