B vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,FUR,68,1,5,2,12,11,6,16,3,12,3,6,13
2.0,EXO,57,3,4,16,0,1,14,11,0,2,9,12,0
3.0,FNX,51,2,8,19,0,2,5,5,1,4,3,13,6
4.0,SNG,49,6,5,1,8,4,7,20,1,15,3,5,0
5.0,E6,48,5,7,17,1,19,0,17,0,1,12,2,3
6.0,NRG,46,8,5,12,3,3,3,3,3,5,5,7,3
7.0,LG,46,9,4,3,5,5,2,4,3,3,7,20,0
8.0,TL,38,12,0,8,4,9,2,8,0,13,2,1,10
9.0,C9,32,11,2,15,3,13,5,1,6,14,0,19,0
10.0,SZ,28,10,2,4,2,10,3,19,2,19,0,4,5
11.0,FNC,27,4,8,14,0,15,4,10,6,17,0,16,0
12.0,E8,27,15,3,7,3,6,2,9,4,10,3,14,0
13.0,STK,27,17,0,13,0,8,2,2,10,8,1,17,0
14.0,RC,19,18,0,5,2,16,0,7,6,11,0,15,2
15.0,INF,19,14,0,10,2,7,0,6,2,9,2,9,0
16.0,GFR,18,16,0,6,3,20,0,14,0,18,0,3,4
17.0,ODK,16,19,0,9,3,14,1,15,0,16,3,11,4
18.0,PVX,12,7,1,11,1,17,0,18,0,6,1,8,0
19.0,FAK,11,20,0,18,1,18,0,12,1,7,2,10,1
20.0,GMT,8,13,0,20,0,12,4,13,1,20,0,18,0
