B vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,TSM,61,7,2,2,8,1,7,10,0,3,3,5,4
2.0,FUR,60,16,3,5,15,15,6,3,7,12,7,13,8
3.0,C9,58,17,0,1,6,5,2,1,6,4,5,8,4
4.0,OG,53,2,7,17,0,3,2,4,10,9,0,2,2
5.0,SNG,50,4,5,3,6,13,0,8,2,2,9,6,1
6.0,DF,47,1,20,16,6,9,6,11,0,20,0,20,0
7.0,E8,45,5,2,11,2,16,0,5,2,7,0,1,15
8.0,E6,43,6,5,8,1,6,6,2,3,17,3,9,6
9.0,GMT,35,11,1,19,0,2,10,13,9,18,1,12,2
10.0,IG,31,14,1,12,1,8,3,16,0,1,8,15,1
11.0,BRGR,30,3,6,10,0,10,1,18,0,13,1,4,5
12.0,PVX,29,9,1,15,0,7,3,9,2,5,3,3,1
13.0,ALL,20,19,0,18,0,18,0,7,6,6,2,7,3
14.0,LG,20,18,1,6,0,4,5,19,0,8,2,14,1
15.0,DNG,13,10,1,4,2,14,1,17,0,14,0,19,0
16.0,FNX,10,13,0,13,3,12,0,6,1,16,0,18,0
17.0,ODK,8,8,0,20,0,17,0,12,0,15,4,16,0
18.0,FSV,8,15,0,9,1,11,0,20,0,10,1,17,0
19.0,ORF,7,12,0,7,0,20,0,14,1,19,0,11,0
20.0,1IQ,5,20,0,14,0,19,0,15,0,11,0,10,0
