,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 24, 2022 - 17:00 GMTStorm Point Totem Esports T-Rex Game of Drones","Round 1 Round 1 March 24, 2022 - 17:00 GMTStorm Point Totem Esports T-Rex Game of Drones","Round 2 Round 2 March 24, 2022 - 17:30 GMTStorm Point SCARZ Players Vexed Gaming","Round 2 Round 2 March 24, 2022 - 17:30 GMTStorm Point SCARZ Players Vexed Gaming","Round 3 Round 3 March 24, 2022 - 18:00 GMTStorm Point 69iQ esports Team Empire Rats","Round 3 Round 3 March 24, 2022 - 18:00 GMTStorm Point 69iQ esports Team Empire Rats","Round 4 Round 4 March 24, 2022 - 18:30 GMTWorld's Edge Vexed Gaming Outplayed Players","Round 4 Round 4 March 24, 2022 - 18:30 GMTWorld's Edge Vexed Gaming Outplayed Players","Round 5 Round 5 March 24, 2022 - 19:00 GMTWorld's Edge SCARZ Game of Drones Outplayed","Round 5 Round 5 March 24, 2022 - 19:00 GMTWorld's Edge SCARZ Game of Drones Outplayed","Round 6 Round 6 March 24, 2022 - 19:30 GMTWorld's Edge 69iQ esports K1CK UNDERRATED","Round 6 Round 6 March 24, 2022 - 19:30 GMTWorld's Edge 69iQ esports K1CK UNDERRATED"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SZ,60,17,2,1,8,4,6,16,1,1,10,11,3
1,2.0,69IQ,60,5,1,11,0,1,17,9,0,7,2,1,6
2,3.0,TTM,55,1,14,12,0,7,3,4,5,5,7,14,0
3,4.0,VXD,52,8,0,3,11,9,1,1,12,11,1,10,1
4,5.0,K1CK,49,19,0,6,3,14,0,14,10,9,7,2,13
5,6.0,IG,46,4,4,5,9,16,0,10,7,4,6,9,2
6,7.0,EMP,40,13,0,4,5,2,9,11,1,8,3,16,4
7,8.0,PLRS,40,7,3,2,8,17,0,3,9,16,0,15,0
8,9.0,GOD,37,3,8,10,0,10,3,17,0,2,6,19,0
9,10.0,OP,33,12,1,18,0,11,2,2,5,3,6,12,0
10,11.0,HS,28,6,5,17,3,18,0,15,1,10,2,4,6
11,12.0,TREX,27,2,6,7,0,6,0,7,2,17,0,13,0
12,13.0,RAT,25,11,3,8,1,3,3,8,0,12,0,8,3
13,14.0,SMS,24,10,0,15,0,5,3,6,1,6,1,6,3
14,15.0,UND,23,20,0,16,3,15,3,18,0,19,0,3,9
15,16.0,ATK,21,18,0,13,4,8,3,13,1,18,1,7,5
16,17.0,789,18,15,3,20,0,20,0,5,3,14,6,17,0
17,18.0,PXL,14,9,1,14,1,13,6,12,0,13,0,18,0
18,19.0,SOL,11,16,3,19,0,12,0,20,0,15,0,5,2
19,20.0,HKE,7,14,4,9,0,19,0,19,0,20,0,20,0
