,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 25, 2022 - 17:00 GMTStorm Point Guild Esports Alliance 789","Round 1 Round 1 March 25, 2022 - 17:00 GMTStorm Point Guild Esports Alliance 789","Round 2 Round 2 March 25, 2022 - 17:30 GMTStorm Point Rascals Magicians Alliance","Round 2 Round 2 March 25, 2022 - 17:30 GMTStorm Point Rascals Magicians Alliance","Round 3 Round 3 March 25, 2022 - 18:00 GMTStorm Point UNDERRATED High Society 789","Round 3 Round 3 March 25, 2022 - 18:00 GMTStorm Point UNDERRATED High Society 789","Round 4 Round 4 March 25, 2022 - 18:30 GMTWorld's Edge Fenerbahçe Esports T-Rex Vexed Gaming","Round 4 Round 4 March 25, 2022 - 18:30 GMTWorld's Edge Fenerbahçe Esports T-Rex Vexed Gaming","Round 5 Round 5 March 25, 2022 - 19:00 GMTWorld's Edge High Society Nemesis UNDERRATED","Round 5 Round 5 March 25, 2022 - 19:00 GMTWorld's Edge High Society Nemesis UNDERRATED","Round 6 Round 6 March 25, 2022 - 19:30 GMTWorld's Edge Invictus Gaming International Vexed Gaming Nemesis","Round 6 Round 6 March 25, 2022 - 19:30 GMTWorld's Edge Invictus Gaming International Vexed Gaming Nemesis"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,NMS,55,16,0,7,4,9,3,6,7,2,9,3,8
1,2.0,VXD,54,4,2,4,6,5,3,3,3,9,4,2,4
2,3.0,HS,50,7,5,15,3,2,4,9,1,1,10,16,0
3,4.0,ALL,42,2,7,3,7,17,0,10,2,5,4,20,0
4,5.0,IG,40,18,0,17,1,7,4,18,0,14,4,1,15
5,6.0,RASC,39,8,3,1,10,15,0,12,5,15,2,13,1
6,7.0,UND,39,20,0,19,1,1,8,11,1,3,7,14,1
7,8.0,GUILD,36,1,12,14,0,8,3,19,0,19,0,6,3
8,9.0,ZETA,35,10,0,8,4,6,4,5,2,20,0,5,10
9,10.0,FB,35,15,0,11,4,13,1,1,13,10,0,18,0
10,11.0,MAGI,35,13,0,2,5,14,4,15,1,7,5,9,3
11,12.0,69IQ,32,5,3,9,8,4,7,16,0,13,1,11,0
12,13.0,HKE,30,14,3,10,3,12,5,20,0,6,6,8,4
13,14.0,K1CK,30,12,6,6,1,19,1,17,3,4,2,10,6
14,15.0,TREX,30,17,0,13,0,11,4,2,12,16,2,12,0
15,16.0,789,30,3,8,18,0,3,3,8,1,18,0,15,1
16,17.0,OG,23,6,3,5,2,18,0,4,1,8,0,7,0
17,18.0,RBL,16,9,4,16,0,10,2,7,2,11,0,17,0
18,19.0,RAT,16,11,3,12,0,16,0,13,0,12,3,4,1
19,20.0,1872,3,19,0,20,0,20,0,14,2,17,0,19,0
