,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 27, 2022 - 17:00 BSTWorld's Edge Team Empire Morning Stars UNDERRATED","Round 1 Round 1 March 27, 2022 - 17:00 BSTWorld's Edge Team Empire Morning Stars UNDERRATED","Round 2 Round 2 March 27, 2022 - 17:30 BSTWorld's Edge 789 Totem Esports Players","Round 2 Round 2 March 27, 2022 - 17:30 BSTWorld's Edge 789 Totem Esports Players","Round 3 Round 3 March 27, 2022 - 18:00 BSTWorld's Edge Vexed Gaming Totem Esports 69iQ esports","Round 3 Round 3 March 27, 2022 - 18:00 BSTWorld's Edge Vexed Gaming Totem Esports 69iQ esports","Round 4 Round 4 March 27, 2022 - 18:30 BSTStorm Point SCARZ Team Empire Players","Round 4 Round 4 March 27, 2022 - 18:30 BSTStorm Point SCARZ Team Empire Players","Round 5 Round 5 March 27, 2022 - 19:00 BSTStorm Point T-Rex Invictus Gaming International K1CK","Round 5 Round 5 March 27, 2022 - 19:00 BSTStorm Point T-Rex Invictus Gaming International K1CK","Round 6 Round 6 March 27, 2022 - 19:30 BSTStorm Point SCARZ Rats UNDERRATED","Round 6 Round 6 March 27, 2022 - 19:30 BSTStorm Point SCARZ Rats UNDERRATED"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,EMP,62,1,11,13,3,10,4,2,10,7,5,10,0
1,2.0,TTM,59,5,4,2,4,2,7,6,2,6,3,4,6
2,3.0,SZ,58,14,2,9,5,18,3,1,7,19,0,1,14
3,4.0,PLRS,48,9,5,3,12,14,1,3,7,4,1,19,0
4,5.0,UND,48,3,7,10,1,4,4,15,0,17,3,3,11
5,6.0,69IQ,40,17,0,4,7,3,4,16,0,8,11,6,1
6,7.0,VXD,40,18,0,8,3,1,7,11,2,5,5,5,0
7,8.0,IG,37,7,2,7,2,7,1,5,5,2,5,16,0
8,9.0,789,35,4,5,1,4,9,0,8,3,9,0,18,0
9,10.0,K1CK,32,13,1,6,4,16,0,12,3,3,5,11,6
10,11.0,SMS,31,2,8,16,0,11,0,4,3,12,1,15,2
11,12.0,TREX,31,15,3,14,1,17,0,9,2,1,8,12,0
12,13.0,SOL,27,11,3,19,0,6,6,13,6,11,3,14,2
13,14.0,RAT,27,10,1,17,0,12,2,19,0,13,6,2,5
14,15.0,ATK,23,19,0,12,3,8,12,18,2,20,0,8,1
15,16.0,OP,19,20,0,5,3,13,0,7,0,10,0,7,3
16,17.0,PXL,18,12,1,11,0,5,5,10,0,15,1,9,0
17,18.0,GOD,11,6,1,15,2,20,0,17,1,14,0,13,1
18,19.0,HS,10,16,0,20,0,19,3,14,3,18,0,17,3
19,20.0,HKE,6,8,2,18,0,15,1,20,0,16,0,20,0
