,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 26, 2022 - 16:00 GMTWorld's Edge Acend Rats K1CK","Round 1 Round 1 March 26, 2022 - 16:00 GMTWorld's Edge Acend Rats K1CK","Round 2 Round 2 March 26, 2022 - 16:30 GMTWorld's Edge T-Rex Kungarna Acend","Round 2 Round 2 March 26, 2022 - 16:30 GMTWorld's Edge T-Rex Kungarna Acend","Round 3 Round 3 March 26, 2022 - 17:00 GMTWorld's Edge 69iQ esports Natus Vincere K1CK","Round 3 Round 3 March 26, 2022 - 17:00 GMTWorld's Edge 69iQ esports Natus Vincere K1CK","Round 4 Round 4 March 26, 2022 - 17:30 GMTStorm PointMissing: kugnarna K1CK T-Rex","Round 4 Round 4 March 26, 2022 - 17:30 GMTStorm PointMissing: kugnarna K1CK T-Rex","Round 5 Round 5 March 26, 2022 - 18:00 GMTStorm Point GMT Esports K1CK soloQgoats","Round 5 Round 5 March 26, 2022 - 18:00 GMTStorm Point GMT Esports K1CK soloQgoats","Round 6 Round 6 March 26, 2022 - 18:30 GMTStorm Point UNDERRATED Mutariuum Horizon Union","Round 6 Round 6 March 26, 2022 - 18:30 GMTStorm Point UNDERRATED Mutariuum Horizon Union"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,K1CK,77,3,15,17,0,3,7,2,13,2,8,16,2
1,2.0,ACE,63,1,10,3,4,5,8,6,2,8,1,4,5
2,3.0,KNG,58,4,0,2,9,9,4,1,7,6,3,5,0
3,4.0,MUT,55,5,8,16,2,15,0,7,10,19,0,2,18
4,5.0,TREX,47,8,1,1,14,6,0,3,3,18,0,7,2
5,6.0,GMT,44,17,0,4,6,18,2,12,0,1,13,8,3
6,7.0,NAVI,39,9,3,19,0,2,8,4,8,10,0,15,1
7,8.0,69IQ,37,16,0,6,2,1,9,9,0,5,4,13,0
8,9.0,UND,36,14,0,12,3,8,4,17,0,17,3,1,10
9,10.0,IG,27,7,3,8,2,10,0,10,6,7,2,14,1
10,11.0,HRZN,26,6,3,14,1,12,3,15,0,11,1,3,4
11,12.0,SQG,23,12,2,13,1,14,3,16,0,3,7,18,0
12,13.0,VXD,22,13,0,5,1,17,0,11,2,4,2,6,3
13,14.0,HKE,20,19,0,9,1,4,7,13,0,12,0,10,1
14,15.0,FORG,19,15,1,7,1,7,1,14,0,9,4,17,2
15,16.0,RAT,18,2,1,10,1,11,0,19,0,13,3,19,0
16,17.0,789,16,10,3,11,6,16,0,18,0,16,3,11,0
17,18.0,HS,12,11,2,18,0,13,0,8,4,14,0,12,0
18,19.0,SCTA,12,18,0,15,0,19,0,5,1,15,0,9,3
19,20.0,AP,0,0,0,0,0,0,0,0,0,0,0,0,0
