Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
1.0,NMS,98,1,19,1,14,3,8,1,14,Lobby 10,Round_1,,,,
2.0,ORCL,43,5,5,2,7,7,0,2,6,Lobby 10,Round_1,,,,
3.0,SPIRAL,37,7,5,3,5,5,9,12,3,Lobby 10,Round_1,,,,
4.0,Justthreeplayers,32,2,5,7,0,6,3,5,5,Lobby 10,Round_1,,,,
5.0,Kissyourhomies,31,9,0,10,5,1,7,6,0,Lobby 10,Round_1,,,,
6.0,BFG,25,12,0,5,0,2,2,4,4,Lobby 10,Round_1,,,,
7.0,SlayerOfSundays,20,4,1,9,3,4,3,14,0,Lobby 10,Round_1,,,,
8.0,LPm,18,3,1,11,0,10,2,8,3,Lobby 10,Round_1,,,,
9.0,Falcons,12,11,1,4,1,9,1,13,0,Lobby 10,Round_1,,,,
10.0,White Clover,12,13,0,14,0,13,1,3,1,Lobby 10,Round_1,,,,
11.0,Multi,9,6,1,12,0,14,0,7,0,Lobby 10,Round_1,,,,
12.0,Evasion Savage,8,10,0,8,0,11,1,9,0,Lobby 10,Round_1,,,,
13.0,menfou,8,14,0,6,0,8,0,10,0,Lobby 10,Round_1,,,,
14.0,Aesir,5,8,0,13,0,12,0,11,0,Lobby 10,Round_1,,,,
1.0,TREX,74,1,16,4,4,1,16,7,6,Lobby 11,Round_1,,,,
2.0,BGR,66,3,10,1,17,11,3,3,9,Lobby 11,Round_1,,,,
3.0,Boydem,43,4,2,7,5,5,3,1,9,Lobby 11,Round_1,,,,
4.0,UTFT,33,5,1,6,0,2,7,5,5,Lobby 11,Round_1,,,,
5.0,SCTA,30,2,4,2,3,7,0,13,1,Lobby 11,Round_1,,,,
6.0,EFG Team,26,13,0,10,2,3,2,2,3,Lobby 11,Round_1,,,,
7.0,STUGOTS,19,15,0,3,2,4,3,15,0,Lobby 11,Round_1,,,,
8.0,Lagom,18,9,1,8,3,10,0,4,3,Lobby 11,Round_1,,,,
9.0,onetap,15,8,3,5,0,12,2,9,1,Lobby 11,Round_1,,,,
10.0,Royal Mooses,12,10,1,9,2,8,2,11,0,Lobby 11,Round_1,,,,
11.0,TRS Clan,10,6,3,15,0,14,0,8,0,Lobby 11,Round_1,,,,
12.0,Nuclear Apes,8,12,0,13,1,9,2,12,0,Lobby 11,Round_1,,,,
13.0,AimAssist,8,14,0,11,0,15,0,6,2,Lobby 11,Round_1,,,,
14.0,RatPasTaGame,7,11,0,12,0,6,0,10,0,Lobby 11,Round_1,,,,
15.0,NASA,6,7,0,14,0,13,0,14,0,Lobby 11,Round_1,,,,
1.0,NoFear,61,2,8,1,11,2,8,13,3,Lobby 12,Round_1,,,,
2.0,TOG,47,11,4,4,1,3,3,1,14,Lobby 12,Round_1,,,,
3.0,Wisps,46,6,4,8,1,1,10,5,10,Lobby 12,Round_1,,,,
4.0,ALKaIIIbI,38,1,11,11,3,11,3,3,0,Lobby 12,Round_1,,,,
5.0,Back to Lobby,37,8,2,6,3,8,4,2,12,Lobby 12,Round_1,,,,
6.0,Ignite,34,4,7,3,6,10,2,4,0,Lobby 12,Round_1,,,,
7.0,SeXy Chonks,32,12,0,2,13,9,5,12,1,Lobby 12,Round_1,,,,
8.0,Moanerz EU,18,5,0,7,3,7,4,14,0,Lobby 12,Round_1,,,,
9.0,LaFay,13,3,0,14,0,14,0,7,1,Lobby 12,Round_1,,,,
10.0,plugged off life,12,7,2,5,0,13,0,8,0,Lobby 12,Round_1,,,,
11.0,Dreamteam,11,13,0,12,2,5,2,11,0,Lobby 12,Round_1,,,,
12.0,Tr1peRs,11,15,0,15,0,4,2,10,0,Lobby 12,Round_1,,,,
13.0,7Hologram,10,10,0,10,0,6,0,6,0,Lobby 12,Round_1,,,,
14.0,789Academy,6,9,0,9,0,12,0,15,0,Lobby 12,Round_1,,,,
15.0,Violent Spuad,5,14,0,13,0,15,0,9,0,Lobby 12,Round_1,,,,
1.0,RD,66,5,10,3,13,9,2,1,16,Lobby 13,Round_1,,,,
2.0,Duck Goes Quack,45,1,11,1,5,10,0,6,0,Lobby 13,Round_1,,,,
3.0,Dababy,40,11,2,5,1,1,13,7,4,Lobby 13,Round_1,,,,
4.0,PRSTS,40,2,5,2,11,12,0,8,3,Lobby 13,Round_1,,,,
5.0,BCG,39,3,7,8,3,7,5,4,7,Lobby 13,Round_1,,,,
6.0,Carnage,29,4,1,13,0,2,3,2,1,Lobby 13,Round_1,,,,
7.0,JIGSAW,21,9,0,9,1,3,5,5,0,Lobby 13,Round_1,,,,
8.0,2ege1college,20,8,0,6,3,4,5,11,1,Lobby 13,Round_1,,,,
9.0,FP,15,10,0,12,0,6,0,3,2,Lobby 13,Round_1,,,,
10.0,HEROES ESPORT,12,6,1,10,0,5,1,13,0,Lobby 13,Round_1,,,,
11.0,4Elbl,10,13,0,4,0,8,0,10,0,Lobby 13,Round_1,,,,
12.0,VYBN,9,7,0,7,1,11,0,12,0,Lobby 13,Round_1,,,,
13.0,Nevermind Tromsø,5,12,0,14,0,13,0,9,0,Lobby 13,Round_1,,,,
14.0,EBoys,2,14,0,11,0,20,0,20,0,Lobby 13,Round_1,,,,
15.0,AimAssistRed,0,20,0,20,0,20,0,20,0,Lobby 13,Round_1,,,,
1.0,AP,56,1,4,3,2,1,12,7,4,Lobby 14,Round_1,,,,
2.0,DM,44,4,5,1,10,6,8,11,0,Lobby 14,Round_1,,,,
3.0,Weebs Out,43,2,10,11,0,11,2,3,13,Lobby 14,Round_1,,,,
4.0,HLDC,33,3,8,4,6,9,3,13,1,Lobby 14,Round_1,,,,
5.0,Nobody,28,8,0,9,1,2,3,2,2,Lobby 14,Round_1,,,,
6.0,Reakless,27,11,0,6,6,8,0,1,3,Lobby 14,Round_1,,,,
7.0,HNY,27,7,0,2,4,3,1,8,1,Lobby 14,Round_1,,,,
8.0,SVR,22,12,3,10,1,4,6,5,0,Lobby 14,Round_1,,,,
9.0,DSI,19,6,1,7,0,13,0,4,6,Lobby 14,Round_1,,,,
10.0,CRAZYx3,16,5,2,8,3,12,0,6,1,Lobby 14,Round_1,,,,
