Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,AK47,125,6,8,1,12,1,13,2,14,3,8,1,15
2.0,COFFE,118,5,2,2,15,3,12,3,3,1,23,3,8
3.0,PRDX,55,9,9,11,1,2,4,9,9,9,4,8,5
4.0,WTN,54,2,8,7,3,10,6,8,4,5,4,15,0
5.0,RUA6,41,3,5,4,2,6,0,7,0,16,0,2,4
6.0,Mystical,37,13,0,13,3,11,1,6,3,2,2,10,1
7.0,GUG,36,16,0,14,3,9,2,11,0,4,3,7,9
8.0,GOAT,29,8,2,6,1,13,0,1,1,8,1,16,0
9.0,TERM,27,17,0,5,2,4,1,5,3,14,0,12,0
10.0,ULW,23,7,0,12,0,12,0,4,4,11,0,4,1
11.0,SFD,22,1,6,15,0,16,0,15,0,13,0,13,0
12.0,2k ping,19,10,3,10,1,5,3,13,0,6,0,17,0
13.0,TVA,18,12,1,3,0,17,0,14,0,7,1,5,0
14.0,HARD,12,14,2,17,0,7,5,17,0,17,0,14,0
15.0,SIG,12,4,0,16,0,14,0,10,0,15,1,11,1
16.0,QUAS,11,15,0,8,0,15,0,12,1,10,0,6,0
17.0,MALA,9,11,0,9,0,8,0,16,0,12,0,9,1
18.0,SP,1,0,0,0,0,0,0,0,0,0,0,0,0
19.0,OSO,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,TCS,0,0,0,0,0,0,0,0,0,0,0,0,0
