Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,Multicultural,53,92,0,37,44,112,99,29,1010
2.0,BOG,47,112,88,112,66,111,11,45,22
3.0,SkarptSinne,33,29,33,29,66,102,0,73,11
4.0,R.Harmony,31,37,77,82,22,63,22,102,66
5.0,LH,27,45,55,102,0,121,11,37,66
6.0,Hardstucks,27,54,33,151,0,29,66,92,22
7.0,HpyRogKut,27,63,11,73,22,141,0,112,55
8.0,Soosmar slayer,26,111,0,54,33,45,66,63,44
9.0,Bit of Trolling,25,131,11,45,66,54,11,54,33
10.0,DNT,22,102,11,92,11,37,77,82,0
11.0,AU Skyrise,21,121,44,131,44,92,88,151,0
12.0,LNW,14,141,33,141,0,73,22,111,33
13.0,DEK,7,151,0,121,22,82,0,121,0
14.0,Speed,7,82,0,63,0,151,0,131,0
15.0,Lags Fault,6,73,0,111,0,131,0,141,0
16.0,FlowInGame,0,200,0,200,0,200,0,200,0
