Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby
1.0,LM,71,3,7,2,20,12,5,1,10,Lobby 1
2.0,DUMPERS,58,4,12,10,3,1,10,4,9,Lobby 1
3.0,CAS,40,7,7,7,5,5,3,3,8,Lobby 1
4.0,WASH,36,2,12,19,0,8,9,15,3,Lobby 1
5.0,FNS,28,1,8,14,0,11,0,7,3,Lobby 1
6.0,OA,27,6,5,17,0,3,8,9,2,Lobby 1
7.0,Onyx,27,17,0,3,4,2,3,5,0,Lobby 1
8.0,Team Name,25,5,2,12,0,7,6,6,6,Lobby 1
9.0,SLS,25,10,0,1,7,13,2,14,0,Lobby 1
10.0,New Misfits,22,19,0,9,5,19,0,2,6,Lobby 1
11.0,MoJo,16,13,0,4,5,6,1,11,0,Lobby 1
12.0,Grimm,11,12,0,5,2,16,3,12,0,Lobby 1
13.0,NOXIOUS,9,16,1,8,0,4,0,13,0,Lobby 1
14.0,StepBros,8,8,0,15,0,9,3,18,0,Lobby 1
15.0,UNDD,7,9,0,13,0,15,0,10,1,Lobby 1
16.0,1B2K,6,11,0,16,0,10,0,17,3,Lobby 1
17.0,Mobsquad,5,14,0,6,0,14,0,16,0,Lobby 1
18.0,Down Bad,4,15,0,18,0,18,0,8,1,Lobby 1
19.0,Carbon Esports,2,18,0,11,0,17,0,19,1,Lobby 1
20.0,Iron Giant,0,20,0,20,0,20,0,20,0,Lobby 1
1.0,LVG,62,14,2,2,12,6,10,2,16,Lobby 2
2.0,LKM,48,3,5,1,13,3,3,12,0,Lobby 2
3.0,LF,37,8,2,5,3,11,2,1,11,Lobby 2
4.0,BLitLd Revengers,34,16,6,8,3,2,10,14,3,Lobby 2
5.0,Specter,34,1,6,11,4,12,0,3,3,Lobby 2
6.0,ROT,27,19,0,4,9,4,4,11,3,Lobby 2
7.0,My Neck My Back,27,10,1,16,0,1,12,17,0,Lobby 2
8.0,ChayKayJay,26,2,11,14,0,15,0,5,0,Lobby 2
9.0,EXAgents,24,4,4,17,0,7,3,13,8,Lobby 2
10.0,Already Peaked,22,7,3,3,7,17,0,10,0,Lobby 2
11.0,Bunch of APES,19,13,0,6,5,10,6,15,1,Lobby 2
12.0,TDG,17,5,2,7,0,13,3,16,4,Lobby 2
13.0,TPM,14,15,5,13,3,14,3,19,0,Lobby 2
14.0,GSG,13,9,4,15,0,18,0,4,1,Lobby 2
15.0,GNR,12,11,2,9,0,16,0,9,5,Lobby 2
16.0,Potential Upset,7,12,0,19,0,20,0,7,3,Lobby 2
17.0,Monke Mode 3B,7,6,2,20,0,9,0,20,0,Lobby 2
18.0,The Goon Squad,6,18,0,18,0,8,1,8,1,Lobby 2
19.0,CJX Crew,6,20,0,12,0,5,1,18,0,Lobby 2
20.0,DPRK,5,17,0,10,0,19,0,6,0,Lobby 2
1.0,EQ,71,4,4,1,9,1,12,2,8,Lobby 3
2.0,D A B,71,1,11,3,4,2,4,1,12,Lobby 3
3.0,CCE,32,16,6,13,3,9,12,10,6,Lobby 3
4.0,Sussy Bakas,32,7,0,7,4,4,6,5,7,Lobby 3
5.0,MDL,32,2,4,6,6,11,2,4,2,Lobby 3
6.0,NM,30,5,9,10,7,7,4,12,0,Lobby 3
7.0,RL,25,3,7,12,3,6,3,14,0,Lobby 3
8.0,JackBoyz,19,8,5,15,0,13,0,3,3,Lobby 3
9.0,Team Savage,19,15,1,2,4,10,0,8,0,Lobby 3
10.0,DirtyDingus',16,9,1,16,0,3,2,6,1,Lobby 3
11.0,Never Lucky,12,19,1,8,7,16,2,17,0,Lobby 3
12.0,ZooWeeMama,11,12,2,17,0,8,1,9,3,Lobby 3
13.0,OutofPocketGamer,10,18,0,5,4,17,0,11,1,Lobby 3
