Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby
11.0,KINDOG,13,3,0,6,1,11,0,11,0,Lobby 6
12.0,Conquerors,13,13,0,9,0,12,0,2,0,Lobby 6
13.0,iMG,8,8,1,11,0,8,0,8,0,Lobby 6
14.0,MagikPanda,0,20,0,20,0,20,0,20,0,Lobby 6
1.0,DNZ,83,1,17,1,12,8,2,1,14,Lobby 7
2.0,Job Seekers,36,2,6,11,0,1,6,9,0,Lobby 7
3.0,4Thumbs1Arm,35,9,0,5,2,7,10,4,9,Lobby 7
4.0,67 Richter,32,3,4,7,0,2,2,3,0,Lobby 7
5.0,SNG,24,7,3,3,6,6,0,10,0,Lobby 7
6.0,Pagan Patrol,24,5,0,9,1,3,0,2,1,Lobby 7
7.0,DESI,19,6,1,4,1,5,2,6,0,Lobby 7
8.0,GOD OF DREAM,16,4,0,8,0,4,2,11,1,Lobby 7
9.0,Keep it 100,15,8,0,10,1,10,1,5,3,Lobby 7
10.0,LAG,15,11,0,2,1,11,0,7,0,Lobby 7
11.0,HeadHunters,13,10,0,6,3,9,1,8,0,Lobby 7
12.0,clanGH0ST,1,12,0,20,0,20,0,20,0,Lobby 7
13.0,GaleottoD4C,0,20,0,20,0,20,0,20,0,Lobby 7
1.0,PG,65,3,12,1,14,7,4,9,11,Lobby 8
2.0,EVO BERZ,60,1,11,7,5,3,11,5,7,Lobby 8
3.0,NMLS,38,5,5,5,3,4,11,6,3,Lobby 8
4.0,BOG,36,9,2,6,1,1,4,3,5,Lobby 8
5.0,BTCxWGG,24,12,0,4,9,12,3,4,0,Lobby 8
6.0,Bocah bar bar,24,20,0,20,0,8,0,1,10,Lobby 8
7.0,Lunatics,21,7,1,11,0,11,2,2,4,Lobby 8
8.0,Prey,18,11,0,3,5,6,0,10,0,Lobby 8
9.0,WINGS,17,13,0,8,0,2,4,11,0,Lobby 8
10.0,Exusiai,15,6,0,2,0,9,0,14,0,Lobby 8
11.0,"Etc, Etc",13,2,0,9,0,14,0,13,0,Lobby 8
12.0,Kopi,12,8,3,10,0,10,1,8,0,Lobby 8
13.0,60 Hurtz,11,4,1,12,0,13,0,7,0,Lobby 8
14.0,Kushaholics,9,10,0,13,1,5,0,12,0,Lobby 8
