Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,4BIDDEN,71,2,22,11,0,13,0,1,21,9,2,11,0
2.0,TCS,68,13,0,9,3,1,15,3,4,10,4,2,9
3.0,PVP,60,3,1,2,5,9,1,2,2,1,10,9,0
4.0,Love Egirls,54,6,1,5,9,8,1,4,3,4,6,3,8
5.0,O3,45,1,9,3,2,7,1,5,3,12,0,8,1
6.0,STR,43,12,0,6,2,10,3,8,0,3,5,1,6
7.0,DS,36,14,0,4,6,3,8,14,0,7,1,6,1
8.0,Mafia Legends,36,5,3,7,0,2,6,6,0,5,1,7,0
9.0,SolarX,35,7,0,1,5,11,0,7,1,6,3,5,0
10.0,AK47,27,10,0,8,3,12,0,9,4,11,0,4,7
11.0,Os Minhauu,23,9,0,14,0,4,2,11,0,2,1,10,0
12.0,Legión de monos,14,8,1,10,0,5,0,10,0,8,0,12,0
13.0,1k ping,12,4,0,13,0,6,0,13,0,13,0,13,0
14.0,ROCKETZ TEAM,4,11,0,12,0,14,0,12,0,0,0,0,0
15.0,KPS,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,Mystical,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0,NE1,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,Sword of Destiny,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,Duty calls,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,RAV,0,0,0,0,0,0,0,0,0,0,0,0,0
