Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,ZBW,44,6,4,4,10,19,0,2,13
2.0,BW,41,1,11,6,3,5,1,14,6
3.0,HYR,41,2,8,7,0,14,2,3,11
4.0,YK,39,10,4,1,15,13,0,8,3
5.0,POLSKA,36,7,10,2,5,12,4,6,1
6.0,BBG,35,5,7,3,8,6,3,13,2
7.0,BGTTS,31,4,4,18,0,3,10,7,2
8.0,ILL,29,16,0,12,3,1,12,15,0
9.0,THROW,28,18,1,11,4,4,1,1,4
10.0,ROA,24,3,2,8,4,10,1,5,2
11.0,SSK,23,20,0,16,1,2,13,19,0
12.0,KRY,18,8,1,10,0,11,1,4,6
13.0,ZLSTLS,13,9,0,5,1,7,3,18,0
14.0,ANMS,12,12,5,9,1,18,0,9,1
15.0,AMRZ,8,15,1,14,0,17,3,12,1
16.0,FFF,7,19,0,20,0,9,3,16,2
17.0,DK-V,6,20,0,13,0,15,0,10,2
18.0,Sytex,6,11,0,19,2,8,0,11,0
19.0,Veloxity,3,15,0,15,1,20,0,17,0
20.0,nerv,1,13,0,17,0,16,0,20,0
