,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,BOT,109,109
1,2.0,Shady Kings,47,47
2,3.0,ATRX,31,31
3,4.0,Team_Supr3me,28,28
4,5.0,Hold The Door,28,28
5,6.0,NoGiveupGaming,27,27
6,7.0,Dark Matter,16,16
7,8.0,Anfield,14,14
8,9.0,RISK,13,13
9,10.0,Filii Martis,13,13
10,11.0,Unicorn Guild,11,11
11,12.0,1k,10,10
12,13.0,Battle Axe GG,8,8
13,14.0,Dastardly Sharks,7,7
14,15.0,VermillionKnights,0,0
