Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,NM,61,15,2,18,0,1,10,13,0,1,6,2,8
2.0,GFORCE,55,18,0,9,3,15,8,1,18,10,9,20,0
3.0,LZR,53,5,7,19,3,14,0,2,8,3,4,4,5
4.0,WING,52,8,4,15,0,3,7,5,4,9,3,1,6
5.0,TPM,41,2,6,8,8,11,3,12,0,4,3,17,3
6.0,SHEESH,40,6,1,1,11,8,3,14,3,7,0,15,0
7.0,CAS,38,9,0,11,2,16,1,4,7,2,11,18,0
8.0,SUP,36,16,5,14,2,2,6,6,3,11,2,13,3
9.0,COL,36,1,11,12,0,13,3,16,0,17,0,10,6
10.0,ASUR,35,10,0,2,10,4,7,18,0,18,0,12,1
11.0,CLG,34,4,0,13,0,6,3,15,4,5,4,3,2
12.0,OXG,32,3,6,6,4,10,0,19,0,13,4,9,3
13.0,SDO,28,19,2,3,3,9,0,8,1,14,3,5,3
14.0,DXT,23,20,1,20,0,20,0,7,6,6,1,6,6
15.0,CCE UCX,21,7,3,10,0,12,3,9,0,16,2,7,2
16.0,5FT12IN,20,14,3,7,0,17,1,3,0,15,0,8,2
17.0,VOID,19,12,5,17,0,7,1,10,1,8,2,14,1
18.0,RCO,19,13,0,4,3,5,2,17,2,19,0,11,1
19.0,WASH,16,11,0,5,8,18,0,20,0,20,0,19,3
20.0,AST,7,17,2,16,0,19,0,11,0,12,3,16,0
