Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,b0ts,95,9,3,19,0,1,9,3,10,1,15,2,16,Lobby 1
2.0,CG,58,3,9,2,11,12,4,17,0,4,8,12,3,Lobby 1
3.0,Ratio,51,5,4,6,3,8,3,9,0,3,5,1,6,Lobby 1
4.0,ZBW,49,6,5,4,8,2,8,19,2,12,1,6,4,Lobby 1
5.0,SNK,43,7,10,8,6,6,4,5,2,9,2,9,3,Lobby 1
6.0,drain,43,4,7,5,1,4,5,8,1,19,0,3,6,Lobby 1
7.0,XD,41,17,3,10,7,16,3,4,11,8,6,10,0,Lobby 1
8.0,TTG,40,16,0,1,8,9,1,20,1,5,3,4,4,Lobby 1
9.0,POLSKA,37,14,0,3,3,5,6,10,1,10,5,7,3,Lobby 1
10.0,SPPI,33,12,3,11,1,19,0,1,11,16,0,5,0,Lobby 1
11.0,KYKLOS,31,1,4,9,0,3,2,14,3,20,0,17,0,Lobby 1
12.0,SLAP,27,2,11,20,0,7,0,13,1,13,0,11,0,Lobby 1
13.0,SZN,23,15,0,18,0,18,3,2,4,17,3,8,1,Lobby 1
14.0,NCJA,22,13,0,7,5,11,3,7,5,15,0,18,0,Lobby 1
15.0,SMG,18,18,0,17,0,15,0,18,2,2,6,20,0,Lobby 1
16.0,Reset,14,11,0,14,4,17,3,12,0,7,1,19,0,Lobby 1
17.0,LPOG,10,10,0,13,0,13,0,11,1,18,0,13,3,Lobby 1
18.0,YK,10,8,0,15,0,20,1,6,2,11,0,16,0,Lobby 1
19.0,VNX,8,20,0,12,0,10,1,16,0,14,0,15,2,Lobby 1
20.0,TOM,6,19,0,16,0,14,0,15,0,6,0,14,0,Lobby 1
