Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,AIE,92,1,15,5,6,9,3,3,13,12,4,1,13,Lobby 1
2.0,GUG,46,4,8,6,5,8,2,16,0,4,1,2,6,Lobby 1
3.0,CerditosMacabeos,45,20,0,19,1,5,8,17,2,1,15,12,2,Lobby 1
4.0,BTH,43,11,3,3,8,4,8,14,3,18,0,4,2,Lobby 1
5.0,Mystical,40,13,2,1,12,12,4,15,2,19,0,11,4,Lobby 1
6.0,SST,39,7,0,8,3,1,14,18,3,11,0,16,1,Lobby 1
7.0,FourG Team,39,3,2,9,0,17,1,2,3,3,4,6,1,Lobby 1
8.0,KDT - Amber,37,8,8,12,1,11,1,4,4,8,5,10,5,Lobby 1
9.0,TCS,37,6,6,17,0,10,2,11,0,2,7,8,5,Lobby 1
10.0,AK47,33,12,0,15,5,3,8,10,4,14,3,17,1,Lobby 1
11.0,GDb,33,2,4,11,0,7,6,13,0,16,0,3,2,Lobby 1
12.0,ThreeBiden,32,5,4,18,0,19,0,7,5,7,7,14,5,Lobby 1
13.0,PVP,23,17,0,2,2,20,0,6,0,10,3,5,0,Lobby 1
14.0,Seven,22,14,0,4,5,16,0,8,4,13,1,7,0,Lobby 1
15.0,TBG,18,10,1,14,0,2,0,5,0,15,0,18,0,Lobby 1
16.0,O3,17,16,0,13,0,14,1,12,5,5,2,9,0,Lobby 1
17.0,RAV,17,9,0,7,4,13,0,18,3,6,0,15,0,Lobby 1
18.0,MFL-Escape,13,15,0,16,0,6,0,9,3,17,0,13,3,Lobby 1
19.0,EZPIKERS,8,19,2,10,0,15,0,20,1,9,0,20,0,Lobby 1
20.0,ROCKETZ TEAM,1,18,0,20,1,18,0,19,0,20,0,20,0,Lobby 1
