Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,BP,91,1,16,1,18,3,13,6,10
2.0,SLS,78,5,3,2,7,1,14,1,17
3.0,Sea Of Thieves,42,2,6,4,1,2,6,9,4
4.0,OutofPocketGamer,34,10,0,3,8,8,1,2,5
5.0,Were Just Better,24,7,9,5,3,14,0,8,2
6.0,CC,18,13,3,9,4,7,2,10,1
7.0,Coconut Island,18,9,1,11,0,5,7,7,0
8.0,Pointsix,15,3,0,10,0,15,0,4,0
9.0,Fenix eSports,12,8,0,6,1,4,0,13,0
10.0,Let Em Know,12,4,0,13,0,9,0,5,0
11.0,JEAGERS,8,6,0,7,0,13,0,14,0
12.0,Simpfor2Dgirls,6,11,0,15,0,6,0,15,0
13.0,capN esports,5,12,0,8,0,11,0,12,0
14.0,Deathbox Dealers,4,12,0,14,0,10,0,0,0
15.0,W-GANG,4,14,0,12,0,12,0,11,0
