C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,Split
1.0,100T,75,5,4,1,17,2,7,4,6,3,4,19,0,Round 10,,,,,,Split_1
2.0,FUR,75,1,11,3,4,18,2,2,7,4,3,2,6,Round 10,,,,,,Split_1
3.0,ESA,67,20,0,6,9,10,7,11,4,1,16,5,9,Round 10,,,,,,Split_1
4.0,SSG,66,11,2,2,4,1,10,14,2,2,7,7,6,Round 10,,,,,,Split_1
5.0,COL,59,6,4,4,3,4,0,1,19,14,2,8,3,Round 10,,,,,,Split_1
6.0,TOR,47,2,8,15,0,7,1,3,5,5,5,12,3,Round 10,,,,,,Split_1
7.0,TL,45,12,2,7,2,6,5,9,0,11,3,1,11,Round 10,,,,,,Split_1
8.0,SAF,28,13,2,18,0,8,5,16,0,20,1,3,10,Round 10,,,,,,Split_1
9.0,BBG,26,15,1,5,9,16,5,5,1,18,0,13,0,Round 10,,,,,,Split_1
10.0,UNL,26,4,2,8,1,3,2,12,0,13,0,10,3,Round 10,,,,,,Split_1
11.0,C9,23,8,7,13,2,15,0,8,0,9,5,18,1,Round 10,,,,,,Split_1
12.0,AGG,21,7,4,11,1,9,0,15,3,8,1,11,2,Round 10,,,,,,Split_1
13.0,E8,21,3,4,10,0,12,0,20,0,7,2,9,0,Round 10,,,,,,Split_1
14.0,DXT,17,9,1,14,0,17,0,10,1,12,3,4,1,Round 10,,,,,,Split_1
15.0,SEN,16,14,2,19,0,11,2,7,4,16,0,17,3,Round 10,,,,,,Split_1
16.0,OA,15,19,0,17,0,5,6,13,4,17,0,20,0,Round 10,,,,,,Split_1
17.0,GFORCE,14,10,3,9,0,14,0,18,0,10,3,14,0,Round 10,,,,,,Split_1
18.0,TDG,8,16,0,12,3,20,0,19,0,6,1,16,0,Round 10,,,,,,Split_1
19.0,LVG,7,17,1,20,0,13,0,17,2,15,1,15,0,Round 10,,,,,,Split_1
20.0,CAS,7,18,0,16,0,19,0,6,0,19,0,6,1,Round 10,,,,,,Split_1
,SCRY,69,10,4,2,11,4,6,10,6,17,1,1,11,Round 11,1.0,,,,,Split_1
,SSG,64,5,3,16,0,16,0,1,16,1,11,5,2,Round 11,2.0,,,,,Split_1
,CLG,63,4,7,1,11,8,0,3,2,10,7,7,5,Round 11,3.0,,,,,Split_1
,DY,54,1,13,7,4,5,6,12,4,6,1,16,3,Round 11,4.0,,,,,Split_1
