Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split,Region
1.0,LM,82,14,7,2,17,1,26,6,7,Lobby 1,Quarterfinals,,,,,Split_1,North_America
2.0,TPM,51,6,14,18,1,10,9,4,17,Lobby 1,Quarterfinals,,,,,Split_1,North_America
3.0,trash,41,1,11,5,4,7,2,5,1,Lobby 1,Quarterfinals,,,,,Split_1,North_America
4.0,NM,32,4,5,13,0,19,0,1,9,Lobby 1,Quarterfinals,,,,,Split_1,North_America
5.0,IFE,27,2,4,20,0,2,2,7,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
6.0,ChayKayJay,26,13,0,7,3,13,1,3,10,Lobby 1,Quarterfinals,,,,,Split_1,North_America
7.0,ROT,23,10,0,10,4,3,6,13,1,Lobby 1,Quarterfinals,,,,,Split_1,North_America
8.0,Vandals,23,12,0,1,7,9,1,16,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
9.0,GNR,22,3,5,9,5,17,0,18,3,Lobby 1,Quarterfinals,,,,,Split_1,North_America
10.0,ZERO,20,7,3,8,3,4,3,15,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
11.0,CAS,17,15,2,4,3,5,0,9,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
12.0,Must int,16,17,0,3,1,6,4,12,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
13.0,MDL,15,11,3,16,0,15,0,2,1,Lobby 1,Quarterfinals,,,,,Split_1,North_America
14.0,Global,12,8,0,6,4,12,0,10,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
15.0,Lifted,7,9,1,15,0,11,0,8,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
16.0,Undisputed,6,18,1,12,1,8,0,14,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
17.0,Unit Gaming,6,5,1,19,0,15,0,19,0,Lobby 1,Quarterfinals,,,,,Split_1,North_America
18.0,ReVive me pls,5,16,0,17,3,18,0,11,1,Lobby 1,Quarterfinals,,,,,Split_1,North_America
19.0,SDO,4,20,1,11,0,14,0,17,1,Lobby 1,Quarterfinals,,,,,Split_1,North_America
