Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,PQL
20.0,AGL,0,20,0,20,0,20,0,20,0,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_1
1.0,YouLikeThatMate?,50,1,17,2,10,12,1,19,0,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
2.0,BP,48,11,3,1,10,8,13,10,5,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
3.0,LMX,44,4,3,5,7,17,1,1,12,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
4.0,Dexterous,33,3,8,20,0,2,6,14,2,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
5.0,LZR,33,12,0,4,5,1,9,13,0,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
6.0,xD,29,18,0,6,12,7,0,4,6,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
7.0,LVG,29,2,10,15,3,13,1,6,1,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
8.0,Never Lucky,24,7,5,11,1,6,5,12,5,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
9.0,CC,24,10,1,7,0,10,0,2,7,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
10.0,Vandals,22,13,1,12,2,18,1,3,9,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
11.0,Undisputed,20,14,2,14,0,3,8,17,1,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
12.0,AST,18,9,4,9,7,11,0,15,1,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
13.0,Meow Syndicate,17,16,0,3,2,16,0,5,4,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
14.0,4Fun,13,8,2,18,0,4,4,16,0,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
15.0,oni,12,6,0,10,0,9,5,18,0,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
16.0,Onyx,9,15,0,16,0,5,3,11,0,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
17.0,Nest,7,17,1,17,0,20,0,8,4,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
18.0,JustSomeWarriors,7,19,1,8,0,15,0,9,1,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
19.0,SDO,7,20,0,13,0,14,1,7,1,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
20.0,Pickles,6,5,2,19,0,19,0,20,0,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_1
1.0,AM,62,14,1,9,8,2,16,1,13,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
2.0,EST,45,9,2,3,11,1,6,9,3,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
3.0,LF,39,2,4,5,3,4,7,6,4,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
4.0,RT,37,1,9,15,2,3,4,14,1,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
5.0,NEAN,30,3,10,18,0,8,3,4,3,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
6.0,Sussy Bakas,30,7,3,1,4,14,2,12,4,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
7.0,Unlucky,28,13,1,2,2,9,3,5,6,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
8.0,NM,21,16,0,7,3,15,0,2,5,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
9.0,Los Hefes,20,4,5,6,2,10,3,17,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
10.0,Aisle 5,19,6,3,19,0,5,2,3,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
11.0,MOAN,17,8,3,14,6,7,2,19,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
12.0,GNR,16,10,3,17,3,12,5,13,1,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
13.0,TPM,15,5,1,12,0,13,0,7,5,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
14.0,Sniper Meta,13,11,5,16,0,16,0,11,6,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
15.0,Tijuana Piranas,10,20,0,4,5,18,0,20,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
16.0,FROG,10,15,0,10,3,19,0,8,2,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
17.0,BQB,8,12,4,11,0,17,0,10,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
18.0,ZERO,7,17,0,8,1,11,1,18,2,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
19.0,2 Zoomers1boomer,6,18,0,20,0,6,0,15,2,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
20.0,1 vs Lobby,4,19,2,13,1,20,0,16,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1
1.0,BAD,59,5,5,2,6,1,12,2,2,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
2.0,2B1C,57,7,9,1,15,12,0,9,15,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
3.0,Unsigned Talent,52,6,6,4,5,5,11,1,6,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
4.0,WASH,34,8,3,12,6,4,8,6,6,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
5.0,BOT,33,1,5,16,0,3,5,11,3,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
6.0,SUP,27,2,8,7,1,17,3,10,1,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
7.0,Dark Matter,26,11,4,8,2,9,5,5,6,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
8.0,pub stars,25,15,3,5,7,2,1,17,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
9.0,Blood Sport,23,3,2,13,1,13,0,4,6,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
10.0,OrgSignUs,21,17,0,11,4,10,1,3,6,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
11.0,IFE,20,18,3,3,6,8,1,15,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
12.0,Yess,19,4,7,17,0,7,3,18,1,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
13.0,UORG,15,10,3,15,0,6,3,14,2,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
14.0,Wonderboys,12,14,0,6,1,15,3,8,1,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
15.0,LNT,7,19,0,9,1,16,0,7,1,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
16.0,Content Squad,5,12,1,10,1,18,0,16,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
17.0,MoJo,5,13,0,14,0,11,1,12,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
18.0,Raised By Wolves,3,9,0,19,0,19,0,13,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
19.0,Specter,1,20,0,20,0,20,0,19,1,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
20.0,Filii Martis,1,16,0,18,0,14,0,20,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
1.0,BW,106,1,8,1,12,4,8,1,7,Lobby 1,Semifinals,2.0,8.0,2.0,4.0,Preseason_Qualifier_1
2.0,BP,56,5,9,12,2,5,6,17,0,Lobby 1,Semifinals,17.0,3.0,1.0,15.0,Preseason_Qualifier_1
3.0,DNO,50,19,1,18,0,7,6,2,8,Lobby 1,Semifinals,4.0,9.0,5.0,5.0,Preseason_Qualifier_1
4.0,YouLikeThatMate?,46,7,0,6,2,1,12,4,4,Lobby 1,Semifinals,8.0,1.0,10.0,0.0,Preseason_Qualifier_1
5.0,xD,45,8,5,2,8,19,0,13,2,Lobby 1,Semifinals,5.0,6.0,6.0,5.0,Preseason_Qualifier_1
6.0,NBL,44,3,2,17,0,2,6,12,0,Lobby 1,Semifinals,9.0,0.0,3.0,10.0,Preseason_Qualifier_1
7.0,LMX,43,11,0,3,3,11,3,11,4,Lobby 1,Semifinals,1.0,8.0,8.0,1.0,Preseason_Qualifier_1
8.0,LZR,38,4,6,13,0,3,7,8,1,Lobby 1,Semifinals,7.0,5.0,11.0,0.0,Preseason_Qualifier_1
9.0,CLX,35,10,5,5,7,6,0,6,3,Lobby 1,Semifinals,12.0,1.0,14.0,5.0,Preseason_Qualifier_1
10.0,SMP,33,6,6,9,4,14,0,10,5,Lobby 1,Semifinals,6.0,1.0,4.0,1.0,Preseason_Qualifier_1
11.0,SXG,31,20,0,14,3,20,0,14,3,Lobby 1,Semifinals,3.0,12.0,12.0,3.0,Preseason_Qualifier_1
12.0,Vandals,27,2,7,15,0,10,0,9,1,Lobby 1,Semifinals,11.0,1.0,9.0,1.0,Preseason_Qualifier_1
13.0,LVG,21,17,0,4,1,18,0,3,8,Lobby 1,Semifinals,16.0,0.0,16.0,0.0,Preseason_Qualifier_1
14.0,Never Lucky,16,12,1,8,2,8,2,18,2,Lobby 1,Semifinals,13.0,1.0,19.0,2.0,Preseason_Qualifier_1
15.0,Dexterous,15,9,3,10,0,16,3,15,4,Lobby 1,Semifinals,19.0,0.0,20.0,0.0,Preseason_Qualifier_1
16.0,OA,15,13,0,20,0,12,0,5,2,Lobby 1,Semifinals,10.0,0.0,7.0,2.0,Preseason_Qualifier_1
17.0,Hooiya,14,14,0,7,2,13,0,20,0,Lobby 1,Semifinals,15.0,0.0,17.0,6.0,Preseason_Qualifier_1
18.0,The Semi Pros,13,16,0,11,3,15,0,7,3,Lobby 1,Semifinals,14.0,0.0,15.0,0.0,Preseason_Qualifier_1
19.0,CC,9,18,3,19,0,9,3,16,0,Lobby 1,Semifinals,20.0,0.0,13.0,0.0,Preseason_Qualifier_1
20.0,Titanes,5,15,0,16,3,17,0,19,0,Lobby 1,Semifinals,18.0,1.0,18.0,0.0,Preseason_Qualifier_1
1.0,AM,79,8,6,2,3,1,14,19,3,Lobby 2,Semifinals,3.0,10.0,4.0,8.0,Preseason_Qualifier_1
2.0,SUP,50,1,14,13,2,15,0,6,3,Lobby 2,Semifinals,9.0,3.0,7.0,6.0,Preseason_Qualifier_1
3.0,Unlucky,50,2,4,10,0,10,1,12,0,Lobby 2,Semifinals,2.0,6.0,1.0,4.0,Preseason_Qualifier_1
4.0,Unsigned Talent,49,6,1,1,12,18,0,14,11,Lobby 2,Semifinals,5.0,5.0,16.0,0.0,Preseason_Qualifier_1
5.0,EST,42,13,2,12,0,3,2,1,14,Lobby 2,Semifinals,16.0,0.0,8.0,1.0,Preseason_Qualifier_1
6.0,pub stars,41,14,5,19,1,7,10,17,0,Lobby 2,Semifinals,4.0,4.0,3.0,5.0,Preseason_Qualifier_1
7.0,Aisle 5,38,4,4,17,4,4,0,13,0,Lobby 2,Semifinals,12.0,0.0,2.0,9.0,Preseason_Qualifier_1
8.0,WASH,37,5,8,8,0,17,1,3,8,Lobby 2,Semifinals,13.0,0.0,6.0,3.0,Preseason_Qualifier_1
9.0,NEAN,35,3,1,7,6,6,3,4,3,Lobby 2,Semifinals,17.0,1.0,17.0,3.0,Preseason_Qualifier_1
10.0,RT,33,9,5,5,1,9,5,2,2,Lobby 2,Semifinals,10.0,0.0,13.0,0.0,Preseason_Qualifier_1
11.0,Los Hefes,30,15,0,11,3,16,0,11,3,Lobby 2,Semifinals,1.0,5.0,15.0,3.0,Preseason_Qualifier_1
12.0,LF,30,16,0,6,3,2,4,7,1,Lobby 2,Semifinals,8.0,4.0,14.0,0.0,Preseason_Qualifier_1
13.0,2B1C,27,11,5,14,3,12,3,15,0,Lobby 2,Semifinals,14.0,3.0,5.0,4.0,Preseason_Qualifier_1
14.0,BAD,27,7,0,20,0,13,5,5,3,Lobby 2,Semifinals,6.0,6.0,9.0,0.0,Preseason_Qualifier_1
15.0,Dark Matter,24,10,3,15,3,8,0,9,4,Lobby 2,Semifinals,18.0,0.0,10.0,5.0,Preseason_Qualifier_1
16.0,BOT,23,18,0,4,6,14,0,8,2,Lobby 2,Semifinals,7.0,3.0,11.0,0.0,Preseason_Qualifier_1
17.0,Sussy Bakas,22,12,0,9,7,5,4,16,0,Lobby 2,Semifinals,19.0,0.0,12.0,3.0,Preseason_Qualifier_1
18.0,NM,12,19,0,3,1,11,0,10,0,Lobby 2,Semifinals,11.0,0.0,18.0,0.0,Preseason_Qualifier_1
19.0,OrgSignUs,8,20,0,16,1,19,2,18,1,Lobby 2,Semifinals,15.0,3.0,19.0,0.0,Preseason_Qualifier_1
20.0,Blood Sport,1,17,0,18,1,20,0,20,0,Lobby 2,Semifinals,0.0,0.0,0.0,0.0,Preseason_Qualifier_1
1.0,DNO,75,9,5,20,0,1,18,5,6,Lobby 1,Finals,4.0,13.0,3.0,3.0,Preseason_Qualifier_1
2.0,NBL,72,6,1,3,8,7,4,1,10,Lobby 1,Finals,1.0,9.0,8.0,1.0,Preseason_Qualifier_1
3.0,AM,60,1,14,18,0,17,0,2,7,Lobby 1,Finals,7.0,4.0,7.0,8.0,Preseason_Qualifier_1
4.0,pub stars,49,14,3,5,7,6,2,3,6,Lobby 1,Finals,3.0,5.0,9.0,2.0,Preseason_Qualifier_1
5.0,BW,44,4,11,17,2,3,5,7,6,Lobby 1,Finals,9.0,2.0,16.0,1.0,Preseason_Qualifier_1
6.0,LZR,39,19,0,1,13,12,0,15,3,Lobby 1,Finals,2.0,0.0,17.0,0.0,Preseason_Qualifier_1
7.0,SMP,33,12,1,13,0,18,1,16,0,Lobby 1,Finals,14.0,3.0,1.0,13.0,Preseason_Qualifier_1
8.0,xD,33,3,0,7,0,11,10,4,5,Lobby 1,Finals,13.0,1.0,19.0,0.0,Preseason_Qualifier_1
9.0,NEAN,32,8,6,2,6,10,1,9,0,Lobby 1,Finals,10.0,1.0,14.0,0.0,Preseason_Qualifier_1
10.0,LMX,31,16,1,9,2,13,0,8,0,Lobby 1,Finals,5.0,5.0,2.0,5.0,Preseason_Qualifier_1
11.0,SUP,30,10,1,14,1,9,0,10,1,Lobby 1,Finals,6.0,4.0,4.0,8.0,Preseason_Qualifier_1
12.0,YouLikeThatMate?,30,5,1,4,5,8,2,13,3,Lobby 1,Finals,16.0,0.0,5.0,3.0,Preseason_Qualifier_1
13.0,EST,29,7,4,10,0,2,6,11,0,Lobby 1,Finals,17.0,2.0,12.0,1.0,Preseason_Qualifier_1
14.0,CLX,27,2,5,16,0,15,0,19,0,Lobby 1,Finals,8.0,6.0,15.0,3.0,Preseason_Qualifier_1
15.0,RT,21,17,2,12,1,4,1,6,5,Lobby 1,Finals,19.0,0.0,11.0,2.0,Preseason_Qualifier_1
16.0,WASH,20,13,0,6,7,14,3,14,0,Lobby 1,Finals,12.0,3.0,18.0,0.0,Preseason_Qualifier_1
17.0,BP,14,18,2,19,0,16,2,17,0,Lobby 1,Finals,11.0,1.0,6.0,5.0,Preseason_Qualifier_1
18.0,Unlucky,14,15,0,8,2,5,2,18,0,Lobby 1,Finals,15.0,1.0,13.0,0.0,Preseason_Qualifier_1
19.0,Aisle 5,13,11,0,11,0,19,0,12,3,Lobby 1,Finals,18.0,1.0,10.0,4.0,Preseason_Qualifier_1
20.0,Unsigned Talent,6,20,1,15,4,20,0,20,0,Lobby 1,Finals,20.0,0.0,20.0,0.0,Preseason_Qualifier_1
1.0,My Neck My Back,103,2,20,1,13,6,10,1,24,Lobby 10,Round_1,,,,,Preseason_Qualifier_2
2.0,Verticality,64,1,7,3,17,2,8,14,3,Lobby 10,Round_1,,,,,Preseason_Qualifier_2
3.0,NM,48,10,0,4,6,1,11,3,5,Lobby 10,Round_1,,,,,Preseason_Qualifier_2
4.0,Them Boiz,34,5,5,11,0,3,5,2,3,Lobby 10,Round_1,,,,,Preseason_Qualifier_2
5.0,TS,27,3,2,7,2,5,2,6,4,Lobby 10,Round_1,,,,,Preseason_Qualifier_2
6.0,VHS,26,6,2,8,2,4,6,5,2,Lobby 10,Round_1,,,,,Preseason_Qualifier_2
7.0,TOAOS GG,18,9,2,5,3,9,1,9,2,Lobby 10,Round_1,,,,,Preseason_Qualifier_2
8.0,We Better Word,16,7,0,2,2,14,0,13,0,Lobby 10,Round_1,,,,,Preseason_Qualifier_2
9.0,NA Assault,11,4,0,10,0,12,0,7,0,Lobby 10,Round_1,,,,,Preseason_Qualifier_2
10.0,Fallen Legacy,10,15,0,12,0,8,0,4,1,Lobby 10,Round_1,,,,,Preseason_Qualifier_2
11.0,Team XT4,9,14,1,6,0,13,0,8,1,Lobby 10,Round_1,,,,,Preseason_Qualifier_2
12.0,Aquatik,7,0,0,0,0,7,3,12,0,Lobby 10,Round_1,,,,,Preseason_Qualifier_2
13.0,Dark Matter,7,11,2,13,0,11,0,10,0,Lobby 10,Round_1,,,,,Preseason_Qualifier_2
14.0,DaBeehive,5,16,0,9,0,10,0,15,0,Lobby 10,Round_1,,,,,Preseason_Qualifier_2
15.0,Bandits,4,13,0,15,0,15,0,11,0,Lobby 10,Round_1,,,,,Preseason_Qualifier_2
16.0,Modern Esports,2,12,0,14,0,16,0,16,0,Lobby 10,Round_1,,,,,Preseason_Qualifier_2
1.0,TSS,93,1,18,1,12,1,11,3,9,Lobby 11,Round_1,,,,,Preseason_Qualifier_2
2.0,CLX,59,12,4,3,13,4,12,4,12,Lobby 11,Round_1,,,,,Preseason_Qualifier_2
3.0,INF,39,8,5,5,4,2,8,9,5,Lobby 11,Round_1,,,,,Preseason_Qualifier_2
4.0,FROG,38,15,0,4,7,5,3,1,6,Lobby 11,Round_1,,,,,Preseason_Qualifier_2
5.0,Crusaders,31,2,0,2,0,3,2,5,0,Lobby 11,Round_1,,,,,Preseason_Qualifier_2
6.0,Tilly Titans,17,13,2,14,0,7,0,2,1,Lobby 11,Round_1,,,,,Preseason_Qualifier_2
7.0,YND,15,14,0,8,1,8,3,7,3,Lobby 11,Round_1,,,,,Preseason_Qualifier_2
8.0,Team Savage,15,3,3,10,0,14,0,14,1,Lobby 11,Round_1,,,,,Preseason_Qualifier_2
9.0,TriCore,14,5,5,9,1,15,0,15,0,Lobby 11,Round_1,,,,,Preseason_Qualifier_2
10.0,Monke Mode 3B,14,9,1,13,0,6,4,6,0,Lobby 11,Round_1,,,,,Preseason_Qualifier_2
11.0,Bear Gang,13,6,0,6,0,12,0,8,4,Lobby 11,Round_1,,,,,Preseason_Qualifier_2
12.0,AEG Esports,11,4,2,15,0,9,0,12,0,Lobby 11,Round_1,,,,,Preseason_Qualifier_2
13.0,VATOS LOCOS,11,7,0,7,2,11,0,10,0,Lobby 11,Round_1,,,,,Preseason_Qualifier_2
14.0,Flamingo Gang,5,11,0,12,0,10,0,11,0,Lobby 11,Round_1,,,,,Preseason_Qualifier_2
15.0,On They Ayy,5,10,0,11,0,13,0,13,0,Lobby 11,Round_1,,,,,Preseason_Qualifier_2
1.0,EXAgents,55,2,8,1,7,6,3,3,6,Lobby 12,Round_1,,,,,Preseason_Qualifier_2
2.0,Controller Bots,41,1,10,7,5,4,4,9,0,Lobby 12,Round_1,,,,,Preseason_Qualifier_2
3.0,Select,39,10,6,3,8,7,2,6,8,Lobby 12,Round_1,,,,,Preseason_Qualifier_2
4.0,Vandals,36,15,0,13,0,3,6,1,9,Lobby 12,Round_1,,,,,Preseason_Qualifier_2
5.0,TAG NA,35,13,0,2,3,1,8,8,0,Lobby 12,Round_1,,,,,Preseason_Qualifier_2
6.0,Beamer Bros,32,3,2,9,0,5,4,2,4,Lobby 12,Round_1,,,,,Preseason_Qualifier_2
7.0,Shady Kings,27,7,1,12,3,8,6,4,6,Lobby 12,Round_1,,,,,Preseason_Qualifier_2
8.0,TRK,27,4,5,4,7,11,0,7,1,Lobby 12,Round_1,,,,,Preseason_Qualifier_2
9.0,PepegaBakeryInc,26,14,1,5,4,2,0,5,3,Lobby 12,Round_1,,,,,Preseason_Qualifier_2
10.0,Meow Syndicate,18,5,6,10,3,13,0,11,1,Lobby 12,Round_1,,,,,Preseason_Qualifier_2
11.0,The Wolf Union,9,6,0,6,0,15,0,10,0,Lobby 12,Round_1,,,,,Preseason_Qualifier_2
12.0,Faithwithhope,6,8,1,14,0,14,0,13,0,Lobby 12,Round_1,,,,,Preseason_Qualifier_2
13.0,Bloody Hunters,6,9,0,11,0,9,0,14,0,Lobby 12,Round_1,,,,,Preseason_Qualifier_2
14.0,Passivaggressive,6,12,0,8,0,10,0,12,0,Lobby 12,Round_1,,,,,Preseason_Qualifier_2
15.0,Apex Scrubs,3,11,0,15,0,12,0,0,0,Lobby 12,Round_1,,,,,Preseason_Qualifier_2
1.0,LZR,87,1,12,1,18,12,3,1,17,Lobby 13,Round_1,,,,,Preseason_Qualifier_2
2.0,ZERO,45,4,3,2,6,3,7,7,5,Lobby 13,Round_1,,,,,Preseason_Qualifier_2
3.0,Nobody,45,3,5,12,0,1,7,2,4,Lobby 13,Round_1,,,,,Preseason_Qualifier_2
4.0,1 vs Lobby,39,8,4,5,10,2,7,8,1,Lobby 13,Round_1,,,,,Preseason_Qualifier_2
5.0,Stick Drift,27,5,2,9,3,6,2,4,6,Lobby 13,Round_1,,,,,Preseason_Qualifier_2
6.0,AZA,22,6,4,4,1,9,5,9,0,Lobby 13,Round_1,,,,,Preseason_Qualifier_2
7.0,The Kant Krew,20,11,1,3,3,4,1,12,1,Lobby 13,Round_1,,,,,Preseason_Qualifier_2
8.0,TTV Squad,20,2,2,8,0,5,0,6,0,Lobby 13,Round_1,,,,,Preseason_Qualifier_2
9.0,Sauce Packets,18,10,3,11,0,7,1,3,1,Lobby 13,Round_1,,,,,Preseason_Qualifier_2
10.0,AFK,15,9,0,6,0,10,3,5,1,Lobby 13,Round_1,,,,,Preseason_Qualifier_2
11.0,Vendetta,8,7,0,14,0,8,0,10,0,Lobby 13,Round_1,,,,,Preseason_Qualifier_2
12.0,Hunt Legends,5,14,0,10,0,11,0,13,0,Lobby 13,Round_1,,,,,Preseason_Qualifier_2
13.0,Watson 2 Strong,5,12,0,7,0,13,0,0,0,Lobby 13,Round_1,,,,,Preseason_Qualifier_2
14.0,SQUAD,4,13,0,13,0,14,0,11,0,Lobby 13,Round_1,,,,,Preseason_Qualifier_2
15.0,Mid Piece,0,0,0,0,0,0,0,0,0,Lobby 13,Round_1,,,,,Preseason_Qualifier_2
1.0,FNG NEW ERA,79,1,15,8,7,2,4,1,18,Lobby 14,Round_1,,,,,Preseason_Qualifier_2
2.0,IFE,52,6,0,1,12,3,7,3,4,Lobby 14,Round_1,,,,,Preseason_Qualifier_2
3.0,MXGamers,47,3,8,12,0,1,12,5,3,Lobby 14,Round_1,,,,,Preseason_Qualifier_2
4.0,Sussy Bakas,29,4,6,5,8,6,2,14,0,Lobby 14,Round_1,,,,,Preseason_Qualifier_2
5.0,Chesco,28,2,2,6,1,13,0,2,3,Lobby 14,Round_1,,,,,Preseason_Qualifier_2
6.0,SCARRA LOVERS,22,5,5,3,0,15,1,12,3,Lobby 14,Round_1,,,,,Preseason_Qualifier_2
7.0,DoorKickingGang,20,12,3,9,3,7,4,7,1,Lobby 14,Round_1,,,,,Preseason_Qualifier_2
8.0,Houston Angels,19,7,0,10,1,8,6,8,3,Lobby 14,Round_1,,,,,Preseason_Qualifier_2
9.0,The Inmortals,17,8,0,2,0,9,0,9,2,Lobby 14,Round_1,,,,,Preseason_Qualifier_2
10.0,RLP,15,13,0,11,0,5,3,4,1,Lobby 14,Round_1,,,,,Preseason_Qualifier_2
11.0,AlphaSigmaGrind,12,11,0,7,6,14,0,11,0,Lobby 14,Round_1,,,,,Preseason_Qualifier_2
12.0,Spood Beast,12,10,0,14,0,4,1,6,0,Lobby 14,Round_1,,,,,Preseason_Qualifier_2
13.0,BoredLizards,8,0,0,4,0,10,0,15,0,Lobby 14,Round_1,,,,,Preseason_Qualifier_2
14.0,Nuks,7,9,0,15,0,11,1,10,0,Lobby 14,Round_1,,,,,Preseason_Qualifier_2
15.0,ELITESmx,4,14,0,13,0,12,0,13,0,Lobby 14,Round_1,,,,,Preseason_Qualifier_2
1.0,EST,82,12,6,1,14,2,16,1,12,Lobby 15,Round_1,,,,,Preseason_Qualifier_2
2.0,RAWR,38,13,0,5,3,1,11,5,3,Lobby 15,Round_1,,,,,Preseason_Qualifier_2
3.0,OSU Esports,37,3,4,8,3,3,4,2,1,Lobby 15,Round_1,,,,,Preseason_Qualifier_2
4.0,Moon Boys,31,5,7,7,4,14,0,6,9,Lobby 15,Round_1,,,,,Preseason_Qualifier_2
5.0,Unofficial,30,1,5,6,2,11,0,13,6,Lobby 15,Round_1,,,,,Preseason_Qualifier_2
6.0,Lost Pub Players,27,8,2,3,8,7,4,15,0,Lobby 15,Round_1,,,,,Preseason_Qualifier_2
7.0,Onyx,21,14,0,11,3,6,0,3,6,Lobby 15,Round_1,,,,,Preseason_Qualifier_2
8.0,Tin Roof Tacos,18,2,4,10,0,12,0,9,0,Lobby 15,Round_1,,,,,Preseason_Qualifier_2
9.0,Victory Or Death,16,11,0,2,1,9,2,12,0,Lobby 15,Round_1,,,,,Preseason_Qualifier_2
10.0,Vertic,14,6,1,4,1,8,1,14,0,Lobby 15,Round_1,,,,,Preseason_Qualifier_2
