Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,IFPD,125,1,14,1,10,1,18,3,7,2,7,8,15,Lobby 1
2.0,R.Harmony,71,7,4,8,6,4,8,4,6,20,0,1,20,Lobby 1
3.0,DREAM,69,3,10,3,7,18,0,1,12,3,6,15,0,Lobby 1
4.0,LH,52,11,3,5,10,5,2,7,0,1,9,14,3,Lobby 1
5.0,CKB,43,2,3,2,2,16,6,11,0,6,10,17,0,Lobby 1
6.0,4ChineseHorseman,41,5,8,10,0,10,4,18,3,7,0,2,6,Lobby 1
7.0,RNG,31,6,0,15,3,8,1,2,8,13,3,18,0,Lobby 1
8.0,DESI,31,19,0,14,2,2,4,5,2,15,0,3,1,Lobby 1
9.0,BOG,29,14,1,6,1,15,1,9,3,5,6,6,3,Lobby 1
10.0,END,29,9,5,7,3,14,2,16,2,4,1,7,2,Lobby 1
11.0,DYN,23,10,0,9,0,7,2,6,5,11,0,5,1,Lobby 1
12.0,Juiced,21,13,1,13,2,11,1,19,3,17,0,4,6,Lobby 1
13.0,LNW,18,4,2,11,3,12,3,8,0,19,0,12,0,Lobby 1
14.0,Scythe,16,15,4,19,2,6,4,20,0,10,0,19,0,Lobby 1
15.0,SuperiorSoySauce,13,17,0,12,2,19,0,12,0,14,8,20,0,Lobby 1
16.0,Omnity,13,16,0,4,1,20,0,10,2,18,0,10,1,Lobby 1
17.0,Sigma Gamers,13,20,1,20,0,3,2,17,0,12,0,9,0,Lobby 1
18.0,Another Support,12,8,0,17,1,9,0,13,0,8,3,13,0,Lobby 1
19.0,Inferno DRT,10,12,0,16,3,17,0,15,0,16,3,11,1,Lobby 1
20.0,SLK,8,18,0,18,0,13,0,14,0,9,4,16,0,Lobby 1
1.0,EMM,103,6,1,5,15,1,18,1,17,15,0,3,13,Lobby 2
2.0,Antiaa,80,10,9,6,9,5,2,4,7,1,13,2,5,Lobby 2
3.0,OC,57,1,11,15,0,9,3,7,2,11,2,1,8,Lobby 2
4.0,BTCxWGG,51,14,1,2,7,2,6,16,0,2,4,5,1,Lobby 2
5.0,Multicultural,41,4,4,10,1,3,5,2,3,17,0,6,2,Lobby 2
6.0,Job Seekers,39,13,3,1,11,7,2,5,3,18,0,17,0,Lobby 2
7.0,AU Skyrise,36,18,3,17,1,4,12,9,2,4,2,13,3,Lobby 2
8.0,Systematic,34,8,2,7,3,13,0,8,8,8,9,10,0,Lobby 2
9.0,Hardstucks,32,5,5,11,0,16,0,10,0,7,10,14,6,Lobby 2
10.0,OGL,26,9,5,13,1,8,0,6,3,3,0,8,0,Lobby 2
11.0,EVOLUTION BLACK,25,3,6,19,0,10,4,12,0,12,0,12,3,Lobby 2
12.0,Speed,21,2,5,4,0,15,0,15,0,16,0,16,0,Lobby 2
13.0,September,18,11,2,9,0,14,0,18,0,9,7,7,0,Lobby 2
14.0,SkarptSinne,17,15,0,8,2,18,0,13,0,13,1,4,4,Lobby 2
15.0,LVTHN,17,12,1,3,3,17,0,11,0,6,0,15,0,Lobby 2
16.0,Teriyaki Boyz,16,20,0,12,0,11,1,3,4,14,0,11,0,Lobby 2
17.0,ALZ,14,7,0,14,0,6,0,14,0,5,2,20,0,Lobby 2
18.0,FLRV,8,19,0,18,0,12,0,17,1,10,0,9,2,Lobby 2
19.0,C10H15N,1,17,0,16,1,20,0,20,0,20,0,20,0,Lobby 2
20.0,Masters Please,0,16,0,20,0,20,0,20,0,20,0,20,0,Lobby 2
