Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,RAT,55,6,3,11,5,12,5,13,3,13,9,1,11
2.0,XD,55,11,3,1,10,13,4,18,0,2,9,6,3
3.0,BBG,54,12,0,18,0,4,7,10,1,1,8,2,9
4.0,BFG,52,8,3,2,5,2,9,12,4,8,4,9,2
5.0,Ratio,49,6,3,15,3,8,4,1,14,5,3,18,0
6.0,b0ts,44,10,8,6,6,7,0,2,1,6,4,10,3
7.0,SCTA,43,15,0,3,5,19,1,4,7,14,5,5,7
8.0,drain,43,5,6,12,2,3,5,6,8,9,2,12,2
9.0,ZBW,43,1,5,10,1,6,2,17,0,3,2,4,4
10.0,CG,42,3,7,4,3,18,0,11,4,20,0,3,8
11.0,SPPI,39,14,0,5,8,17,3,3,10,7,2,14,0
12.0,HKE,28,18,0,7,6,1,6,19,0,17,0,13,0
13.0,NIBL,27,2,5,19,0,14,1,16,0,4,1,7,2
14.0,P4C,21,4,6,16,0,20,0,7,0,11,5,17,1
15.0,YK,17,17,6,14,2,5,1,20,0,18,0,16,3
16.0,BGTTS,14,13,0,9,1,11,4,14,0,10,1,15,0
17.0,SNK,13,20,0,20,0,15,1,5,2,16,0,8,3
18.0,POLSKA,11,9,0,8,0,9,2,8,0,15,0,20,0
19.0,UTFT,9,16,0,13,0,10,0,9,2,12,0,11,0
20.0,1872,8,19,2,17,1,16,2,15,0,19,2,19,0
