Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round,PQL
11.0,Dynanik,7,111,0,73,0,102,0,111,0,,,,,Lobby 3,Round_1,Preseason_Qualifier_2
1.0,OMEGA,54,29,66,37,1111,92,0,112,77,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
2.0,TCS,53,63,33,112,99,112,88,73,33,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
3.0,Sobek,35,112,55,29,11,45,11,82,0,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
4.0,PRDX,34,45,66,54,44,54,22,37,22,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
5.0,Fluxo Team,34,37,0,63,0,37,1111,45,11,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
6.0,ICEBERGS,32,54,55,200,0,73,0,29,1111,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
7.0,LIONS,18,111,0,92,0,29,33,92,11,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
8.0,LosÁlamosGaming,14,102,0,45,0,63,0,54,0,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
9.0,Legión de monos,10,82,0,73,0,82,0,63,0,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
10.0,Tarapaca Gaming,2,92,0,200,0,200,0,200,0,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
11.0,TBG,2,200,0,102,0,200,0,200,0,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
1.0,ALFA WARRIORS,70,112,55,112,1111,29,55,29,77,,,,,Lobby 5,Round_1,Preseason_Qualifier_2
2.0,MonsTer Team,64,29,77,37,55,112,1111,37,66,,,,,Lobby 5,Round_1,Preseason_Qualifier_2
3.0,Duty calls,47,54,55,29,77,73,55,54,1010,,,,,Lobby 5,Round_1,Preseason_Qualifier_2
4.0,Lovely Venom,31,37,33,111,0,54,0,112,44,,,,,Lobby 5,Round_1,Preseason_Qualifier_2
5.0,OF,22,45,33,82,11,63,22,63,33,,,,,Lobby 5,Round_1,Preseason_Qualifier_2
6.0,NO MERCY,21,82,33,45,44,92,0,45,0,,,,,Lobby 5,Round_1,Preseason_Qualifier_2
7.0,NÃO sei,20,73,0,63,0,37,55,92,0,,,,,Lobby 5,Round_1,Preseason_Qualifier_2
8.0,CRUSHERS TEAM,15,102,0,92,0,45,22,82,22,,,,,Lobby 5,Round_1,Preseason_Qualifier_2
9.0,Squad Sombra,15,63,0,54,33,102,0,73,0,,,,,Lobby 5,Round_1,Preseason_Qualifier_2
10.0,Tharsis,11,92,11,73,11,82,0,102,0,,,,,Lobby 5,Round_1,Preseason_Qualifier_2
11.0,CHTM,5,111,0,102,0,111,0,111,0,,,,,Lobby 5,Round_1,Preseason_Qualifier_2
1.0,MVP,69,112,1414,29,1313,73,55,29,44,,,,,Lobby 6,Round_1,Preseason_Qualifier_2
2.0,Chimera,47,73,66,37,44,82,22,112,1111,,,,,Lobby 6,Round_1,Preseason_Qualifier_2
3.0,UltiMaTuM,36,111,0,73,55,112,1414,111,0,,,,,Lobby 6,Round_1,Preseason_Qualifier_2
4.0,Slav Animals,34,82,11,112,22,54,33,45,55,,,,,Lobby 6,Round_1,Preseason_Qualifier_2
5.0,Blagueur,30,102,0,45,44,29,55,102,33,,,,,Lobby 6,Round_1,Preseason_Qualifier_2
6.0,AGCL,25,29,55,102,0,63,0,63,33,,,,,Lobby 6,Round_1,Preseason_Qualifier_2
7.0,Solo Push,24,63,0,92,0,37,11,37,44,,,,,Lobby 6,Round_1,Preseason_Qualifier_2
8.0,Mystical,17,37,22,54,11,111,0,82,0,,,,,Lobby 6,Round_1,Preseason_Qualifier_2
9.0,ItzFiv5,14,45,0,63,0,102,0,54,0,,,,,Lobby 6,Round_1,Preseason_Qualifier_2
10.0,Voy a Hacer,12,54,0,111,0,45,0,92,0,,,,,Lobby 6,Round_1,Preseason_Qualifier_2
11.0,Controller Boys,10,92,0,82,0,92,0,73,11,,,,,Lobby 6,Round_1,Preseason_Qualifier_2
