Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round,PQL
14.0,Blagueur,21,17,0,18,3,18,0,20,0,3.0,9.0,12.0,1.0,Lobby 2,Semifinals,Preseason_Qualifier_2
15.0,KARMA K41,18,20,0,12,4,17,0,6,6,11.0,0.0,16.0,3.0,Lobby 2,Semifinals,Preseason_Qualifier_2
16.0,AGCL,17,12,1,10,0,10,0,8,6,16.0,0.0,13.0,2.0,Lobby 2,Semifinals,Preseason_Qualifier_2
17.0,NO MERCY,10,13,0,13,0,16,3,18,0,9.0,2.0,15.0,0.0,Lobby 2,Semifinals,Preseason_Qualifier_2
18.0,sFx,9,16,0,14,3,19,0,12,1,15.0,0.0,14.0,1.0,Lobby 2,Semifinals,Preseason_Qualifier_2
19.0,Os MIAU,9,14,0,15,0,14,3,9,0,14.0,0.0,18.0,0.0,Lobby 2,Semifinals,Preseason_Qualifier_2
20.0,Team wascka,2,18,0,9,0,20,0,19,0,20.0,0.0,20.0,0.0,Lobby 2,Semifinals,Preseason_Qualifier_2
1.0,MVP,69,12,1,4,10,5,0,3,12,2.0,13.0,5.0,3.0,Lobby 1,Finals,Preseason_Qualifier_2
2.0,OF,65,7,4,1,12,1,8,10,0,4.0,5.0,10.0,0.0,Lobby 1,Finals,Preseason_Qualifier_2
3.0,Slav Animals,54,11,1,3,4,4,3,2,8,17.0,1.0,1.0,3.0,Lobby 1,Finals,Preseason_Qualifier_2
4.0,TK,52,8,12,2,4,10,1,13,4,5.0,7.0,8.0,4.0,Lobby 1,Finals,Preseason_Qualifier_2
5.0,BRZ,51,3,6,15,2,2,8,9,1,3.0,5.0,7.0,0.0,Lobby 1,Finals,Preseason_Qualifier_2
6.0,ZETTA,43,2,0,7,4,9,6,8,7,6.0,0.0,4.0,2.0,Lobby 1,Finals,Preseason_Qualifier_2
7.0,USB,36,1,8,9,0,15,0,11,0,8.0,1.0,6.0,6.0,Lobby 1,Finals,Preseason_Qualifier_2
8.0,MonsTer Team,34,6,0,18,0,12,5,6,3,13.0,0.0,3.0,11.0,Lobby 1,Finals,Preseason_Qualifier_2
9.0,Natural Killer,34,15,0,16,1,3,2,15,1,1.0,8.0,11.0,0.0,Lobby 1,Finals,Preseason_Qualifier_2
10.0,KZN,34,9,0,5,3,14,0,1,8,7.0,0.0,15.0,0.0,Lobby 1,Finals,Preseason_Qualifier_2
11.0,Love Egirls,32,16,2,14,0,8,6,17,0,11.0,3.0,2.0,8.0,Lobby 1,Finals,Preseason_Qualifier_2
12.0,BTH,26,4,3,10,4,13,0,7,0,12.0,0.0,12.0,6.0,Lobby 1,Finals,Preseason_Qualifier_2
13.0,Duty calls,24,17,0,6,8,16,3,18,0,14.0,3.0,9.0,4.0,Lobby 1,Finals,Preseason_Qualifier_2
14.0,AIM,23,20,0,8,5,7,5,14,2,10.0,1.0,13.0,1.0,Lobby 1,Finals,Preseason_Qualifier_2
15.0,Team seven,14,14,1,11,0,18,0,5,3,9.0,1.0,14.0,0.0,Lobby 1,Finals,Preseason_Qualifier_2
16.0,SLU,13,5,6,13,0,11,1,16,0,20.0,0.0,20.0,0.0,Lobby 1,Finals,Preseason_Qualifier_2
17.0,BHT,13,10,1,17,0,6,2,4,0,16.0,0.0,16.0,0.0,Lobby 1,Finals,Preseason_Qualifier_2
18.0,ROCKETZ TEAM,9,13,4,12,0,17,0,12,0,15.0,1.0,17.0,0.0,Lobby 1,Finals,Preseason_Qualifier_2
19.0,LIONS,0,18,0,19,0,19,0,20,0,20.0,0.0,20.0,0.0,Lobby 1,Finals,Preseason_Qualifier_2
20.0,SST,0,20,0,20,0,20,0,20,0,20.0,0.0,20.0,0.0,Lobby 1,Finals,Preseason_Qualifier_2
1.0,OF,63,3,6,2,11,1,11,11,6,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
2.0,Chimera,54,5,5,1,5,13,0,1,15,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
3.0,SST,42,1,12,15,3,7,1,7,7,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
4.0,Sobek,38,9,1,11,3,2,10,2,3,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
5.0,BRZ,28,4,3,3,6,9,3,13,1,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
6.0,PRDX,25,2,7,10,3,15,0,10,1,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
7.0,AK47,23,10,1,8,8,11,3,9,4,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
8.0,SussyBaka,23,15,0,5,3,10,4,5,5,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
9.0,ROCKETZ TEAM,20,11,4,9,1,14,1,3,3,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
10.0,BHT,15,13,1,12,0,8,5,4,0,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
11.0,BTH,15,6,2,4,3,16,0,8,0,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
12.0,TRAGIIC BR,14,16,0,6,3,5,2,12,1,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
13.0,Os MIAU,13,14,0,7,0,3,1,14,0,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
14.0,Infinity Evo,12,12,3,16,1,17,1,6,3,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
15.0,Aoba Team,11,7,0,13,0,6,4,16,0,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
16.0,Spartan Warriors,7,8,0,17,0,4,0,17,0,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
17.0,Morri Nem Vi,3,17,0,14,0,12,0,15,0,,,,,Lobby 1,Quarterfinals,Preseason_Qualifier_3
1.0,Slav Animals,78,1,17,1,9,7,2,1,11,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
2.0,Love Egirls,47,14,5,15,4,4,16,9,13,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
3.0,ALFA WARRIORS,45,6,3,2,6,1,10,8,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
4.0,KZN,43,2,1,6,9,2,11,12,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
5.0,As Misera,30,8,3,3,4,5,3,5,3,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
6.0,Natural Killer,25,7,9,7,4,6,0,16,3,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
7.0,LIONS,25,5,1,13,1,3,3,7,5,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
8.0,sFx,21,15,0,12,0,10,0,3,10,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
9.0,Taichi Horror,20,3,2,9,5,13,0,6,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
10.0,Tres Rosas,14,4,4,14,0,8,1,11,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
11.0,Tharsis,13,9,1,17,0,12,2,4,2,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
12.0,PPEX,12,13,0,11,0,18,0,2,1,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
13.0,PTX,11,16,0,5,3,9,0,10,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
14.0,ZISKA,7,11,0,4,1,16,0,17,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
15.0,PATETEX,6,17,0,8,0,17,0,15,3,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
16.0,Team Paragua,5,18,0,10,0,15,1,13,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
17.0,LosÁlamosGaming,4,10,0,16,0,14,0,14,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
18.0,ADN,3,12,0,18,0,11,1,18,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_3
1.0,Duty calls,82,5,11,1,13,1,10,5,16,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
2.0,AIM,47,15,0,3,6,8,3,1,16,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
3.0,USB,40,3,6,6,3,7,5,2,4,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
4.0,Seven,38,1,4,11,0,2,10,9,0,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
5.0,AsheTeam,34,2,6,4,2,4,2,7,2,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
6.0,Fluxo Team,21,6,7,7,5,11,1,14,0,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
7.0,MonsTer Team,21,10,0,12,0,5,7,4,2,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
8.0,PVP,20,16,0,2,7,15,0,6,0,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
9.0,ElemenT,19,8,1,10,2,3,3,11,1,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
10.0,KPS,18,7,1,8,2,10,0,3,1,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
11.0,xKarma,14,14,0,5,2,6,2,10,0,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
12.0,LostSoulsDreamer,12,4,3,9,0,13,0,13,0,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
13.0,TBG,9,13,2,14,0,12,0,12,3,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
14.0,KARMA K41,7,11,3,15,0,16,0,15,1,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
15.0,Against All Odds,6,9,0,13,0,14,0,8,0,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
16.0,Bicentenario,3,12,0,16,0,9,0,16,0,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
17.0,Squad Sombra,0,20,0,20,0,20,0,20,0,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_3
1.0,UltiMaTuM,49,2,8,1,7,14,3,5,5,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
2.0,ZETTA,42,14,2,3,8,6,5,2,7,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
3.0,TK,37,16,0,2,6,3,14,15,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
4.0,AGCL,36,4,3,8,1,1,9,11,3,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
5.0,OMEGA,36,12,0,6,4,2,7,3,5,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
6.0,Mystical,36,1,4,5,4,5,4,8,2,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
7.0,Lovely Venom,29,6,1,13,0,7,1,1,8,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
8.0,ICEBERGS,23,7,3,10,1,16,0,4,9,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
9.0,SLU,19,8,7,4,1,15,0,9,1,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
10.0,Online,16,15,1,14,4,10,2,6,2,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
11.0,Mafia Legends,15,5,2,7,3,8,0,14,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
12.0,GDb,14,3,4,11,0,9,0,16,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
13.0,AWD,11,9,0,9,3,12,0,7,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
14.0,BRATVA420Forever,11,11,2,15,0,4,1,12,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
15.0,Legión de monos,6,10,0,12,0,11,0,10,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
16.0,TVG,3,13,0,16,0,13,0,13,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
17.0,PiscoSour,0,20,0,20,0,20,0,20,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
18.0,EASY CLAP,0,20,0,20,0,20,0,20,0,,,,,Lobby 4,Quarterfinals,Preseason_Qualifier_3
1.0,OF,85,4,5,13,3,3,14,1,10,8.0,7.0,1.0,7.0,Lobby 1,Semifinals,Preseason_Qualifier_3
2.0,Chimera,68,7,6,2,6,6,2,6,7,11.0,6.0,2.0,13.0,Lobby 1,Semifinals,Preseason_Qualifier_3
3.0,BTH,62,1,9,12,0,1,8,20,1,2.0,6.0,7.0,1.0,Lobby 1,Semifinals,Preseason_Qualifier_3
4.0,KZN,54,3,6,1,12,20,0,2,6,9.0,0.0,16.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_3
5.0,ALFA WARRIORS,52,2,7,11,2,10,0,11,9,1.0,8.0,13.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_3
6.0,As Misera,38,5,2,10,0,4,2,3,2,3.0,0.0,5.0,3.0,Lobby 1,Semifinals,Preseason_Qualifier_3
7.0,AK47,35,12,3,9,5,14,4,8,10,16.0,0.0,4.0,2.0,Lobby 1,Semifinals,Preseason_Qualifier_3
8.0,PRDX,31,11,3,7,0,11,6,5,3,5.0,4.0,10.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_3
9.0,Love Egirls,30,16,3,8,6,8,1,14,0,4.0,6.0,6.0,1.0,Lobby 1,Semifinals,Preseason_Qualifier_3
10.0,sFx,30,18,0,6,4,5,1,4,2,15.0,0.0,3.0,3.0,Lobby 1,Semifinals,Preseason_Qualifier_3
11.0,BRZ,29,8,1,20,0,2,7,7,0,10.0,1.0,8.0,2.0,Lobby 1,Semifinals,Preseason_Qualifier_3
12.0,Sobek,26,9,3,5,4,9,4,12,0,6.0,3.0,17.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_3
13.0,Slav Animals,24,17,0,4,5,13,5,17,0,18.0,0.0,9.0,6.0,Lobby 1,Semifinals,Preseason_Qualifier_3
14.0,Natural Killer,18,19,0,14,0,7,1,15,2,17.0,0.0,11.0,9.0,Lobby 1,Semifinals,Preseason_Qualifier_3
15.0,Tres Rosas,17,15,0,3,3,19,1,18,0,14.0,3.0,14.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_3
16.0,ROCKETZ TEAM,15,10,4,17,2,12,0,10,2,12.0,0.0,15.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_3
17.0,SST,15,14,3,18,0,16,2,9,0,7.0,3.0,12.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_3
18.0,Taichi Horror,6,6,0,19,0,17,0,13,2,20.0,0.0,20.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_3
19.0,SussyBaka,5,20,0,15,3,18,0,16,0,13.0,0.0,18.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_3
20.0,LIONS,3,13,0,16,0,15,1,19,0,20.0,0.0,20.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_3
1.0,MonsTer Team,93,1,8,2,10,20,0,5,5,3.0,12.0,1.0,14.0,Lobby 2,Semifinals,Preseason_Qualifier_3
2.0,Duty calls,72,10,12,5,5,5,8,1,10,5.0,8.0,11.0,2.0,Lobby 2,Semifinals,Preseason_Qualifier_3
3.0,ZETTA,46,3,3,7,2,18,0,2,7,8.0,4.0,4.0,4.0,Lobby 2,Semifinals,Preseason_Qualifier_3
4.0,SLU,46,2,1,1,5,3,5,4,2,20.0,0.0,18.0,0.0,Lobby 2,Semifinals,Preseason_Qualifier_3
5.0,USB,42,15,1,16,1,2,9,18,0,1.0,5.0,6.0,1.0,Lobby 2,Semifinals,Preseason_Qualifier_3
6.0,TK,40,9,2,19,2,12,2,3,14,4.0,2.0,13.0,2.0,Lobby 2,Semifinals,Preseason_Qualifier_3
7.0,ElemenT,38,5,10,8,3,11,0,19,0,17.0,1.0,3.0,10.0,Lobby 2,Semifinals,Preseason_Qualifier_3
8.0,Online,34,7,1,6,2,1,10,14,0,14.0,1.0,16.0,0.0,Lobby 2,Semifinals,Preseason_Qualifier_3
9.0,OMEGA,32,4,1,20,0,4,1,8,1,12.0,3.0,2.0,4.0,Lobby 2,Semifinals,Preseason_Qualifier_3
10.0,AGCL,31,8,2,3,5,9,2,9,2,9.0,0.0,5.0,1.0,Lobby 2,Semifinals,Preseason_Qualifier_3
11.0,Fluxo Team,30,14,0,11,3,17,3,16,0,2.0,5.0,7.0,5.0,Lobby 2,Semifinals,Preseason_Qualifier_3
12.0,PVP,24,11,3,17,0,13,7,11,2,7.0,3.0,9.0,1.0,Lobby 2,Semifinals,Preseason_Qualifier_3
13.0,Seven,24,20,0,4,5,10,1,17,2,6.0,1.0,8.0,3.0,Lobby 2,Semifinals,Preseason_Qualifier_3
14.0,AIM,22,12,2,18,0,16,1,13,5,10.0,8.0,12.0,1.0,Lobby 2,Semifinals,Preseason_Qualifier_3
15.0,AsheTeam,22,6,5,15,4,7,3,20,0,11.0,0.0,15.0,1.0,Lobby 2,Semifinals,Preseason_Qualifier_3
16.0,Lovely Venom,17,16,0,10,2,6,5,6,0,16.0,0.0,10.0,0.0,Lobby 2,Semifinals,Preseason_Qualifier_3
17.0,ICEBERGS,13,13,1,14,0,7,0,10,0,15.0,0.0,14.0,3.0,Lobby 2,Semifinals,Preseason_Qualifier_3
18.0,UltiMaTuM,12,19,0,9,2,19,0,15,1,13.0,5.0,19.0,0.0,Lobby 2,Semifinals,Preseason_Qualifier_3
19.0,KPS,4,17,0,20,0,15,0,7,0,18.0,0.0,17.0,0.0,Lobby 2,Semifinals,Preseason_Qualifier_3
20.0,Mystical,3,18,0,13,0,14,0,12,0,19.0,0.0,20.0,0.0,Lobby 2,Semifinals,Preseason_Qualifier_3
1.0,TK,99,2,7,1,18,8,2,2,11,15.0,2.0,1.0,14.0,Lobby 1,Finals,Preseason_Qualifier_3
2.0,Duty calls,81,1,12,6,5,4,7,1,11,10.0,4.0,3.0,1.0,Lobby 1,Finals,Preseason_Qualifier_3
3.0,MonsTer Team,46,9,0,8,2,13,0,3,12,9.0,6.0,6.0,9.0,Lobby 1,Finals,Preseason_Qualifier_3
4.0,PRDX,45,16,0,3,9,9,0,8,3,1.0,9.0,11.0,0.0,Lobby 1,Finals,Preseason_Qualifier_3
5.0,ZETTA,41,17,0,2,2,1,7,15,0,6.0,4.0,15.0,2.0,Lobby 1,Finals,Preseason_Qualifier_3
6.0,ElemenT,36,5,6,7,0,7,11,18,0,8.0,4.0,12.0,2.0,Lobby 1,Finals,Preseason_Qualifier_3
7.0,Chimera,36,19,0,19,0,5,3,19,0,2.0,13.0,9.0,5.0,Lobby 1,Finals,Preseason_Qualifier_3
8.0,OMEGA,35,7,4,16,0,2,6,7,2,4.0,0.0,13.0,2.0,Lobby 1,Finals,Preseason_Qualifier_3
9.0,ALFA WARRIORS,33,3,5,10,1,12,3,12,2,11.0,2.0,8.0,6.0,Lobby 1,Finals,Preseason_Qualifier_3
10.0,KZN,31,6,5,5,3,17,1,6,3,3.0,1.0,16.0,1.0,Lobby 1,Finals,Preseason_Qualifier_3
11.0,As Misera,29,10,4,12,0,6,0,11,0,7.0,0.0,2.0,6.0,Lobby 1,Finals,Preseason_Qualifier_3
12.0,OF,28,15,1,4,2,14,5,4,3,19.0,0.0,7.0,2.0,Lobby 1,Finals,Preseason_Qualifier_3
13.0,BTH,26,12,0,9,6,10,5,20,0,5.0,3.0,10.0,1.0,Lobby 1,Finals,Preseason_Qualifier_3
14.0,AGCL,23,14,0,17,1,3,3,5,0,20.0,0.0,4.0,2.0,Lobby 1,Finals,Preseason_Qualifier_3
15.0,Online,19,4,4,13,1,11,0,13,0,12.0,5.0,18.0,0.0,Lobby 1,Finals,Preseason_Qualifier_3
16.0,Love Egirls,18,11,0,14,3,19,0,10,8,17.0,3.0,19.0,0.0,Lobby 1,Finals,Preseason_Qualifier_3
17.0,USB,17,20,0,11,2,18,0,17,1,13.0,1.0,5.0,7.0,Lobby 1,Finals,Preseason_Qualifier_3
18.0,AK47,14,8,5,15,0,16,0,9,2,16.0,1.0,14.0,0.0,Lobby 1,Finals,Preseason_Qualifier_3
19.0,SLU,3,18,0,20,0,20,0,16,0,14.0,0.0,17.0,2.0,Lobby 1,Finals,Preseason_Qualifier_3
20.0,sFx,3,13,0,18,0,15,0,14,0,18.0,0.0,20.0,0.0,Lobby 1,Finals,Preseason_Qualifier_3
1.0,OF,76,1,9,3,8,1,8,2,11,,,,,Lobby 1,Round_1,Preseason_Qualifier_4
2.0,SEM ORG,44,11,3,1,6,11,3,1,6,,,,,Lobby 1,Round_1,Preseason_Qualifier_4
3.0,BRZ,38,2,6,2,6,7,3,12,1,,,,,Lobby 1,Round_1,Preseason_Qualifier_4
4.0,Chimera,36,10,3,5,6,3,12,10,0,,,,,Lobby 1,Round_1,Preseason_Qualifier_4
5.0,OMEGA,28,4,11,12,0,4,2,13,3,,,,,Lobby 1,Round_1,Preseason_Qualifier_4
6.0,BTH,28,5,4,9,0,5,3,4,6,,,,,Lobby 1,Round_1,Preseason_Qualifier_4
7.0,Voy a Hacer,24,3,0,4,8,9,0,8,0,,,,,Lobby 1,Round_1,Preseason_Qualifier_4
8.0,BHT,21,12,0,11,1,2,4,5,1,,,,,Lobby 1,Round_1,Preseason_Qualifier_4
9.0,QUAS,20,6,0,10,0,6,2,3,3,,,,,Lobby 1,Round_1,Preseason_Qualifier_4
10.0,Seven,17,13,0,6,3,12,3,7,3,,,,,Lobby 1,Round_1,Preseason_Qualifier_4
11.0,TCS,15,7,0,14,0,8,0,6,6,,,,,Lobby 1,Round_1,Preseason_Qualifier_4
12.0,TRAGIIC BR,8,8,0,8,0,10,0,9,0,,,,,Lobby 1,Round_1,Preseason_Qualifier_4
13.0,Thirsty For Kill,6,14,0,7,0,13,0,11,0,,,,,Lobby 1,Round_1,Preseason_Qualifier_4
14.0,Squad Sombra,5,9,0,13,0,14,0,14,0,,,,,Lobby 1,Round_1,Preseason_Qualifier_4
1.0,MonsTer Team,63,4,8,1,9,2,5,5,11,,,,,Lobby 2,Round_1,Preseason_Qualifier_4
2.0,KZN,40,10,0,2,7,3,9,6,3,,,,,Lobby 2,Round_1,Preseason_Qualifier_4
3.0,Lovely Venom,35,1,3,3,0,13,0,3,5,,,,,Lobby 2,Round_1,Preseason_Qualifier_4
4.0,Aposentados,34,13,1,9,3,5,5,2,9,,,,,Lobby 2,Round_1,Preseason_Qualifier_4
5.0,PPEX,34,6,4,7,0,1,7,4,0,,,,,Lobby 2,Round_1,Preseason_Qualifier_4
6.0,Los Makias,27,2,11,6,2,14,0,13,0,,,,,Lobby 2,Round_1,Preseason_Qualifier_4
7.0,PRDX,25,9,0,11,1,6,2,1,4,,,,,Lobby 2,Round_1,Preseason_Qualifier_4
8.0,Duty calls,22,12,6,13,2,8,2,7,5,,,,,Lobby 2,Round_1,Preseason_Qualifier_4
9.0,Fluxo Team,20,3,3,5,1,9,2,12,0,,,,,Lobby 2,Round_1,Preseason_Qualifier_4
10.0,Slav Animals,15,20,0,4,7,11,0,14,1,,,,,Lobby 2,Round_1,Preseason_Qualifier_4
11.0,Infinity Evo,14,11,0,10,4,7,3,11,0,,,,,Lobby 2,Round_1,Preseason_Qualifier_4
12.0,Spartan Warriors,11,14,0,14,0,4,2,9,0,,,,,Lobby 2,Round_1,Preseason_Qualifier_4
13.0,Taichi Horror,10,7,0,8,0,10,0,8,1,,,,,Lobby 2,Round_1,Preseason_Qualifier_4
14.0,Legión de monos,6,8,0,12,0,12,0,10,0,,,,,Lobby 2,Round_1,Preseason_Qualifier_4
1.0,AsheTeam,64,3,8,1,13,2,7,4,3,,,,,Lobby 3,Round_1,Preseason_Qualifier_4
2.0,AIM,55,12,0,10,7,1,11,1,10,,,,,Lobby 3,Round_1,Preseason_Qualifier_4
3.0,SLU,48,7,4,2,8,4,8,8,9,,,,,Lobby 3,Round_1,Preseason_Qualifier_4
4.0,Mystical,37,1,11,8,1,13,1,6,6,,,,,Lobby 3,Round_1,Preseason_Qualifier_4
5.0,USB,31,2,5,9,6,9,6,13,0,,,,,Lobby 3,Round_1,Preseason_Qualifier_4
6.0,Os MIAU,20,4,2,3,0,8,0,10,2,,,,,Lobby 3,Round_1,Preseason_Qualifier_4
7.0,As Misera,18,14,0,4,2,14,0,3,2,,,,,Lobby 3,Round_1,Preseason_Qualifier_4
8.0,OS CRIAS,17,10,1,6,0,3,2,9,0,,,,,Lobby 3,Round_1,Preseason_Qualifier_4
9.0,Pandora,16,9,0,13,0,5,0,2,0,,,,,Lobby 3,Round_1,Preseason_Qualifier_4
10.0,AK47,13,6,3,14,0,7,2,14,0,,,,,Lobby 3,Round_1,Preseason_Qualifier_4
11.0,sFx,11,8,0,12,0,10,0,7,3,,,,,Lobby 3,Round_1,Preseason_Qualifier_4
12.0,Vingadores Team,11,11,0,5,1,11,0,5,0,,,,,Lobby 3,Round_1,Preseason_Qualifier_4
13.0,No Regrets,10,5,1,7,0,12,0,12,0,,,,,Lobby 3,Round_1,Preseason_Qualifier_4
14.0,TVG,6,13,0,11,0,6,0,11,0,,,,,Lobby 3,Round_1,Preseason_Qualifier_4
1.0,Blagueur,55,1,13,11,0,5,1,2,15,,,,,Lobby 4,Round_1,Preseason_Qualifier_4
2.0,Love Egirls,42,7,5,13,0,1,16,7,2,,,,,Lobby 4,Round_1,Preseason_Qualifier_4
3.0,ElemenT,39,2,8,2,9,12,2,13,0,,,,,Lobby 4,Round_1,Preseason_Qualifier_4
4.0,Natural Killer,38,13,0,1,6,3,2,3,3,,,,,Lobby 4,Round_1,Preseason_Qualifier_4
5.0,AGCL,37,9,2,8,7,9,1,1,9,,,,,Lobby 4,Round_1,Preseason_Qualifier_4
6.0,ALFA WARRIORS,26,12,0,3,5,6,5,4,0,,,,,Lobby 4,Round_1,Preseason_Qualifier_4
7.0,Tharsis,26,10,0,5,0,2,1,5,6,,,,,Lobby 4,Round_1,Preseason_Qualifier_4
8.0,PoliShopu,24,3,0,4,5,7,1,8,1,,,,,Lobby 4,Round_1,Preseason_Qualifier_4
9.0,Morri Nem Vi,16,5,3,9,0,4,0,9,0,,,,,Lobby 4,Round_1,Preseason_Qualifier_4
10.0,BRABINHO,15,8,0,7,3,8,4,12,0,,,,,Lobby 4,Round_1,Preseason_Qualifier_4
11.0,LostSoulsDreamer,15,4,3,6,0,10,0,10,0,,,,,Lobby 4,Round_1,Preseason_Qualifier_4
12.0,AWD,12,6,2,12,0,11,2,6,0,,,,,Lobby 4,Round_1,Preseason_Qualifier_4
13.0,Legacy,5,11,0,10,0,13,0,11,0,,,,,Lobby 4,Round_1,Preseason_Qualifier_4
14.0,PVP,0,20,0,20,0,20,0,20,0,,,,,Lobby 4,Round_1,Preseason_Qualifier_4
1.0,MonsTer Team,99,4,13,1,16,19,0,1,14,5.0,6.0,4.0,12.0,Lobby 1,Semifinals,Preseason_Qualifier_4
2.0,OF,65,9,9,12,3,9,9,12,3,1.0,13.0,6.0,7.0,Lobby 1,Semifinals,Preseason_Qualifier_4
3.0,PRDX,63,5,1,4,2,2,4,2,7,6.0,1.0,1.0,6.0,Lobby 1,Semifinals,Preseason_Qualifier_4
4.0,Chimera,60,3,9,5,7,10,4,19,0,2.0,15.0,9.0,1.0,Lobby 1,Semifinals,Preseason_Qualifier_4
5.0,BHT,54,1,5,7,4,3,5,6,3,16.0,0.0,2.0,3.0,Lobby 1,Semifinals,Preseason_Qualifier_4
6.0,Los Makias,45,2,7,6,0,14,1,3,0,9.0,8.0,13.0,6.0,Lobby 1,Semifinals,Preseason_Qualifier_4
7.0,KZN,36,19,0,2,6,4,5,4,3,7.0,0.0,20.0,0.0,Lobby 1,Semifinals,Preseason_Qualifier_4
