Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,VEX,77,15,0,1,7,1,14,6,0,1,11,8,3,Lobby 1
2.0,Better,56,1,9,8,0,9,6,9,1,3,6,3,2,Lobby 1
3.0,BBG,54,17,0,2,9,18,1,1,8,2,4,11,1,Lobby 1
4.0,CG,50,13,3,16,0,16,1,3,8,16,2,1,16,Lobby 1
5.0,XD,44,5,6,3,6,10,4,12,7,18,2,13,4,Lobby 1
6.0,SNK,41,14,2,5,4,6,0,13,2,7,7,2,5,Lobby 1
7.0,NIBL,40,7,6,7,5,11,2,7,0,9,6,9,7,Lobby 1
8.0,Ratio,38,3,6,17,0,15,3,2,7,6,2,16,0,Lobby 1
9.0,P4C,34,6,1,10,3,3,7,10,7,13,1,18,0,Lobby 1
10.0,Gachi,31,4,4,11,5,4,3,16,0,15,0,14,6,Lobby 1
11.0,SYND,30,18,0,15,3,13,8,4,2,19,2,5,4,Lobby 1
12.0,POLSKA,28,2,8,9,1,17,0,19,0,14,2,10,3,Lobby 1
13.0,BGTTS,25,9,4,13,0,8,0,5,7,11,1,7,0,Lobby 1
14.0,Lost,24,19,0,18,0,2,3,14,0,4,2,12,3,Lobby 1
15.0,UTFT,20,8,1,12,0,7,0,8,3,10,3,6,0,Lobby 1
16.0,NBB,15,10,0,6,8,19,0,18,0,8,0,17,0,Lobby 1
17.0,ARIS,15,16,0,19,0,14,0,11,0,12,1,4,6,Lobby 1
18.0,BFG,15,11,2,14,0,5,2,15,0,5,0,19,0,Lobby 1
19.0,LPOG,13,12,0,4,3,12,1,17,0,17,0,15,1,Lobby 1
20.0,ZBW,0,0,0,0,0,0,0,0,0,0,0,0,0,Lobby 1
