,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,YouLikeThatMate?,108,108
1,2.0,4Fun,47,47
2,3.0,"You stay, I go",44,44
3,4.0,BBJ,38,38
4,5.0,ASE,32,32
5,6.0,LMX,29,29
6,7.0,LuxuryRose,22,22
7,8.0,CatDog,22,22
8,9.0,JustSomeWarriors,18,18
9,10.0,oni,17,17
10,11.0,Unlucky Players,14,14
11,12.0,Buck Town Squad,9,9
12,13.0,InevitableGaming,7,7
13,14.0,H4GAMING,7,7
14,15.0,Mexican Demons,6,6
15,16.0,The Stinkies,6,6
16,17.0,Anger Of Nubs,5,5
17,18.0,Eleventh Squad,4,4
18,19.0,Hardstuck Plat,2,2
19,20.0,All The Smoke,0,0
