,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,NVKT,63,63
1,2.0,EST,56,56
2,3.0,NM,39,39
3,4.0,Distruttori Team,37,37
4,5.0,Sniper Meta,36,36
5,6.0,Tijuana Piranas,35,35
6,7.0,MAP,24,24
7,8.0,1 vs Lobby,23,23
8,9.0,2 Zoomers1boomer,21,21
9,10.0,The Big 3,19,19
10,11.0,Vault Hunters,17,17
11,12.0,Impulsive Gaming,15,15
12,13.0,Team Boomer,8,8
13,14.0,Dominators,7,7
14,15.0,Guys Being Dudes,5,5
15,16.0,EKO,3,3
16,17.0,KThrewLife,2,2
17,18.0,Team SlamJam,2,2
18,19.0,Cod kids,1,1
19,20.0,Watson 2 Strong,0,0
