Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby
1.0,AVG,79,12,4,1,13,1,12,1,13,Lobby 1
2.0,Systematic,55,1,9,2,7,12,7,4,5,Lobby 1
3.0,Bots,40,3,15,4,6,8,0,18,5,Lobby 1
4.0,END2,38,2,9,11,3,5,12,16,0,Lobby 1
5.0,SMDG,23,19,0,20,0,9,7,2,5,Lobby 1
6.0,PBY,22,17,0,6,5,13,1,5,8,Lobby 1
7.0,MIX-ONE,20,11,4,15,0,4,5,7,1,Lobby 1
8.0,YNGEN,20,10,0,19,0,15,1,3,9,Lobby 1
9.0,Behr,18,5,1,5,3,19,0,6,3,Lobby 1
10.0,WhiteGive,17,6,0,13,2,3,2,10,0,Lobby 1
11.0,RZ,16,4,2,14,2,17,3,11,2,Lobby 1
12.0,DRG,14,20,0,7,2,7,1,8,3,Lobby 1
13.0,Sovereign,14,13,0,16,0,2,4,19,0,Lobby 1
14.0,NCTRY,13,15,2,8,7,18,0,15,0,Lobby 1
15.0,OMP,13,14,0,3,2,10,0,13,0,Lobby 1
16.0,JKs,11,8,4,10,0,14,2,20,0,Lobby 1
17.0,Behemoth,9,18,0,17,0,6,4,14,1,Lobby 1
18.0,Espoir,7,7,1,12,1,11,0,17,0,Lobby 1
19.0,T-BIRDS,6,9,1,9,0,16,0,12,0,Lobby 1
20.0,MASQ,3,16,0,18,0,20,1,9,0,Lobby 1
1.0,Horizon,50,9,8,11,4,3,13,6,12,Lobby 2
2.0,JET,45,10,2,2,10,5,5,4,8,Lobby 2
3.0,MWB,44,5,4,1,10,16,5,5,5,Lobby 2
4.0,BIGG,40,1,11,10,0,6,0,2,3,Lobby 2
5.0,MDYB,35,14,6,20,3,2,15,20,1,Lobby 2
6.0,MLG,34,2,3,5,4,7,6,9,3,Lobby 2
7.0,INX,33,3,5,8,5,9,1,3,4,Lobby 2
8.0,RYU,29,16,3,19,0,8,0,1,12,Lobby 2
9.0,VG,24,12,0,9,3,1,5,14,0,Lobby 2
10.0,CHILL,21,15,0,6,8,12,6,12,1,Lobby 2
11.0,LOAF,18,7,1,7,3,4,2,18,1,Lobby 2
12.0,Overclocked,14,6,3,4,0,13,1,13,0,Lobby 2
13.0,RTB BFH,12,8,5,17,0,20,0,8,3,Lobby 2
14.0,HEAVEN,12,19,0,3,2,18,0,10,1,Lobby 2
15.0,KHT,8,11,3,13,2,15,0,16,0,Lobby 2
16.0,REIGN,6,18,0,16,0,14,2,7,0,Lobby 2
17.0,Baj,6,4,1,18,0,17,0,19,0,Lobby 2
18.0,MP,5,17,0,14,0,10,2,17,0,Lobby 2
19.0,CHAPS,4,13,0,15,0,11,0,15,0,Lobby 2
20.0,Saint,3,20,0,12,0,19,0,11,1,Lobby 2
1.0,YTS,52,4,11,17,0,1,18,11,5,Lobby 3
2.0,HAKA,52,5,7,1,13,4,9,14,1,Lobby 3
3.0,FW,47,1,7,14,0,8,2,1,11,Lobby 3
4.0,NOPLAY2,42,6,1,2,9,5,5,5,7,Lobby 3
5.0,DNZY,34,9,18,20,0,10,10,16,2,Lobby 3
6.0,KMF,25,3,0,8,1,19,0,2,6,Lobby 3
7.0,Speed,24,2,3,18,0,3,4,15,0,Lobby 3
8.0,Monkey Predator,23,8,4,3,7,11,0,10,0,Lobby 3
9.0,GBR,22,7,0,4,3,7,3,7,2,Lobby 3
10.0,Sanity,17,17,0,19,0,15,0,4,11,Lobby 3
11.0,okok,17,15,0,16,0,12,2,3,6,Lobby 3
12.0,OPMON,16,19,0,6,3,2,0,12,0,Lobby 3
13.0,TNF,15,13,1,10,6,16,3,17,2,Lobby 3
14.0,Informal Squad,14,11,0,7,3,13,0,8,4,Lobby 3
15.0,No Mental,14,14,0,5,7,14,0,13,0,Lobby 3
16.0,TRY,11,12,0,11,0,6,2,6,1,Lobby 3
17.0,AIC WIBU,9,10,3,13,3,18,0,20,0,Lobby 3
18.0,SLA,6,16,0,15,1,9,0,9,0,Lobby 3
19.0,KEBUN,4,20,0,12,3,17,0,19,0,Lobby 3
20.0,LOCO,2,18,0,9,0,20,0,18,0,Lobby 3
1.0,N-M,69,4,9,1,14,10,3,1,12,Lobby 4
2.0,Phantom,55,1,8,2,8,4,7,8,4,Lobby 4
3.0,ARENA,50,6,8,6,6,1,13,6,2,Lobby 4
4.0,Lowkey,40,13,1,7,5,2,10,3,4,Lobby 4
5.0,Juiced,30,3,12,10,0,7,2,7,1,Lobby 4
6.0,PUGI,29,10,0,15,0,3,4,2,6,Lobby 4
7.0,OGL,26,11,1,3,11,11,0,5,1,Lobby 4
8.0,BLANK,24,5,4,8,0,14,1,4,7,Lobby 4
9.0,ZeroTwo,21,2,4,19,0,9,5,17,1,Lobby 4
10.0,HKUF,17,12,0,17,3,6,5,9,3,Lobby 4
11.0,Chonky Bees,17,14,1,5,3,8,2,10,2,Lobby 4
12.0,OJ,16,7,1,9,1,5,1,15,3,Lobby 4
13.0,iON-H,10,18,0,4,3,15,0,13,0,Lobby 4
14.0,HYPER,9,16,3,14,0,12,0,11,3,Lobby 4
15.0,U1D,8,9,3,18,1,13,0,18,1,Lobby 4
16.0,SNM,5,8,0,11,1,16,0,14,0,Lobby 4
17.0,KINDOG,3,17,0,12,0,17,2,16,0,Lobby 4
18.0,REC,2,19,0,13,0,18,0,12,0,Lobby 4
19.0,FNM,1,15,0,16,0,19,0,20,0,Lobby 4
20.0,GFG,0,20,0,20,0,20,0,20,0,Lobby 4
