Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,NoHalo,55,8,5,2,11,15,3,1,12
2.0,TREX,49,1,13,10,1,1,7,17,2
3.0,SJP2,47,2,14,18,0,3,8,6,6
4.0,Abysse,46,4,2,1,8,4,1,3,6
5.0,CRAZYx3,41,16,3,3,9,6,9,10,8
6.0,POLSKA,32,10,1,5,9,7,4,4,4
7.0,ThatsNotaBoulder,30,7,6,14,0,2,8,14,2
8.0,HKE,27,3,0,16,3,16,1,2,7
9.0,WICKED,17,17,0,6,5,11,3,9,3
10.0,Are we in,15,12,2,15,0,5,6,12,0
11.0,HLDC,13,9,3,17,0,10,5,13,0
12.0,weeboys,12,6,3,19,0,12,0,7,2
13.0,Wisps,12,14,0,4,2,19,0,5,0
14.0,Justthreeplayers,11,19,0,7,4,13,0,11,2
15.0,Vicimus,11,5,5,9,0,18,0,18,0
16.0,JediKnights,7,18,1,13,0,17,0,8,3
17.0,White Clover,6,13,0,8,1,9,0,19,0
18.0,PS,5,11,1,12,0,14,0,15,0
19.0,Dojo,5,15,0,11,0,8,1,16,0
20.0,25,0,20,0,20,0,20,0,20,0
