Standings,Team.1,Total
1.0,RL.XV,66
2.0,April,60
3.0,SNG,55
4.0,PWLS,35
5.0,WHIZ,32
6.0,DREAM,27
7.0,IFPD,26
8.0,RebellioN,25
9.0,hello nihao,15
10.0,Incorporated,14
11.0,Ryze Empire HK,13
12.0,Team eXplicit,13
13.0,Vaczer Esport,12
14.0,SAINTS,7
15.0,madzJabol,6
16.0,EVO.Shadow,6
17.0,Conquerors,4
18.0,BOG,4
19.0,Team Psycho,3
20.0,JOKO,0
