Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,BKMN,52,3,10,2,7,18,0,1,7
2.0,UC,44,19,1,1,12,6,2,2,5
3.0,FA Club FUG,38,14,3,5,9,4,8,9,6
4.0,LAG,37,1,10,10,5,15,3,11,3
5.0,TW,34,15,0,4,1,1,12,16,3
6.0,LFT BKGK,28,18,1,16,1,7,4,3,12
7.0,D4RK,25,5,3,19,0,5,4,6,7
8.0,YaBaL,23,13,1,8,7,11,5,7,3
9.0,IBSG,23,4,3,20,0,3,7,20,1
10.0,HE,22,17,1,12,1,2,8,10,0
11.0,NBG,22,2,4,7,3,13,0,8,0
12.0,ARZ,21,6,8,17,0,10,2,4,1
13.0,Rebellio,16,8,2,6,4,20,0,5,1
14.0,BEXT,14,7,2,11,0,14,0,12,6
15.0,APXRS,11,11,3,14,2,16,0,15,3
16.0,TVN,10,10,2,18,0,8,3,14,0
17.0,EniGma,9,16,0,3,1,12,0,17,0
18.0,Next,8,12,3,9,2,17,0,18,0
19.0,Core,7,6,0,20,0,9,1,13,0
20.0,SyS,2,20,0,9,0,19,0,19,0
