,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 17, 2022 - 20:00 EDTStorm Point Counter Logic Gaming Dubblyew Charlotte Phoenix","Round 1 Round 1 March 17, 2022 - 20:00 EDTStorm Point Counter Logic Gaming Dubblyew Charlotte Phoenix","Round 2 Round 2 March 17, 2022 - 20:30 EDTStorm Point TSM LMK Atlanta Premier","Round 2 Round 2 March 17, 2022 - 20:30 EDTStorm Point TSM LMK Atlanta Premier","Round 3 Round 3 March 17, 2022 - 21:00 EDTStorm Point NRG Atlanta Premier Ghost Gaming","Round 3 Round 3 March 17, 2022 - 21:00 EDTStorm Point NRG Atlanta Premier Ghost Gaming","Round 4 Round 4 March 17, 2022 - 21:30 EDTWorld's Edge NRG Atlanta Premier TSM","Round 4 Round 4 March 17, 2022 - 21:30 EDTWorld's Edge NRG Atlanta Premier TSM","Round 5 Round 5 March 17, 2022 - 22:00 EDTWorld's Edge RCO eSports Dubblyew Lazarus","Round 5 Round 5 March 17, 2022 - 22:00 EDTWorld's Edge RCO eSports Dubblyew Lazarus","Round 6 Round 6 March 17, 2022 - 22:30 EDTWorld's Edge Nightmare Atlanta Premier TSM","Round 6 Round 6 March 17, 2022 - 22:30 EDTWorld's Edge Nightmare Atlanta Premier TSM"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,NRG,82,13,2,7,5,1,17,1,19,7,8,17,0
1,2.0,TSM,75,5,2,1,11,7,6,3,7,4,2,3,9
2,3.0,AP,63,18,0,3,6,2,6,2,9,11,3,2,4
3,4.0,CLG,58,1,18,8,7,12,2,5,3,9,6,14,0
4,5.0,DY,40,2,8,15,0,10,1,14,0,2,3,7,3
5,6.0,LZR,33,6,0,4,2,19,0,4,3,3,6,8,0
6,7.0,RCO,32,15,1,11,0,11,1,8,2,1,10,13,0
7,8.0,XSET,30,20,0,14,3,13,1,10,7,6,9,10,1
8,9.0,G2,30,9,5,9,4,17,2,13,0,18,0,4,9
9,10.0,NM,28,16,0,12,2,20,0,11,1,14,1,1,9
10,11.0,SCRY,26,19,0,10,0,8,6,15,0,12,3,9,9
11,12.0,OXG,26,4,3,5,4,4,2,18,0,17,0,19,3
12,13.0,LMK,26,11,0,2,5,5,0,7,3,20,0,15,0
13,14.0,GHOST,23,14,2,16,1,3,5,16,0,19,1,6,3
14,15.0,CLX,22,10,0,6,8,15,0,12,4,15,0,11,1
15,16.0,RNG,20,7,6,18,1,14,3,6,1,10,0,18,0
16,17.0,CLT,20,3,4,20,0,16,0,9,0,5,3,20,0
17,18.0,BP,17,17,0,13,0,9,3,19,0,13,3,5,3
18,19.0,BAD,14,8,2,17,2,18,3,17,0,8,1,12,1
19,20.0,WASH,8,12,0,19,1,6,1,20,0,16,1,16,1
