,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 13, 2022 - 17:00 EDTStorm Point Spacestation Gaming All Glory Gaming TSM","Round 1 Round 1 March 13, 2022 - 17:00 EDTStorm Point Spacestation Gaming All Glory Gaming TSM","Round 2 Round 2 March 13, 2022 - 17:30 EDTStorm Point Nightmare TDG Torrent","Round 2 Round 2 March 13, 2022 - 17:30 EDTStorm Point Nightmare TDG Torrent","Round 3 Round 3 March 13, 2022 - 18:00 EDTStorm Point Dexterity Complexity Gaming All Glory Gaming","Round 3 Round 3 March 13, 2022 - 18:00 EDTStorm Point Dexterity Complexity Gaming All Glory Gaming","Round 4 Round 4 March 13, 2022 - 18:30 EDTWorld's Edge G2 Esports All Glory Gaming TSM","Round 4 Round 4 March 13, 2022 - 18:30 EDTWorld's Edge G2 Esports All Glory Gaming TSM","Round 5 Round 5 March 13, 2022 - 19:00 EDTWorld's Edge Sentinels Complexity Gaming Torrent","Round 5 Round 5 March 13, 2022 - 19:00 EDTWorld's Edge Sentinels Complexity Gaming Torrent","Round 6 Round 6 March 13, 2022 - 19:30 EDTWorld's Edge XSET Dexterity G2 Esports","Round 6 Round 6 March 13, 2022 - 19:30 EDTWorld's Edge XSET Dexterity G2 Esports"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,G2,68,5,7,11,1,5,2,1,16,9,5,3,7
1,2.0,TSM,58,3,7,9,5,4,10,3,2,10,1,7,7
2,3.0,SEN,55,4,5,12,3,16,2,5,6,1,10,5,3
3,4.0,DXT,53,9,3,17,0,1,11,6,0,16,1,2,12
4,5.0,AGG,50,2,10,6,1,3,5,2,3,12,1,16,1
5,6.0,XSET,42,15,4,19,0,18,0,16,6,5,8,1,7
6,7.0,SSG,42,1,9,20,0,7,0,13,5,4,3,8,2
7,8.0,TOR,38,10,1,3,4,19,0,7,2,3,8,9,2
8,9.0,CLX,36,6,5,4,5,6,5,15,0,6,2,13,3
9,10.0,COL,36,19,0,7,1,2,5,18,0,2,3,10,4
10,11.0,NM,32,17,0,1,10,11,0,10,4,17,3,17,0
11,12.0,SAF,26,14,0,13,5,8,5,11,0,15,1,4,4
12,13.0,BAD,24,8,0,16,3,9,4,4,5,8,0,11,0
13,14.0,TDG,22,12,0,2,3,14,1,9,3,13,1,20,0
14,15.0,E8,20,20,0,15,1,15,1,8,3,7,7,14,0
15,16.0,BP,20,13,0,5,7,13,0,14,1,20,0,6,2
16,17.0,RNG,12,7,3,14,1,17,0,20,0,14,2,19,1
17,18.0,UNL,11,11,0,18,0,12,2,17,1,11,2,12,2
18,19.0,LZR,11,18,1,10,1,10,3,12,0,19,0,15,0
19,20.0,WASH,8,16,1,8,5,20,0,19,0,18,0,18,0
