,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 28, 2022 - 20:00 EDTWorld's Edge XSET Esports Arena 100 Thieves","Round 1 Round 1 March 28, 2022 - 20:00 EDTWorld's Edge XSET Esports Arena 100 Thieves","Round 2 Round 2 March 28, 2022 - 20:30 EDTWorld's Edge Team Liquid FURIA Esports Renegades","Round 2 Round 2 March 28, 2022 - 20:30 EDTWorld's Edge Team Liquid FURIA Esports Renegades","Round 3 Round 3 March 28, 2022 - 21:00 EDTWorld's Edge Team Liquid Buff Pathfinder Optimal Ambition","Round 3 Round 3 March 28, 2022 - 21:00 EDTWorld's Edge Team Liquid Buff Pathfinder Optimal Ambition","Round 4 Round 4 March 28, 2022 - 21:30 EDTStorm Point Team Liquid G-Force Lazarus","Round 4 Round 4 March 28, 2022 - 21:30 EDTStorm Point Team Liquid G-Force Lazarus","Round 5 Round 5 March 28, 2022 - 22:00 EDTStorm Point Cloud9 Team Liquid G-Force","Round 5 Round 5 March 28, 2022 - 22:00 EDTStorm Point Cloud9 Team Liquid G-Force","Round 6 Round 6 March 28, 2022 - 22:30 EDTStorm Point Esports Arena FURIA Esports Cloud9","Round 6 Round 6 March 28, 2022 - 22:30 EDTStorm Point Esports Arena FURIA Esports Cloud9"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,TL,82,10,3,1,7,1,9,1,11,2,5,18,0
1,2.0,GFORCE,66,16,5,7,11,19,0,2,10,3,16,9,3
2,3.0,FUR,52,9,6,2,4,5,5,16,3,12,3,2,6
3,4.0,ESA,47,2,0,8,4,12,3,9,0,20,1,1,13
4,5.0,C9,45,18,0,9,0,7,2,10,3,1,9,3,5
5,6.0,100T,39,3,12,12,3,8,0,5,1,4,3,20,1
6,7.0,XSET,36,1,10,17,0,17,1,11,5,17,0,14,6
7,8.0,TSM,36,4,4,4,0,4,2,8,3,5,0,8,4
8,9.0,LZR,34,5,4,13,4,14,1,3,5,13,1,7,2
9,10.0,BBG,32,13,0,18,3,9,4,6,5,8,5,6,4
10,11.0,RNG,28,20,0,3,8,13,7,13,0,6,1,19,0
11,12.0,OA,27,19,3,11,0,3,5,19,0,14,0,5,6
12,13.0,BP,26,8,2,6,5,2,4,17,0,11,0,17,0
13,14.0,NM,25,7,2,5,5,15,4,14,0,18,3,10,0
14,15.0,G2,22,11,3,10,2,16,0,12,0,15,3,4,4
15,16.0,LVG,17,12,1,14,0,11,0,4,5,9,0,12,0
16,17.0,CLX,16,6,0,15,0,6,1,7,5,16,0,16,0
17,18.0,BAD,12,14,0,19,0,10,3,15,0,19,0,11,4
18,19.0,CAS,10,17,1,16,0,18,0,18,0,10,6,13,0
19,20.0,WASH,6,15,0,20,0,20,0,20,0,7,1,15,0
