,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 24, 2022 - 20:00 EDTWorld's Edge Oxygen Esports Dubblyew Counter Logic Gaming","Round 1 Round 1 March 24, 2022 - 20:00 EDTWorld's Edge Oxygen Esports Dubblyew Counter Logic Gaming","Round 2 Round 2 March 24, 2022 - 20:30 EDTWorld's Edge 100 Thieves Cloud9 RCO eSports","Round 2 Round 2 March 24, 2022 - 20:30 EDTWorld's Edge 100 Thieves Cloud9 RCO eSports","Round 3 Round 3 March 24, 2022 - 21:00 EDTWorld's Edge RCO eSports Dubblyew NRG","Round 3 Round 3 March 24, 2022 - 21:00 EDTWorld's Edge RCO eSports Dubblyew NRG","Round 4 Round 4 March 24, 2022 - 21:30 EDTStorm Point Esports Arena Cloud9 Team Liquid","Round 4 Round 4 March 24, 2022 - 21:30 EDTStorm Point Esports Arena Cloud9 Team Liquid","Round 5 Round 5 March 24, 2022 - 22:00 EDTStorm Point Esports Arena 100 Thieves NRG","Round 5 Round 5 March 24, 2022 - 22:00 EDTStorm Point Esports Arena 100 Thieves NRG","Round 6 Round 6 March 24, 2022 - 22:30 EDTStorm Point NRG Dubblyew Charlotte Phoenix","Round 6 Round 6 March 24, 2022 - 22:30 EDTStorm Point NRG Dubblyew Charlotte Phoenix"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,NRG,76,15,5,4,2,3,9,5,8,3,5,1,11
1,2.0,ESA,60,6,2,12,1,6,5,1,9,1,9,17,3
2,3.0,C9,56,10,3,2,4,18,0,2,8,4,9,11,6
3,4.0,100T,54,11,2,1,12,4,3,8,1,2,6,14,0
4,5.0,DY,51,2,0,9,1,2,12,17,1,16,3,2,5
5,6.0,TL,48,8,6,10,1,7,5,3,7,15,2,5,8
6,7.0,OXG,46,1,11,7,7,11,1,10,3,8,3,15,0
7,8.0,RCO,42,18,3,3,1,1,6,7,1,14,2,8,4
8,9.0,CLG,35,3,4,19,0,13,2,4,1,5,6,4,0
9,10.0,SCRY,28,17,0,11,4,8,7,14,1,19,0,6,9
10,11.0,GFORCE,22,20,0,8,2,19,1,9,5,9,6,12,1
11,12.0,GHOST,20,12,1,13,3,16,0,6,4,7,2,10,0
12,13.0,LMK,20,5,4,5,6,12,0,20,0,18,0,13,0
13,14.0,CLT,18,16,0,16,0,5,0,15,0,13,0,3,5
14,15.0,FUR,17,19,0,6,4,9,2,11,0,10,0,9,1
15,16.0,LVG,16,4,3,14,2,17,0,12,3,17,1,19,0
16,17.0,AP,15,14,0,17,2,10,3,16,0,11,0,7,3
17,18.0,CAS,13,9,2,15,0,14,2,18,1,6,0,16,1
18,19.0,OA,12,7,3,18,1,15,0,13,0,12,2,20,0
19,20.0,BBG,5,13,4,20,0,20,0,19,0,20,0,18,0
