,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 18, 2022 - 20:00 EDTStorm Point Casuals Cloud9 FURIA Esports","Round 1 Round 1 March 18, 2022 - 20:00 EDTStorm Point Casuals Cloud9 FURIA Esports","Round 2 Round 2 March 18, 2022 - 20:30 EDTStorm Point Esports Arena Unlucky Literally Vibing","Round 2 Round 2 March 18, 2022 - 20:30 EDTStorm Point Esports Arena Unlucky Literally Vibing","Round 3 Round 3 March 18, 2022 - 21:00 EDTStorm Point Optimal Ambition 100 Thieves Torrent","Round 3 Round 3 March 18, 2022 - 21:00 EDTStorm Point Optimal Ambition 100 Thieves Torrent","Round 4 Round 4 March 18, 2022 - 21:30 EDTWorld's Edge Esports Arena Casuals Complexity Gaming","Round 4 Round 4 March 18, 2022 - 21:30 EDTWorld's Edge Esports Arena Casuals Complexity Gaming","Round 5 Round 5 March 18, 2022 - 22:00 EDTWorld's Edge 100 Thieves Unlucky Torrent","Round 5 Round 5 March 18, 2022 - 22:00 EDTWorld's Edge 100 Thieves Unlucky Torrent","Round 6 Round 6 March 18, 2022 - 22:30 EDTWorld's Edge Complexity Gaming 100 Thieves Casuals","Round 6 Round 6 March 18, 2022 - 22:30 EDTWorld's Edge Complexity Gaming 100 Thieves Casuals"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,ESA,73,15,3,1,10,19,3,1,11,7,11,7,4
1,2.0,100T,62,7,1,12,1,2,8,11,1,1,10,2,6
2,3.0,C9,54,2,12,6,4,20,0,8,5,5,9,8,4
3,4.0,CAS,52,1,5,16,0,17,0,2,11,14,1,3,6
4,5.0,COL,49,9,5,7,0,6,5,3,3,13,0,1,8
5,6.0,UNL,39,5,3,2,1,10,0,6,3,2,3,9,0
6,7.0,SSG,33,10,4,17,5,14,6,19,0,10,2,5,7
7,8.0,OA,33,8,1,20,0,1,8,10,3,8,2,20,1
8,9.0,TL,30,4,3,14,2,9,2,15,3,15,0,4,5
9,10.0,TOR,29,13,1,18,0,3,1,7,2,3,7,19,0
10,11.0,BBG,28,20,0,4,8,15,0,4,8,19,0,13,0
11,12.0,FUR,28,3,5,15,0,12,1,20,0,9,2,6,6
12,13.0,AGG,23,6,6,8,2,8,3,13,0,12,3,16,0
13,14.0,GFORCE,23,17,0,9,0,7,6,9,3,6,1,18,3
14,15.0,LVG,22,16,0,3,7,11,4,12,1,17,0,14,0
15,16.0,SEN,21,19,1,19,3,4,4,5,3,16,0,17,1
16,17.0,TDG,20,18,0,11,7,16,0,18,0,4,6,12,0
17,18.0,DXT,16,12,2,13,0,5,2,16,0,20,0,10,4
18,19.0,E8,15,11,0,5,3,13,2,17,0,11,1,11,1
19,20.0,SAF,14,14,3,10,4,18,0,14,0,18,1,15,1
