Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,MDY,98,9,3,2,17,1,22,1,21
2.0,Estrell,40,1,11,6,2,3,1,13,3
3.0,WAT,37,2,11,12,5,19,2,7,6
4.0,iON,32,6,1,11,8,8,6,2,2
5.0,PWLS,30,4,4,3,4,6,5,9,0
6.0,HOPE,29,17,0,1,8,4,4,18,0
7.0,IFPD,26,12,4,15,1,2,5,8,3
8.0,Hardstucks,21,7,1,5,0,5,1,3,1
9.0,South Cartel,19,5,7,8,3,12,1,15,0
10.0,END,19,8,2,7,4,9,0,10,4
11.0,Soosmar slayer,16,14,8,16,0,20,1,5,2
12.0,Wkey,16,19,0,19,0,10,3,4,6
13.0,INF,12,18,0,9,3,17,0,6,4
14.0,Link E-sports,12,3,0,10,1,11,0,11,0
15.0,Hardstuck D4,9,13,2,4,1,16,0,16,0
16.0,Astreaks Gaming,9,10,1,20,0,7,2,12,0
17.0,Happy To Be Here,5,11,0,14,1,15,1,19,0
18.0,Inferno DRT,4,20,0,13,0,18,3,17,0
19.0,Noobs UwU,2,16,0,18,0,13,0,14,0
20.0,team garong,2,15,0,17,0,14,0,20,0
