Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,UC,63,19,0,1,15,10,5,5,3,2,11,15,1
2.0,RPG,62,11,0,2,6,1,7,3,7,7,0,3,3
3.0,MTR,56,9,0,11,0,3,5,6,4,1,15,7,4
4.0,APXRS,55,6,11,6,4,7,4,2,8,10,6,12,1
5.0,BKMN,48,8,3,5,6,6,9,8,2,15,0,2,7
6.0,SyS,39,10,3,19,0,9,3,1,8,6,1,9,3
7.0,D4RK,37,4,9,16,0,12,5,13,2,14,3,4,5
8.0,Serpens,37,16,6,3,2,2,4,4,3,11,0,20,0
9.0,LAG,35,1,9,18,2,5,2,7,3,18,0,19,0
10.0,456,32,3,4,8,4,8,2,11,8,17,0,17,2
11.0,SYTH,32,12,0,7,4,4,1,12,3,4,7,14,1
12.0,IBSG,30,2,4,17,0,18,1,10,1,5,1,6,5
13.0,Marine,25,20,0,12,3,14,2,19,0,13,0,1,5
14.0,NAT,22,7,4,9,5,13,1,17,1,20,0,11,4
15.0,TW,19,5,1,14,0,20,0,14,0,12,3,10,6
16.0,JDT,17,17,0,4,4,11,3,18,0,16,0,8,2
17.0,Servelal alpha,16,18,0,13,0,17,2,20,0,3,6,18,0
18.0,LandMarkGondola,15,14,0,20,0,19,0,15,2,9,4,5,1
19.0,EXiA KR,11,13,1,10,0,16,0,9,2,19,0,16,3
20.0,ScL,9,15,0,15,0,15,0,16,1,8,2,13,0
