Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,IFE,53,12,2,2,7,1,18,14,3
2.0,Spooky Scary,52,3,11,4,6,4,6,7,9
3.0,ING,46,1,12,7,8,15,3,12,6
4.0,NBL,39,8,5,1,13,8,4,17,1
5.0,UNL,34,9,5,6,6,11,0,2,8
6.0,CVS,28,17,3,12,1,6,1,1,7
7.0,RCO,26,16,0,3,7,5,0,5,4
8.0,LMX,26,14,0,10,0,2,6,4,3
9.0,Tijuana Piranas,23,2,5,8,2,10,0,8,1
10.0,The leftovers,20,18,0,9,0,3,6,6,2
11.0,Manifest,17,10,3,13,0,14,3,3,0
12.0,Yess,13,6,3,14,5,19,0,15,0
13.0,BBJ,13,4,2,20,0,9,4,16,0
14.0,Carbon Esports,12,20,0,17,0,7,3,9,4
15.0,OnTheRocks,10,19,0,15,1,13,0,10,5
16.0,GHC,8,5,3,16,0,18,0,11,0
17.0,He's 1 Shot Bro,7,11,0,5,1,16,1,19,0
18.0,iMx Gaming,4,7,0,18,0,12,0,20,0
19.0,Team combat Pros,3,13,1,19,0,17,0,13,0
20.0,LNT,2,15,0,11,0,20,0,18,0
