Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,GOD,62,14,1,8,6,2,9,9,3,2,3,2,8
2.0,TREX,60,3,6,1,11,4,6,14,0,3,5,17,0
3.0,SMS,57,1,7,3,9,3,7,8,0,4,1,18,0
4.0,ZBW,45,2,15,4,7,19,0,5,2,17,0,8,1
5.0,SSD,43,6,10,11,6,18,0,19,0,6,12,11,7
6.0,SCTA,40,13,1,2,4,7,0,2,5,11,4,7,0
7.0,1872,39,15,2,18,0,17,0,1,19,15,1,16,3
8.0,CRAZYx3,38,12,1,12,1,12,4,16,0,12,4,3,17
9.0,backseat,38,4,5,10,2,6,7,13,3,9,2,5,2
10.0,Kryptic,35,11,0,17,1,5,1,12,2,1,12,14,0
11.0,Xc,35,9,0,5,2,1,8,15,0,11,1,6,1
12.0,SJP2,31,20,0,20,1,20,0,20,0,16,5,1,13
13.0,Sip auf Hirn,26,8,2,14,2,11,6,4,7,20,0,20,0
14.0,ATK,23,16,0,7,0,9,5,6,1,13,6,9,0
15.0,SYND,20,19,0,13,0,16,1,3,10,19,0,15,0
16.0,6bnt,20,10,1,6,0,8,1,11,3,8,4,13,0
17.0,LOS,20,7,5,16,0,10,0,7,0,7,1,10,1
18.0,HRV,19,5,2,15,2,13,2,17,0,5,0,12,2
19.0,Uchinix,18,18,0,19,0,14,3,10,0,18,2,4,5
20.0,BBG,10,17,1,9,3,15,0,18,0,14,2,19,0
