,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 30, 2021 - 12:00 JSTWorld's Edge 0_Reverse Jadeite RUDENS Esports","Round 1 Round 1 October 30, 2021 - 12:00 JSTWorld's Edge 0_Reverse Jadeite RUDENS Esports","Round 2 Round 2 October 30, 2021 - 12:35 JSTWorld's Edge Serpens E-sports RAZE e-sports NEXT ALTAIR","Round 2 Round 2 October 30, 2021 - 12:35 JSTWorld's Edge Serpens E-sports RAZE e-sports NEXT ALTAIR","Round 3 Round 3 October 30, 2021 - 13:10 JSTWorld's Edge Fada-one Arcana BlackGorillaN RUDENS Esports","Round 3 Round 3 October 30, 2021 - 13:10 JSTWorld's Edge Fada-one Arcana BlackGorillaN RUDENS Esports","Round 4 Round 4 October 30, 2021 - 13:45 JSTWorld's Edge NEXT ALTAIR BEXT e-Sports NegiNuki","Round 4 Round 4 October 30, 2021 - 13:45 JSTWorld's Edge NEXT ALTAIR BEXT e-Sports NegiNuki"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,Fada-one Arcana,49,54,88,73,44,112,1010,82,66
1,2.0,RDNS,42,37,44,63,88,37,55,45,33
2,3.0,NEXT ALTAIR,37,63,0,37,44,151,0,112,1010
3,4.0,NegiNuki,33,45,33,45,0,131,11,37,1111
4,5.0,JDT,29,29,55,82,22,63,33,54,11
5,6.0,Serpens,29,102,0,112,1111,141,0,73,0
6,7.0,0_Reverse,28,112,99,141,0,73,22,111,0
7,8.0,RAZE,27,111,22,29,55,54,33,63,0
8,9.0,BEXT,27,73,0,54,55,82,11,29,33
9,10.0,EGJP,21,82,66,121,33,121,22,131,55
10,11.0,BlackGorillaN,21,151,11,131,0,29,55,121,33
11,12.0,SUK,17,141,0,151,0,45,66,92,22
12,13.0,KaisenDONDON,11,92,22,102,0,111,0,102,22
13,14.0,HIT,9,131,11,111,0,92,33,151,0
14,15.0,LandMarkGondola,7,121,0,92,0,102,11,141,0
