Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,AIE,157,4,8,1,19,1,18,1,27,1,13,3,12
2.0,CerditosMacabeos,53,17,0,2,7,11,0,11,2,2,8,5,12
3.0,O3,47,15,1,11,0,3,3,8,2,5,8,1,6
4.0,Seven,47,14,1,3,3,2,7,3,5,13,0,9,4
5.0,BTH,46,1,15,13,0,9,4,4,2,10,1,14,1
6.0,ROCKETZ TEAM,36,2,2,8,0,5,5,15,1,3,4,11,0
7.0,TCS,35,3,8,4,3,6,0,14,0,4,2,15,0
8.0,FourG Team,28,5,3,17,0,8,0,7,2,14,0,2,4
9.0,Mystical,26,11,4,5,5,14,6,10,0,11,0,10,0
10.0,PVP,25,12,0,16,0,13,0,2,3,8,4,8,3
11.0,1k ping,21,7,0,15,0,4,2,6,1,12,0,4,0
12.0,KPS,19,16,0,10,6,16,0,5,1,7,0,7,0
13.0,Taichi Horror,16,10,0,7,2,7,0,12,0,6,1,13,0
14.0,AWD,12,8,1,14,0,10,0,16,0,9,1,6,0
15.0,Team destroyers,8,9,0,12,1,15,0,13,0,15,0,12,0
16.0,Z Gravity,7,13,0,6,0,12,0,9,0,16,0,0,0
17.0,eVoLuTioN,5,6,0,9,0,17,0,0,0,0,0,0,0
