Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,AM,71,16,3,7,6,1,10,4,2,3,3,2,11,Lobby 1
2.0,LM,61,5,6,1,7,6,7,14,4,7,7,7,4,Lobby 1
3.0,SHEESH,56,8,6,13,2,16,3,7,0,1,25,11,1,Lobby 1
4.0,JOYBOYS,46,2,4,16,3,5,0,1,8,6,1,15,1,Lobby 1
5.0,TSS,43,13,6,4,10,11,8,8,5,12,3,17,1,Lobby 1
6.0,RT,43,10,2,18,0,3,3,3,7,2,5,13,0,Lobby 1
7.0,LMX,41,1,8,14,0,10,0,5,4,11,1,4,3,Lobby 1
8.0,2B1C,39,7,3,11,0,2,10,6,3,14,0,9,4,Lobby 1
9.0,CPR Certified,39,4,4,8,0,17,1,11,0,10,2,1,10,Lobby 1
10.0,BAD,38,9,3,3,10,4,6,16,2,17,0,18,3,Lobby 1
11.0,RL,34,15,1,2,6,15,3,12,3,15,6,12,1,Lobby 1
12.0,O TAMA,33,20,0,17,0,8,3,2,15,8,2,20,0,Lobby 1
13.0,OA,29,11,0,12,6,7,3,9,6,9,1,6,1,Lobby 1
14.0,EST,26,17,0,5,1,14,2,20,0,4,0,3,6,Lobby 1
15.0,BP,20,6,0,9,3,19,0,10,0,5,5,16,1,Lobby 1
16.0,Select,16,18,3,20,0,9,0,17,0,13,1,10,7,Lobby 1
17.0,CenterZone,15,3,2,15,0,12,2,18,0,19,0,14,1,Lobby 1
18.0,UNL,14,14,3,6,1,18,0,15,0,18,0,5,1,Lobby 1
19.0,Wonderboys,13,12,5,19,0,20,0,19,0,16,0,8,5,Lobby 1
20.0,Sussy Bakas,5,19,0,10,0,13,1,13,0,20,0,19,0,Lobby 1
