Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,CR4KD,53,15,3,1,10,1,10,9,3
2.0,CHILL,51,12,0,4,6,5,6,1,17
3.0,SXT,42,5,5,2,9,9,2,4,6
4.0,DRG,40,4,4,5,0,4,6,2,7
5.0,ASC,39,6,8,15,2,2,10,7,3
6.0,MXT,35,16,1,7,14,14,4,3,5
7.0,Lowkey,32,1,11,6,6,16,0,18,0
8.0,NoC,22,2,4,9,0,7,0,11,3
9.0,EMDA,21,3,3,8,2,6,3,12,0
10.0,COHA,17,9,2,16,0,3,4,13,1
11.0,SOT,14,8,0,11,0,8,5,6,1
12.0,Baj,13,7,3,10,1,18,0,5,0
13.0,MPEX,13,10,2,3,1,15,0,16,0
14.0,MAF,9,18,0,12,0,12,2,8,3
15.0,tasi,6,17,0,13,0,13,0,10,2
16.0,Unknown,5,13,3,17,0,17,0,14,0
17.0,VRG,5,14,1,18,0,10,0,15,0
18.0,Kardinals,4,11,0,14,0,11,1,17,0
