Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,DNZY,59,9,6,15,0,2,14,1,15
2.0,JKs,52,5,4,2,13,3,8,12,6
3.0,AmK,41,7,3,4,4,1,10,13,3
4.0,Soosmar slayer,39,3,3,8,9,17,0,2,9
5.0,WARTX,38,2,2,1,7,5,1,6,0
6.0,BLANK,29,1,11,17,0,6,3,16,0
7.0,HAN,28,16,0,3,7,4,7,15,1
8.0,LIGJR,24,6,7,14,3,8,3,4,0
9.0,END,23,8,0,5,3,19,0,3,7
10.0,HypC,14,11,2,13,0,15,3,8,4
11.0,GOD OF DREAM,14,4,5,6,1,16,0,17,0
12.0,Deng,13,13,0,7,0,11,0,5,4
13.0,HEIR,11,10,1,10,2,14,0,14,2
14.0,SLA,9,15,0,9,1,7,0,9,0
15.0,Quentiam,8,19,0,18,0,12,4,7,0
16.0,MASQ,6,17,4,16,0,18,0,10,0
17.0,INEL,4,12,0,12,0,13,0,18,1
18.0,jpeg,4,18,0,11,1,9,0,19,0
19.0,REIGN,4,14,0,19,0,10,0,11,0
