Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,AVG,69,10,3,1,19,1,14,12,6
2.0,AIC WIBU,63,1,17,3,8,2,5,11,4
3.0,MWB,43,3,7,2,4,8,4,4,5
4.0,okok,38,2,7,7,0,7,2,2,5
5.0,HAKA,33,16,0,6,5,16,0,1,13
6.0,Sanity,29,4,1,5,3,6,4,3,2
7.0,OGL,28,7,1,9,3,5,9,7,3
8.0,INX,23,5,4,16,3,3,3,9,0
9.0,NOPLAY2,19,13,3,8,5,4,1,10,0
10.0,iON,17,9,0,4,0,14,2,6,4
11.0,Systematic,14,8,4,17,0,15,2,8,3
12.0,BIGG,11,17,0,12,0,11,2,5,3
13.0,MEIDO,10,6,1,10,1,10,0,17,1
14.0,Prey,6,14,0,13,0,18,0,12,3
15.0,heLL,4,18,0,11,0,13,0,14,1
16.0,LVTHN,4,12,0,15,1,12,0,16,0
17.0,KINDOG,3,15,0,18,0,9,0,18,0
18.0,S2N,3,11,0,14,0,17,0,15,0
