Standings,Team.1,Total,Lobby
1.0,NV Kwispy Tart,97,Lobby 20
2.0,1 vs Lobby,40,Lobby 20
3.0,NM,32,Lobby 20
4.0,EKO,24,Lobby 20
5.0,Watson 2 Strong,23,Lobby 20
6.0,Impulsive Gaming,23,Lobby 20
7.0,Distruttori Team,21,Lobby 20
8.0,Team SlamJam,21,Lobby 20
9.0,MAP,21,Lobby 20
10.0,Guys Being Dudes,17,Lobby 20
11.0,Phantom Troupe,15,Lobby 20
12.0,APEX BOIZ,10,Lobby 20
13.0,Triple Threat,9,Lobby 20
14.0,Vortex CGO,8,Lobby 20
15.0,Raw Dog Agents,7,Lobby 20
1.0,JIN,70,Lobby 21
2.0,NEAN,69,Lobby 21
3.0,Spicy,55,Lobby 21
4.0,Sussy Bakas,38,Lobby 21
5.0,MexicanPowerTeam,22,Lobby 21
6.0,TTN CRIO,18,Lobby 21
7.0,JEAGERS,17,Lobby 21
8.0,Anarchy,17,Lobby 21
9.0,TeamHitX (missing),14,Lobby 21
10.0,Int Us Hardef (missing),12,Lobby 21
11.0,Rez Dogs,12,Lobby 21
12.0,Stacked Pred,10,Lobby 21
13.0,EthOS,9,Lobby 21
14.0,All Outta Birds,6,Lobby 21
15.0,Frequency,4,Lobby 21
1.0,TPM,56,Lobby 22
2.0,Shibby,47,Lobby 22
3.0,Lethal Villains,47,Lobby 22
4.0,AbsoluteMonarchy,45,Lobby 22
5.0,TheBidetBoys,32,Lobby 22
6.0,GNR,30,Lobby 22
7.0,FROG,28,Lobby 22
8.0,Godz of deci,23,Lobby 22
9.0,Stuck Diamonds,13,Lobby 22
10.0,Swanky Boys,13,Lobby 22
11.0,LegendsnWarriors,12,Lobby 22
12.0,Mictlan Esports,7,Lobby 22
13.0,HiPoint,6,Lobby 22
14.0,Deathbox Dealers,6,Lobby 22
15.0,PosVibesOnly,0,Lobby 22
1.0,En Carto Garmers (missing),61,Lobby 23
2.0,RT,49,Lobby 23
3.0,LF,42,Lobby 23
4.0,Los Hefes,40,Lobby 23
5.0,Them Boiz,32,Lobby 23
6.0,Kaged,30,Lobby 23
7.0,Spood Beest,23,Lobby 23
8.0,The Other Guys,19,Lobby 23
9.0,Eternal x Beasts,18,Lobby 23
10.0,Corruption,16,Lobby 23
11.0,Jolly Roger,14,Lobby 23
12.0,Xbox,12,Lobby 23
13.0,ChkyMoneyBadgers,10,Lobby 23
14.0,The Spit Boys,10,Lobby 23
15.0,GForce Team,4,Lobby 23
1.0,Zachs Chest Hair,66,Lobby 24
2.0,trippinoncables,52,Lobby 24
3.0,Laggy 'n Rollers,51,Lobby 24
4.0,ChayKayJay,38,Lobby 24
5.0,TAG NA,31,Lobby 24
6.0,Unlucky,30,Lobby 24
7.0,Mid Piece,28,Lobby 24
8.0,Captains,14,Lobby 24
9.0,LF,13,Lobby 24
10.0,Dunk Squad,12,Lobby 24
11.0,ShadowPunisherMx,11,Lobby 24
12.0,Bounty Hunters,6,Lobby 24
13.0,Foreign Deity,6,Lobby 24
14.0,Dream Catcherz,3,Lobby 24
15.0,Anime Tibbiez,1,Lobby 24
1.0,BOT,109,Lobby 25
2.0,Shady Kings,47,Lobby 25
3.0,ATRX,31,Lobby 25
4.0,Team_Supr3me,28,Lobby 25
5.0,Hold The Door,28,Lobby 25
6.0,NoGiveupGaming,27,Lobby 25
7.0,Dark Matter,16,Lobby 25
8.0,Anfield,14,Lobby 25
9.0,RISK,13,Lobby 25
10.0,Filii Martis,13,Lobby 25
11.0,Unicorn Guild,11,Lobby 25
12.0,1k,10,Lobby 25
13.0,Battle Axe GG,8,Lobby 25
14.0,Dastardly Sharks,7,Lobby 25
15.0,VermillionKnights,0,Lobby 25
1.0,2B1C,87,Lobby 26
2.0,pub stars,68,Lobby 26
3.0,WASH,39,Lobby 26
4.0,LNT,31,Lobby 26
5.0,Yess,29,Lobby 26
6.0,Tater,20,Lobby 26
7.0,TheCerealKillers,16,Lobby 26
8.0,ForcesGG,15,Lobby 26
9.0,UnderWorldGaming,13,Lobby 26
10.0,RLP,12,Lobby 26
11.0,Akedos Gaming,11,Lobby 26
12.0,Fuego,10,Lobby 26
13.0,Night Raid,9,Lobby 26
14.0,Pride Stark,8,Lobby 26
1.0,Dark Matter,93,Lobby 27
2.0,TAT,38,Lobby 27
3.0,Wonderboys,33,Lobby 27
4.0,Blockbuster,28,Lobby 27
5.0,Movement Temple,28,Lobby 27
6.0,Miso Hate Club,26,Lobby 27
7.0,Buds and Beer,23,Lobby 27
8.0,Iron Giant,17,Lobby 27
9.0,Evil Eye,16,Lobby 27
10.0,Just The Boys,15,Lobby 27
11.0,VATOS LOCOS,12,Lobby 27
12.0,Perpetual Empire,11,Lobby 27
13.0,APEX BOOMERS,9,Lobby 27
14.0,Literal Bots,7,Lobby 27
15.0,Soli Deo Gloria,0,Lobby 27
1.0,Content Squad,52,Lobby 28
2.0,NOXIOUS,48,Lobby 28
3.0,JOYBOYS,48,Lobby 28
4.0,Spacelanders,37,Lobby 28
5.0,TeamDreams,34,Lobby 28
6.0,DarkRoyalNation,32,Lobby 28
7.0,PradoHouseCigar,21,Lobby 28
8.0,Team Name,19,Lobby 28
9.0,Plimbo,19,Lobby 28
10.0,UNDD,18,Lobby 28
11.0,The Dusters,15,Lobby 28
12.0,Vengeance,11,Lobby 28
13.0,EXOTICK,9,Lobby 28
14.0,Zime,5,Lobby 28
15.0,Bulldogs,4,Lobby 28
1.0,WPH,57,Lobby 29
2.0,Specter,55,Lobby 29
3.0,Raised By Wolves,48,Lobby 29
4.0,4 Told,34,Lobby 29
5.0,MoonStone,33,Lobby 29
6.0,Chefs,31,Lobby 29
7.0,GearsKidsonApex,25,Lobby 29
8.0,Onyx,24,Lobby 29
9.0,Lights Out,18,Lobby 29
10.0,CastAways,15,Lobby 29
11.0,Suck my thermite,10,Lobby 29
12.0,RND,8,Lobby 29
13.0,TNGS,7,Lobby 29
14.0,AirPlane Mode,5,Lobby 29
15.0,Built For War,2,Lobby 29
1.0,BW,102,Lobby 2
2.0,Spooky Scary,66,Lobby 2
3.0,HololiveDXD,26,Lobby 2
4.0,6ide,23,Lobby 2
5.0,ParkingLotBirds,21,Lobby 2
6.0,Azakana,20,Lobby 2
7.0,Bot Squad,17,Lobby 2
8.0,Team Animo,17,Lobby 2
9.0,The Not Squad,16,Lobby 2
10.0,KingsVictoryClub,15,Lobby 2
11.0,AVS,12,Lobby 2
12.0,Remember Reach,11,Lobby 2
13.0,Themeathouse,10,Lobby 2
14.0,Team Raven,8,Lobby 2
1.0,Jacked and Tan,87,Lobby 30
2.0,MoJo,52,Lobby 30
3.0,UORG,48,Lobby 30
4.0,BobaBallers,27,Lobby 30
5.0,Black Panthers,26,Lobby 30
6.0,G7 Legends,21,Lobby 30
7.0,Sopa de Mancos,17,Lobby 30
8.0,SolarImpact,17,Lobby 30
9.0,Elation Esports,17,Lobby 30
10.0,TTN ALPHA,16,Lobby 30
11.0,Los Nenuckles,12,Lobby 30
12.0,Tin Roof Tacos,6,Lobby 30
13.0,Krazy Krew,6,Lobby 30
14.0,WRLDDomination,2,Lobby 30
1.0,Unsigned Talent,89,Lobby 31
2.0,C K 8,58,Lobby 31
3.0,Yuzu Dog,44,Lobby 31
4.0,Baecation,27,Lobby 31
5.0,Global,26,Lobby 31
6.0,Intertainers,23,Lobby 31
7.0,Dee Em Zee,22,Lobby 31
8.0,VHS,17,Lobby 31
9.0,El Sindicato,12,Lobby 31
10.0,Valkyrie Array,12,Lobby 31
11.0,Silhouette,12,Lobby 31
12.0,Fog Yo City,9,Lobby 31
13.0,The Wolf Union,9,Lobby 31
14.0,Hard stuck D4,9,Lobby 31
15.0,Green Bean Gang,2,Lobby 31
1.0,BAD,75,Lobby 32
2.0,IFE,75,Lobby 32
3.0,OrgSignUs,36,Lobby 32
4.0,SUP,35,Lobby 32
5.0,Adonitology,28,Lobby 32
6.0,Devils x Death,17,Lobby 32
7.0,Shadow IllusionZ,15,Lobby 32
8.0,Solus,14,Lobby 32
9.0,ill,14,Lobby 32
10.0,Aim Botz,14,Lobby 32
11.0,We Better Word,13,Lobby 32
12.0,GLO,12,Lobby 32
13.0,JokersFC,4,Lobby 32
14.0,MBM,4,Lobby 32
1.0,Hooiya,102,Lobby 3
2.0,TOAOS GG,41,Lobby 3
3.0,2Sticks1Musician,36,Lobby 3
4.0,Monke Mode 3B,31,Lobby 3
5.0,Shadow Point,24,Lobby 3
6.0,Apex orphans,23,Lobby 3
7.0,Forever Gaming,19,Lobby 3
8.0,Bull Gang,19,Lobby 3
9.0,Kaen Esports,18,Lobby 3
10.0,Tokyo manji,17,Lobby 3
11.0,OwO,16,Lobby 3
12.0,HYPERION,14,Lobby 3
13.0,Bocek Bandits,8,Lobby 3
14.0,Gauntlet Esports,8,Lobby 3
15.0,DFA,6,Lobby 3
1.0,DNO,91,Lobby 4
2.0,Controller Bots,41,Lobby 4
3.0,ING,30,Lobby 4
4.0,Nobody,28,Lobby 4
5.0,Kox Gaming,26,Lobby 4
6.0,Hardstuck10k,25,Lobby 4
7.0,XcellentEra,24,Lobby 4
8.0,UBC Blue,19,Lobby 4
9.0,ROT,18,Lobby 4
10.0,The Monke Men,16,Lobby 4
11.0,INF,15,Lobby 4
12.0,Lonesome Devils,12,Lobby 4
13.0,Dub4Bub,9,Lobby 4
14.0,Modern Esports,9,Lobby 4
15.0,LegendaryEsports,8,Lobby 4
1.0,SMP,93,Lobby 5
2.0,Dumpsters,49,Lobby 5
3.0,We Lose,39,Lobby 5
4.0,Selfish Team,33,Lobby 5
5.0,High Dexterity,22,Lobby 5
6.0,MEAL Team 6,20,Lobby 5
7.0,WeBall,17,Lobby 5
8.0,SQS Gaming,17,Lobby 5
9.0,Fallen Legacy,16,Lobby 5
10.0,SW,15,Lobby 5
11.0,BlueDevilsGaming,14,Lobby 5
12.0,Bro Exclusive,14,Lobby 5
13.0,Cerberus,14,Lobby 5
14.0,Good Vibes Only,8,Lobby 5
15.0,Rising. Phoenix,7,Lobby 5
1.0,Insurgents,48,Lobby 6
2.0,Pipeliners,47,Lobby 6
3.0,TS,39,Lobby 6
4.0,KDT,39,Lobby 6
5.0,Hi,36,Lobby 6
6.0,The Loud Boys,35,Lobby 6
7.0,AGL,28,Lobby 6
8.0,Team Asensinos,25,Lobby 6
9.0,Team Pepinito,14,Lobby 6
10.0,Sleepy Hut,14,Lobby 6
11.0,Exoterran X,12,Lobby 6
12.0,Squid Squad,11,Lobby 6
13.0,ELIT3 EMPIRE,9,Lobby 6
14.0,The Banner Bros,8,Lobby 6
15.0,Three Lil Bots,4,Lobby 6
1.0,NBL,66,Lobby 7
2.0,My Neck My Back,62,Lobby 7
3.0,The Semi Pros,47,Lobby 7
4.0,Titanes,37,Lobby 7
5.0,LadyandTheTramps,32,Lobby 7
6.0,Phantom Troupe,30,Lobby 7
7.0,On They Ayy,27,Lobby 7
8.0,Dream,14,Lobby 7
9.0,Faithwithhope,13,Lobby 7
10.0,Alfa Lobo,10,Lobby 7
11.0,The Goon Squad,9,Lobby 7
12.0,Team PreMid,8,Lobby 7
13.0,Mercurial Gaming,7,Lobby 7
14.0,Hunter Legends,6,Lobby 7
15.0,Crew 686,6,Lobby 7
1.0,SXG,107,Lobby 8
2.0,AGLY,39,Lobby 8
3.0,SBD,36,Lobby 8
4.0,StepBros,35,Lobby 8
5.0,gibbyhands,33,Lobby 8
6.0,Team Sanitizer,29,Lobby 8
7.0,CGG,23,Lobby 8
8.0,Apex Quarentine,18,Lobby 8
9.0,Bloodline,12,Lobby 8
10.0,Club Penguin,11,Lobby 8
11.0,Oasis,11,Lobby 8
12.0,DRAINERS,10,Lobby 8
13.0,SJ Esports,9,Lobby 8
14.0,Christian Lads,8,Lobby 8
15.0,Ethereal League,5,Lobby 8
1.0,xD,70,Lobby 9
2.0,Good Vibes,60,Lobby 9
3.0,LVG,53,Lobby 9
4.0,Inglorious,31,Lobby 9
5.0,Aim Assist GG,27,Lobby 9
6.0,Lunas Superiores,23,Lobby 9
7.0,Washed Bois,21,Lobby 9
8.0,Vendetta,18,Lobby 9
9.0,Poutine Taco,17,Lobby 9
10.0,Kraken,13,Lobby 9
11.0,evanescence,12,Lobby 9
12.0,Bear Gang,12,Lobby 9
13.0,New Legends,10,Lobby 9
14.0,PVE esports,7,Lobby 9
15.0,Team Savage,6,Lobby 9
