A vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,SNG,101,1,11,4,4,3,9,1,9,4,13,3,7
2.0,FNX,63,14,0,16,0,1,9,9,1,1,10,2,7
3.0,SUAVE,60,19,1,8,5,2,7,3,8,17,1,1,8
4.0,INS,38,4,5,6,1,11,3,11,5,3,2,7,2
5.0,OMEGA,37,5,8,15,2,13,3,12,2,12,3,4,6
6.0,DOOD,37,2,6,5,5,15,4,15,2,14,2,10,0
7.0,HRS,36,13,2,1,10,14,3,6,1,18,3,17,0
8.0,BRZ,31,6,0,7,6,8,3,17,0,2,3,9,0
9.0,OF,30,7,2,10,5,18,2,8,3,11,4,8,4
10.0,NLNL,30,10,5,11,0,19,0,5,6,6,2,15,6
11.0,GUG,30,8,1,2,6,9,0,7,4,15,1,18,1
12.0,PTD,29,15,0,18,0,5,5,2,8,13,0,14,0
13.0,USB,28,3,5,14,0,10,0,10,3,9,4,11,1
14.0,DS,23,9,2,9,3,6,1,16,1,16,3,6,3
15.0,ULW,21,16,5,13,3,4,2,14,0,10,0,13,1
16.0,BHT,18,18,0,19,0,7,2,4,0,5,0,12,3
17.0,SIG,15,12,2,17,0,12,2,19,0,8,1,5,2
18.0,FSN,13,11,0,12,1,16,1,18,0,7,3,16,3
19.0,TBG,10,17,0,3,2,17,0,13,0,19,0,19,0
20.0,AIM,0,0,0,0,0,0,0,0,0,0,0,0,0
