A vs B StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,1SE,76,5,5,8,3,14,0,2,13,6,6,1,18
2.0,ODK,76,3,8,1,10,16,3,4,7,1,9,13,2
3.0,SNG,75,6,4,4,6,2,10,1,8,2,8,12,0
4.0,3KPA,51,7,6,7,1,4,10,3,5,8,4,11,4
5.0,OMEGA,49,9,1,2,4,5,7,5,2,5,1,3,4
6.0,FSN,48,1,7,11,4,1,6,8,0,16,0,6,1
7.0,1IQ,42,4,4,3,7,10,2,15,0,9,1,4,6
8.0,AIE,30,2,6,9,2,6,1,9,3,15,0,15,0
9.0,TCS,26,11,4,5,1,18,0,17,1,3,4,7,1
10.0,DYN,24,17,0,6,4,11,0,6,7,12,3,9,0
11.0,BTH,24,8,0,10,5,15,0,13,0,14,2,5,6
12.0,OF,22,18,0,12,0,13,0,18,1,11,2,2,7
13.0,PTD,19,16,0,13,1,9,0,16,0,4,5,8,3
14.0,HRS,17,10,2,18,0,8,3,14,0,7,2,10,0
15.0,SIG,15,14,0,17,0,3,5,12,0,13,0,18,0
16.0,BHT,13,15,0,15,2,17,0,11,3,10,1,17,2
17.0,PRDX,9,13,2,16,0,7,0,10,0,18,1,16,0
18.0,TBG,8,12,0,14,0,12,1,7,0,17,0,14,0
19.0,3PLUS,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,AIM,0,0,0,0,0,0,0,0,0,0,0,0,0
