Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,AIE,88,1,12,1,12,13,3,9,5,7,11,5,7
2.0,NAVY,76,3,9,15,1,2,13,6,5,14,4,2,9
3.0,Love Egirls,61,15,0,12,3,5,0,1,10,1,10,3,1
4.0,O3,58,6,4,2,3,1,10,16,0,2,1,6,4
5.0,OMEGA,53,2,8,4,7,12,3,8,2,4,6,12,2
6.0,TBG,44,14,0,7,9,9,2,17,0,12,0,1,5
7.0,OF,42,8,5,11,3,3,9,19,0,17,0,7,2
8.0,BTH,41,11,3,8,1,4,4,4,8,6,1,15,0
9.0,DS,37,10,1,9,0,15,0,2,7,3,4,13,3
10.0,SST,32,4,4,10,4,7,3,7,2,18,0,9,3
11.0,GUG,28,16,0,6,0,14,0,13,0,15,1,4,8
12.0,ElemenT,25,12,2,14,0,6,5,10,4,5,0,16,0
13.0,TCS,23,9,2,3,6,8,0,18,2,13,1,17,0
14.0,NG,18,13,0,13,0,10,1,12,0,9,0,8,2
15.0,PVP,17,5,0,5,3,16,1,14,0,8,0,10,0
16.0,STR,14,18,0,19,0,19,0,5,4,10,3,14,0
17.0,SolarX,12,17,0,16,0,11,0,3,2,11,0,11,0
18.0,AK47,10,7,2,17,3,18,0,11,1,16,0,20,0
19.0,Mafia Legends,1,19,0,18,0,17,0,15,0,20,0,20,0
20.0,4BIDDEN,0,20,0,20,0,20,0,20,0,20,0,20,0
