,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,Ace1,58,58
1,2.0,Yoropikumin,40,40
2,3.0,LandMarkGondola,39,39
3,4.0,NFM,38,38
4,5.0,MiJP,34,34
5,6.0,Lunatics,27,27
6,7.0,InTheSky,22,22
7,8.0,QueenSquadRoyal,22,22
8,9.0,DCN,17,17
9,10.0,Luna Llena,12,12
10,11.0,TeamRoyHage,8,8
11,12.0,track,0,0
