,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,Black,50,50
1,2.0,NrTv.Vs,44,44
2,3.0,TSURUGI,33,33
3,4.0,ARK5,31,31
4,5.0,GODOsushiTabetai,28,28
5,6.0,EXiA KR,28,28
6,7.0,Kingdom,24,24
7,8.0,MZB,22,22
8,9.0,Welfare,22,22
9,10.0,OC,21,21
10,11.0,ORC,21,21
11,12.0,otter squad,5,5
12,13.0,superYONOunion,5,5
