,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,FC Destroy,112,112
1,2.0,Dps,38,38
2,3.0,CJAM,32,32
3,4.0,sspZ,31,31
4,5.0,Joel Mark,24,24
5,6.0,WGT,20,20
6,7.0,SYTH,16,16
7,8.0,Japan LFT desu,15,15
8,9.0,PiratesOfMirage,14,14
9,10.0,FaTe Diamond,14,14
10,11.0,NOVA,14,14
11,12.0,Ignition,12,12
12,13.0,Farley,11,11
