,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,ARZ,45,45
1,2.0,APXRS,35,35
2,3.0,BEXT,31,31
3,4.0,TW,31,31
4,5.0,D4RK,29,29
5,6.0,Rebellio,28,28
6,7.0,UC,27,27
7,8.0,LFT BKGK,26,26
8,9.0,NBG,24,24
9,10.0,Core,21,21
10,11.0,Core Second,20,20
11,12.0,mrg_gundan,16,16
